sample	read	run_accession	url
HEK_2	16	ERR5375208	ftp.sra.ebi.ac.uk/vol1/fastq/ERR537/008/ERR5375208/ERR5375208.fastq.gz
HEK_2	50	ERR5375209	ftp.sra.ebi.ac.uk/vol1/fastq/ERR537/009/ERR5375209/ERR5375209.fastq.gz
HEK_20	16	ERR5375211	ftp.sra.ebi.ac.uk/vol1/fastq/ERR537/001/ERR5375211/ERR5375211.fastq.gz
HEK_20	50	ERR5375212	ftp.sra.ebi.ac.uk/vol1/fastq/ERR537/002/ERR5375212/ERR5375212.fastq.gz
HEK_3	16	ERR5375241	ftp.sra.ebi.ac.uk/vol1/fastq/ERR537/001/ERR5375241/ERR5375241.fastq.gz
HEK_3	50	ERR5375242	ftp.sra.ebi.ac.uk/vol1/fastq/ERR537/002/ERR5375242/ERR5375242.fastq.gz
HEK_31	16	ERR5375247	ftp.sra.ebi.ac.uk/vol1/fastq/ERR537/007/ERR5375247/ERR5375247.fastq.gz
HEK_31	50	ERR5375248	ftp.sra.ebi.ac.uk/vol1/fastq/ERR537/008/ERR5375248/ERR5375248.fastq.gz
HEK_42	16	ERR5375283	ftp.sra.ebi.ac.uk/vol1/fastq/ERR537/003/ERR5375283/ERR5375283.fastq.gz
HEK_42	50	ERR5375284	ftp.sra.ebi.ac.uk/vol1/fastq/ERR537/004/ERR5375284/ERR5375284.fastq.gz
HEK_53	16	ERR5375319	ftp.sra.ebi.ac.uk/vol1/fastq/ERR537/009/ERR5375319/ERR5375319.fastq.gz
HEK_53	50	ERR5375320	ftp.sra.ebi.ac.uk/vol1/fastq/ERR537/000/ERR5375320/ERR5375320.fastq.gz
HEK_64	16	ERR5375355	ftp.sra.ebi.ac.uk/vol1/fastq/ERR537/005/ERR5375355/ERR5375355.fastq.gz
HEK_64	50	ERR5375356	ftp.sra.ebi.ac.uk/vol1/fastq/ERR537/006/ERR5375356/ERR5375356.fastq.gz
HEK_9	16	ERR5375364	ftp.sra.ebi.ac.uk/vol1/fastq/ERR537/004/ERR5375364/ERR5375364.fastq.gz
HEK_9	50	ERR5375365	ftp.sra.ebi.ac.uk/vol1/fastq/ERR537/005/ERR5375365/ERR5375365.fastq.gz
