run_accession	study	biosample_accession	library_ID	title	platform	filename	filename2
SRR40770554	SRP738601	SAMN63281828	BOB57_CHX_dose_50ug_mL-1	HEK293T, cycloheximide 50 ug/mL, 6 hours, replicate 1	ILLUMINA	BOB57_CHX_dose_50ug_mL-1_R1.fastq.gz	BOB57_CHX_dose_50ug_mL-1_R2.fastq.gz
SRR40770565	SRP738601	SAMN63281827	BOB57_CHX_dose_1ug_mL-3	HEK293T, cycloheximide 1 ug/mL, 6 hours, replicate 3	ILLUMINA	BOB57_CHX_dose_1ug_mL-3_R1.fastq.gz	BOB57_CHX_dose_1ug_mL-3_R2.fastq.gz
SRR40770580	SRP738601	SAMN63281819	BOB57_CADM1_1nM-1	HEK293T, CADM1 splice-switching antisense oligonucleotide, 1 nM, 24 hours, replicate 1	ILLUMINA	BOB57_CADM1_1nM-1_R1.fastq.gz	BOB57_CADM1_1nM-1_R2.fastq.gz
SRR40770591	SRP738601	SAMN63281818	BOB57_Ris_dose_500nM-3	HEK293T, risdiplam 500 nM, 24 hours, replicate 3	ILLUMINA	BOB57_Ris_dose_500nM-3_R1.fastq.gz	BOB57_Ris_dose_500nM-3_R2.fastq.gz
SRR40770600	SRP738601	SAMN63281815	BOB57_Ris_dose_25nM-3	HEK293T, risdiplam 25 nM, 24 hours, replicate 3	ILLUMINA	BOB57_Ris_dose_25nM-3_R1.fastq.gz	BOB57_Ris_dose_25nM-3_R2.fastq.gz
SRR40770611	SRP738601	SAMN63281814	BOB57_Ris_dose_25nM-2	HEK293T, risdiplam 25 nM, 24 hours, replicate 2	ILLUMINA	BOB57_Ris_dose_25nM-2_R1.fastq.gz	BOB57_Ris_dose_25nM-2_R2.fastq.gz
SRR40770622	SRP738601	SAMN63281813	BOB57_Ris_dose_25nM-1	HEK293T, risdiplam 25 nM, 24 hours, replicate 1	ILLUMINA	BOB57_Ris_dose_25nM-1_R1.fastq.gz	BOB57_Ris_dose_25nM-1_R2.fastq.gz
SRR40770629	SRP738601	SAMN63281833	BOB57_RAW_control_3	RAW 264.7, untreated, 24 hours, replicate 3	ILLUMINA	BOB57_RAW_control_3_R1.fastq.gz	BOB57_RAW_control_3_R2.fastq.gz
SRR40770630	SRP738601	SAMN63281832	BOB57_RAW_control_2	RAW 264.7, untreated, 24 hours, replicate 2	ILLUMINA	BOB57_RAW_control_2_R1.fastq.gz	BOB57_RAW_control_2_R2.fastq.gz
SRR40770640	SRP738601	SAMN63281831	BOB57_RAW_control_1	RAW 264.7, untreated, 24 hours, replicate 1	ILLUMINA	BOB57_RAW_control_1_R1.fastq.gz	BOB57_RAW_control_1_R2.fastq.gz
SRR40770648	SRP738601	SAMN63281826	BOB57_CHX_dose_1ug_mL-2	HEK293T, cycloheximide 1 ug/mL, 6 hours, replicate 2	ILLUMINA	BOB57_CHX_dose_1ug_mL-2_R1.fastq.gz	BOB57_CHX_dose_1ug_mL-2_R2.fastq.gz
SRR40770659	SRP738601	SAMN63281825	BOB57_CHX_dose_1ug_mL-1	HEK293T, cycloheximide 1 ug/mL, 6 hours, replicate 1	ILLUMINA	BOB57_CHX_dose_1ug_mL-1_R1.fastq.gz	BOB57_CHX_dose_1ug_mL-1_R2.fastq.gz
SRR40770674	SRP738601	SAMN63281817	BOB57_Ris_dose_500nM-2	HEK293T, risdiplam 500 nM, 24 hours, replicate 2	ILLUMINA	BOB57_Ris_dose_500nM-2_R1.fastq.gz	BOB57_Ris_dose_500nM-2_R2.fastq.gz
SRR40770685	SRP738601	SAMN63281816	BOB57_Ris_dose_500nM-1	HEK293T, risdiplam 500 nM, 24 hours, replicate 1	ILLUMINA	BOB57_Ris_dose_500nM-1_R1.fastq.gz	BOB57_Ris_dose_500nM-1_R2.fastq.gz
SRR40770692	SRP738601	SAMN63281822	BOB57_CADM1_100nM-1	HEK293T, CADM1 splice-switching antisense oligonucleotide, 100 nM, 24 hours, replicate 1	ILLUMINA	BOB57_CADM1_100nM-1_R1.fastq.gz	BOB57_CADM1_100nM-1_R2.fastq.gz
SRR40770703	SRP738601	SAMN63281821	BOB57_CADM1_1nM-3	HEK293T, CADM1 splice-switching antisense oligonucleotide, 1 nM, 24 hours, replicate 3	ILLUMINA	BOB57_CADM1_1nM-3_R1.fastq.gz	BOB57_CADM1_1nM-3_R2.fastq.gz
SRR40770723	SRP738601	SAMN63281830	BOB57_CHX_dose_50ug_mL-3	HEK293T, cycloheximide 50 ug/mL, 6 hours, replicate 3	ILLUMINA	BOB57_CHX_dose_50ug_mL-3_R1.fastq.gz	BOB57_CHX_dose_50ug_mL-3_R2.fastq.gz
SRR40770724	SRP738601	SAMN63281812	BOB57_Hek_control_3	HEK293T, untreated, 24 hours, replicate 3	ILLUMINA	BOB57_Hek_control_3_R1.fastq.gz	BOB57_Hek_control_3_R2.fastq.gz
SRR40770735	SRP738601	SAMN63281829	BOB57_CHX_dose_50ug_mL-2	HEK293T, cycloheximide 50 ug/mL, 6 hours, replicate 2	ILLUMINA	BOB57_CHX_dose_50ug_mL-2_R1.fastq.gz	BOB57_CHX_dose_50ug_mL-2_R2.fastq.gz
