gene_id	symbol	min_over_methods_mean_log2cpm	rank
ENSG00000074800	ENO1	11.5223	1
ENSG00000111640	GAPDH	11.4822	2
ENSG00000204628	RACK1	11.3885	3
ENSG00000184009	ACTG1	11.351	4
ENSG00000254772	EEF1G	11.3192	5
ENSG00000187514	PTMA	11.0885	6
ENSG00000135486	HNRNPA1	11.0575	7
ENSG00000065978	YBX1	11.0145	8
ENSG00000096384	HSP90AB1	10.8383	9
ENSG00000075624	ACTB	10.7914	10
ENSG00000161960	EIF4A1	10.632	11
ENSG00000170315	UBB	10.5974	12
ENSG00000196230	TUBB	10.4637	13
ENSG00000156508	EEF1A1	10.3955	14
ENSG00000115053	NCL	10.3804	15
ENSG00000142864	SERBP1	10.3792	16
ENSG00000123416	TUBA1B	10.3701	17
ENSG00000149925	ALDOA	10.3004	18
ENSG00000143799	PARP1	10.1787	19
ENSG00000111669	TPI1	10.1376	20
ENSG00000087460	GNAS	10.0509	21
ENSG00000122566	HNRNPA2B1	10.0075	22
ENSG00000198830	HMGN2	10.0055	23
ENSG00000166165	CKB	9.8902	24
ENSG00000128272	ATF4	9.8214	25
ENSG00000132507	EIF5A	9.8211	26
ENSG00000196531	NACA	9.7756	27
ENSG00000133112	TPT1	9.6839	28
ENSG00000167978	SRRM2	9.6154	29
ENSG00000067225	PKM	9.6142	30
ENSG00000104904	OAZ1	9.6103	31
ENSG00000167658	EEF2	9.5949	32
ENSG00000147140	NONO	9.5759	33
ENSG00000170515	PA2G4	9.5136	34
ENSG00000125835	SNRPB	9.5105	35
ENSG00000150991	UBC	9.4729	36
ENSG00000080824	HSP90AA1	9.4334	37
ENSG00000196419	XRCC6	9.3741	38
ENSG00000115677	HDLBP	9.3508	39
ENSG00000240972	MIF	9.3458	40
ENSG00000069275	NUCKS1	9.344	41
ENSG00000108424	KPNB1	9.3417	42
ENSG00000243678	NME2	9.3389	43
ENSG00000221983	UBA52	9.2995	44
ENSG00000204256	BRD2	9.2876	45
ENSG00000084623	EIF3I	9.2819	46
ENSG00000129351	ILF3	9.2389	47
ENSG00000143761	ARF1	9.2286	48
ENSG00000153187	HNRNPU	9.2213	49
ENSG00000099901	RANBP1	9.2076	50
ENSG00000292334	SLC25A6	9.1891	51
ENSG00000070756	PABPC1	9.1877	52
ENSG00000111642	CHD4	9.17	53
ENSG00000102317	RBM3	9.168	54
ENSG00000181163	NPM1	9.1671	55
ENSG00000205581	HMGN1	9.1484	56
ENSG00000169230	PRELID1	9.1477	57
ENSG00000105202	FBL	9.1455	58
ENSG00000135624	CCT7	9.1302	59
ENSG00000197111	PCBP2	9.1115	60
ENSG00000167085	PHB1	9.1084	61
ENSG00000108518	PFN1	9.0848	62
ENSG00000149136	SSRP1	9.0837	63
ENSG00000167553	TUBA1C	9.0525	64
ENSG00000106682	EIF4H	9.0518	65
ENSG00000163468	CCT3	9.0285	66
ENSG00000179010	MRFAP1	9.0006	67
ENSG00000109971	HSPA8	8.9949	68
ENSG00000099783	HNRNPM	8.983	69
ENSG00000108561	C1QBP	8.9709	70
ENSG00000197451	HNRNPAB	8.9663	71
ENSG00000119335	SET	8.9662	72
ENSG00000124795	DEK	8.9631	73
ENSG00000092621	PHGDH	8.9624	74
ENSG00000239672	NME1	8.9446	75
ENSG00000145741	BTF3	8.9428	76
ENSG00000155506	LARP1	8.9226	77
ENSG00000213923	CSNK1E	8.8747	78
ENSG00000101361	NOP56	8.8548	79
ENSG00000103495	MAZ	8.8514	80
ENSG00000178952	TUFM	8.8345	81
ENSG00000166508	MCM7	8.7913	82
ENSG00000011304	PTBP1	8.7898	83
ENSG00000116560	SFPQ	8.7684	84
ENSG00000114942	EEF1B2	8.7675	85
ENSG00000189403	HMGB1	8.7498	86
ENSG00000152795	HNRNPDL	8.7477	87
ENSG00000060138	YBX3	8.6934	88
ENSG00000128050	PAICS	8.6932	89
ENSG00000111786	SRSF9	8.6932	90
ENSG00000165119	HNRNPK	8.671	91
