rank	gene_id	symbol	mean_expr	var_log2expr
1	ENSG00000197061	H4C3	1069.573	20.4542
2	ENSG00000281348		261.575	15.2583
3	ENSG00000161939	RNASEK-C17orf49	258.001	14.0372
4	ENSG00000259316		69.76	12.0298
5	ENSG00000289565		67.238	11.9872
6	ENSG00000106328	FSCN3	112.114	11.4226
7	ENSG00000205609	EIF3CL	369.327	10.625
8	ENSG00000168298	H1-4	158.279	10.576
9	ENSG00000269955	FMC1-LUC7L2	41.305	10.407
10	ENSG00000183336	BOLA2	443.73	10.2484
11	ENSG00000169750	RAC3	254.919	10.1666
12	ENSG00000262664	OVCA2	83.725	10.1282
13	ENSG00000280893		56.187	9.7434
14	ENSG00000174501	ANKRD36C	73.094	8.9902
15	ENSG00000268173		42.494	8.7813
16	ENSG00000285292	ABCF2-H2BK1	28.642	8.769
17	ENSG00000144908	ALDH1L1	33.882	8.7221
18	ENSG00000259112	NDUFC2-KCTD14	236.77	8.4121
19	ENSG00000267059		28.476	8.3459
20	ENSG00000254732		33.054	8.2805
21	ENSG00000253626	EIF5AL1	117.221	8.0883
22	ENSG00000288825	H2AC18	45.571	7.989
23	ENSG00000198925	ATG9A	40.287	7.9698
24	ENSG00000167774		48.405	7.9686
25	ENSG00000122025	FLT3	22.032	7.6768
26	ENSG00000186416	NKRF	35.521	7.5774
27	ENSG00000255073	ZFP91-CNTF	43.399	7.5432
28	ENSG00000285629		20.736	7.4977
29	ENSG00000280571		23.464	7.2885
30	ENSG00000233954	UQCRHL	52.942	7.2639
31	ENSG00000242616	GNG10	156.245	7.2316
32	ENSG00000280987	MATR3	44.683	7.1074
33	ENSG00000234857	HNRNPUL2-BSCL2	27.33	7.0895
34	ENSG00000284776		23.596	7.0817
35	ENSG00000289694		92.336	6.9745
36	ENSG00000197172	MAGEA6	53.988	6.9255
37	ENSG00000290146		49.232	6.8683
38	ENSG00000267303		58.946	6.8462
39	ENSG00000135976	ANKRD36	66.84	6.8374
40	ENSG00000260342		96.859	6.8104
41	ENSG00000204677	FAM153CP	25.241	6.8036
42	ENSG00000221867	MAGEA3	29.461	6.7861
43	ENSG00000255508		43.755	6.6435
44	ENSG00000184260	H2AC20	34.605	6.6265
45	ENSG00000100101		20.046	6.624
46	ENSG00000284820		28.424	6.5479
47	ENSG00000214967	NPIPA7	21.292	6.5252
48	ENSG00000172058	SERF1A	17.289	6.5164
49	ENSG00000205639	MFSD2B	16.26	6.4987
50	ENSG00000288258		23.616	6.4973
51	ENSG00000105427	CNFN	25.437	6.4411
52	ENSG00000290230		28.413	6.4393
53	ENSG00000113558	SKP1	198.187	6.4275
54	ENSG00000260914		14.564	6.3992
55	ENSG00000261832		24.397	6.3561
56	ENSG00000290315		59.276	6.3286
57	ENSG00000293600		17.396	6.3259
58	ENSG00000258674		51.912	6.2754
59	ENSG00000284969		18.961	6.269
60	ENSG00000075089	ACTR6	54.023	6.1481
61	ENSG00000257411		29.334	6.1333
62	ENSG00000105722	ERF	44.489	6.1284
63	ENSG00000267001		14.905	6.123
64	ENSG00000177943	MAMDC4	25.761	6.1048
65	ENSG00000124593		129.771	6.0929
66	ENSG00000285827		26.513	6.079
67	ENSG00000269242		17.186	5.9761
68	ENSG00000198218	QRICH1	44.724	5.924
69	ENSG00000104897	SF3A2	108.29	5.9134
70	ENSG00000187479	C11orf96	24.297	5.8741
71	ENSG00000091592	NLRP1	21.249	5.826
72	ENSG00000263620		11.816	5.7629
73	ENSG00000285043		13.154	5.7559
74	ENSG00000183305	MAGEA2B	18.203	5.6952
75	ENSG00000258643	BCL2L2-PABPN1	91.931	5.6755
76	ENSG00000162599	NFIA	87.077	5.6692
77	ENSG00000253797	UTP14C	12.728	5.6588
78	ENSG00000240771	ARHGEF25	14.252	5.6563
79	ENSG00000197114	ZGPAT	20.246	5.6369
80	ENSG00000041357	PSMA4	908.033	5.6303
81	ENSG00000101898	MCTS2	17.633	5.6187
82	ENSG00000177733	HNRNPA0	139.102	5.6183
83	ENSG00000204366	ZBTB12	14.53	5.5575
84	ENSG00000181350	LRRC75A	46.669	5.5382
85	ENSG00000105701	FKBP8	253.945	5.5043
86	ENSG00000196912	ANKRD36B	39.349	5.4616
