direction	references	n_references	genes_exclusive	histone_replication_dependent	mrna_lt_1kb	mrna_1_5kb	mrna_gt_5kb	median_mrna_length_nt	symbols
over-represented in TruSeq	BOBseq & prime-seq & BRB-seq	3	14	0	7	7	0	1030	BTBD1;FH;DECR1;EMC2;UTP6;C5orf15;NDUFB3;ATL2;RABGGTB;MIX23;DDX47;PPP3R1;PPIL3;MATR3
over-represented in TruSeq	BOBseq & prime-seq	2	13	0	2	10	0	1495	OAT;SNAP23;KDELR3;CA2;CRYZ;MTRR;CCNH;KANSL2;C18orf21;EIF1AD;NOP10;SDHD;PIGW
over-represented in TruSeq	BOBseq & BRB-seq	2	177	0	23	150	1	1803	DPM1;FIRRM;UBA6;PSMA4;HSPA5;POLR2B;FAM114A2;GDI2;DNTTIP2;LAPTM4A;SLC6A15;TFRC;PICALM;TIPIN;VDAC3;NDC80;BZW1;ZMPSTE24;DDHD2;ERGIC2;DLD;ECHDC1;MSH2;CDC7;POLE2;PSMC6;PSMA3;VRK1;SEC23A;PFDN4;PLS3;CLN5;DCTN6;PMPCB;NAMPT;CPVL;PSMA2;NUP88;CCDC47;CPE;DHX15;SC5D;HSPA8;CHORDC1;EIF4G2;BIRC2;FBXO3;LDHB;HMGCS1;SKP1;RARS1;PDCD10;ACTR3;RTN4;WDR75;FANCL;ORC4;CAPZA1;UCHL5;BCAS2;MFSD1;TCP1;EXOSC8;CENPK;ACSL3;MED20;SNRPB2;HNRNPH2;CALU;NDUFA5;HAT1;COPB1;NOL11;PPT1;HACL1;WDR44;COQ3;DCTN4;RFC3;EIF2S1;NOTCH2;PPHLN1;LDHA;STT3A;DMTF1;PRCP;GGH;RSL24D1;COPS4;PPA2;CERS5;ESD;SLC39A6;NME7;NUF2;LBR;CALM2;TAMM41;ABHD10;EIF2A;CETN2;ATP6V1B2;POLR2K;ADD3;EIF3M;ITGB1;TWF1;EIF4E;HAUS1;PLOD2;RANBP2;TRAPPC8;HS2ST1;SLC16A1;NIFK;CCT8;ATP5MJ;UQCRB;NPTN;EIF4A2;CUL4B;CNOT11;ALG8;NAE1;RACGAP1;CIP2A;STT3B;RCHY1;RFC4;MAD2L1;NAA15;ABCE1;TENT2;ORC5;DCAF13;INTS8;DDIAS;API5;B2M;PDIA3;RRM1;ZNF146;CTNNB1;PBK;ADAM9;GFM1;UBE2V2;NMD3;MMGT1;CLIC4;BUB1;HS6ST2;TMEM126B;PLRG1;ATP5MK;GLMN;HIGD1A;ATP6AP2;KPNA2;SELENOF;WDR53;C8orf76;HDAC2;GMFB;C1D;FAR1;RPE;PRIM1;HIBCH;OGA;PCMTD2;SARNP;HACD2;SACM1L;SMIM30;TOMM6;NCOA4
over-represented in TruSeq	prime-seq & BRB-seq	2	28	0	13	15	0	1071	IFT80;GEMIN2;HNRNPL;SPARC;HSPE1;SLC35A5;PAPSS1;SCRN3;CCZ1B;MTA2;MFSD14A;USF1;RAVER1;SENP3;MAGOH;MOCS2;NDST2;ATF7IP2;CNPY4;CHTF8;BOLA2;NPIPA6;C2orf76;SMN2;RNASEK;GPX1;ST20-MTHFS;NBPF19
over-represented in TruSeq	BOBseq	1	553	0	68	452	29	1866	TSPAN6;NFYA;SLC25A13;CDC27;HCCS;SLC25A5;CIAPIN1;LAMP2;IFRD1;VPS41;SPAG9;CSDE1;VTA1;ZNF207;POLR3B;MDH1;COX15;GLT8D1;MRE11;STRAP;GCLM;SEC63;VEZT;TFB1M;ADSS2;CUL3;MAT2B;TRIT1;DSG2;FERRY3;SCML1;GOPC;USP28;VAMP3;HERPUD1;MSMO1;ZFR;RC3H2;ALDH18A1;SNRNP40;GPBP1;CS;TM7SF3;DDX20;IPO5;WDR3;PKN2;CYB5R4;MTHFD2;ASPM;TRAM1;RHOA;IARS2;PSME4;NUP133;VPS35;FUNDC1;ASNS;CDC42;ING3;FBXW11;CLNS1A;MCM6;TOP2B;UBE2T;USP33;MLLT10;XRCC5;FDFT1;DDX1;RAB21;CLDND1;PCNP;ME2;XPO1;DIS3;CD59;AK6;PREP;CPNE3;DNAJA1;EIF2AK1;ZFAND6;OGFOD1;AURKA;TGDS;CRLS1;RBM41;DHX32;SPG21;USP48;KIF4A;PUS7;CMTM6;SCFD1;HNRNPC;SUPT16H;SEC22C;CDC6;CDC23;ARCN1;TMEM14A;CDC5L;SIRT1;SH3GLB1;SCD;MAPK1;FBXO7;SLC25A17;ST13;FKBP3;CDKN3;CNIH1;ERH;IFT52;PRELID3B;SEC23B;MAPRE1;USP14;VAPA;PSMD10;MID1;MCTS2;PRPS2;STAG2;SMARCA1;PGK1;GLA;SUPT20H;ARL2BP;SLC7A6;USP10;UBFD1;GGA2;ZFAND1;LAPTM4B;ARMC1;LEPROTL1;TUSC3;ASAH1;MTPN;CASP2;LSM5;TMEM106B;TSPAN13;COA1;ZFAND5;ERLIN1;GOSR1;EFTUD2;TMEM33;NCAPG;MTCH2;OSBP;DDX6;GTF2H1;ATP5F1B;LTA4H;VPS29;COPZ1;CMAS;FBXO5;MAPK14;SRSF3;FBXO9;CCNC;WASF1;ACOT13;C6orf62;QKI;EXOC2;COX7A2;HSPA9;CCNG1;SUB1;GNPDA1;ATP6V0E1;CRBN;NIT2;KPNA1;ARMC8;SLC25A36;CEP15;COMMD2;EIF1B;DGUOK;MOB1A;SF3B6;UNC50;CCT4;TXNDC9;SF3B1;ODC1;SRSF7;ORC2;SCP2;TMEM59;ATP5PB;DOCK7;IVNS1ABP;WLS;GNPAT;ACADM;ADGRL2;SSX2IP;PRDX1;DR1;DPH5;DARS2;STMN1;TXNDC12;PLAGL1;CPSF3;HEATR1;RAB14;HSDL2;ZNF410;YIPF4;TCTN3;GOT1;KANSL1;PDZD11;HSPH1;ALG5;KDM3B;ARL1;LYPLA1;RNF2;DESI2;ZNF639;COPA;ZNF644;CCZ1;ATPAF1;AMD1;NDUFAF4;FAM199X;RAB9A;CKS2;CSE1L;FASTKD3;USP9X;MRS2;XPO5;GLO1;EEF1E1;POLR1B;MED1;UBA2;RAP1B;IFT22;MTX2;ORMDL1;PSMG2;PSMA1;PARP2;SNX6;DAD1;CDC16;ATXN10;SH3BGRL;COX7B;IMMT;RAN;GRSF1;ZRANB2;RIDA;AP3B1;POMP;SPART;IRS4;RTN3;RRAS2;SARAF;COX16;KGD4;THUMPD3;GSTM3;LAMTOR5;TIMM17A;BTF3L4;RFK;UBQLN1;ABCB10;GLUL;SUCLA2;HUS1;ABHD17C;IREB2;EPRS1;SAP130;ABI1;TXN;ECPAS;THAP12;PPP2R1B;CFAP68;KIF23;PNPT1;LRPPRC;CEP55;DBR1;ANXA7;OLA1;WDR12;INTS14;BBS7;NUP54;G3BP2;USO1;YARS2;LLPH;TMBIM6;SLAIN1;TCF12;ETFA;TSPAN3;FANCI;UQCRC2;COPS3;TOM1L1;CLTC;PTRH2;GALNT1;ITGB3BP;PSMA5;ALD
over-represented in TruSeq	prime-seq	1	230	1	48	176	4	1553	DNAJC11;CD9;FUZ;NME1-NME2;PPP5C;RNF14;MIPEP;SNX1;TMSB10;NSUN2;TDP1;THOC3;U2AF2;EPN1;ELOVL1;POLR1H;NDST1;DAZAP1;PRKACA;ACADVL;GRAMD4;TRAF4;ARHGEF1;SNRPA;CPOX;DUSP12;BAX;ATXN7L3;CNOT3;KHSRP;GANAB;TFAP4;FBXL19;ZDHHC8;SMARCB1;PES1;KCTD17;PHF5A;AHSA1;EEF1A2;CHMP4B;EMD;SMS;NOMO1;TUBB4A;SNRNP70;CLPTM1;FKBP8;GSK3A;HIBADH;ANKMY2;PLGRKT;NPM3;RAB5C;YWHAE;PRPF19;COPS7A;USP5;ATN1;FBRSL1;LMNB1;BNIP1;GCA;PCGF1;IGFBP2;CNPPD1;STK16;SLC19A2;RNF146;PTPA;DLST;MTRF1;SCPEP1;B4GALT4;CAT;ZNF205;RWDD3;SLC25A51;PKN1;MT2A;PPDPF;SYMPK;DYNLRB1;BCL2L12;PRMT1;SCAF1;ZNF384;AAMP;DCTD;MPDU1;PRKCSH;DDA1;PAK4;ZNF428;TRAF7;SLX1A;ARFIP2;RBM38;BTBD2;KMT5C;ZNF414;TIMM10;FADS2;TRAFD1;NDUFB5;FOXP4;CMTR1;PARP6;ASNSD1;COX17;SNRPF;ANP32A;EIF4A3;FKBP10;TPGS1;DUS3L;PFDN2;ZNF687;CERS2;PYCR2;ARL8A;NDUFS6;PRPS1;GLB1L2;HYOU1;CPSF7;LTO1;PPP4C;NDUFC2;C4orf33;LPCAT1;UBALD1;PANK4;COPG2;TAGLN2;PTMS;TMEM69;CALM3;U2AF1;CSTB;CRTC2;LY6E;LRP5;NCSTN;TFB2M;PACRGL;BOLA3;PRKCD;CITED2;MID1IP1;METTL17;SLC39A13;ILK;MAPK7;PIP4K2C;LENG8;ATP5PD;SPINDOC;POLR2J3;STIP1;INO80E;ZNF768;SF3B5;TRAPPC1;IRF2BP1;GPR27;TADA3;FAM241B;TBCA;USP19;BSG;GNB2;CFL1;GRK2;SLC25A30;ZCCHC12;KLC2;DRAP1;MTLN;COX8A;PNMA1;PNPLA2;FLII;GRINA;CALR;SGSH;SLX1B;SRPRA;RGPD6;NPIPA1;HMCES;ALYREF;LIN9;RAB11B;ATP6V0C;C17orf58;PRKAR1B;FAM72B;RNFT1;H1-0;ANXA4;ANXA6;HOXC6;TEAD4;NUP62CL;TFDP1;QRICH1;UCKL1;GET3;NRARP;DDX39B;ATG9A;TBKBP1;PFDN6;TAP2;PBX2;PRRC2A;AKT1S1;GTF2H4;NEURL4;MAGEA3;HNRNPUL2-BSCL2;GNG10;MARS2;RBM14-RBM4;CHCHD10;FAM72C;H4C15
over-represented in TruSeq	BRB-seq	1	263	0	29	223	6	2053	KLHL13;RPAP3;FBXL3;SYPL1;MGST1;UTP18;ANLN;ELOVL5;CLK1;UFL1;MATR3;AGPS;TTC27;IFNGR1;BCLAF1;PEX3;DEPDC1B;MFAP3;MTREX;STAU2;MED17;HEXB;JKAMP;AP5M1;ANAPC4;NOP58;HPF1;RIOK2;NDC1;VMP1;LRRC40;ACSL4;EXOC5;SNX13;RDH11;EED;NUP37;TIMM21;DLG1;TM9SF3;THOC1;SLC1A3;SRCAP;PUM3;UBA5;RNF13;TNPO1;SCAMP1;WDFY1;MGST2;DIMT1;ZW10;ESF1;NECAP1;DNAJB11;G2E3;UPRT;HIF1A;PSMC1;SRP54;PSMA6;NXT2;TMEM87A;DNAJC17;EIF3E;POP4;SSBP1;SEC23IP;LIPA;MED31;DDX5;OCIAD1;DCUN1D4;FRG1;PUS3;CAND1;NUP107;KRR1;GOLT1B;PAK1IP1;MAN1A1;HBS1L;TMEM30A;HMGCR;BRIX1;PPP2CA;PPWD1;ECT2;SNX4;TAF1B;RND3;DHCR24;STXBP3;EDEM3;CD46;MTARC2;SPCS2;ANKRD13C;FBXL5;FAM98A;NUDCD1;CLU;ZMYM2;TBC1D15;ECD;VPS26A;USP45;SRSF6;ZNF45;RPP40;BBS2;TM9SF2;NDUFA1;CANX;SEM1;GNAI1;CLN6;ITFG1;MED18;ACTR10;PRKAA1;FIGNL1;UTP3;PRMT7;MTSS2;COG6;IMPA1;CCNB1;CDK7;CEPT1;SLC38A2;NARS1;TMED7;RINT1;LTV1;CD164;USP15;SERPINE2;BORA;ACTL6A;KCTD3;PLAA;SDCBP;YAP1;ALKBH8;KYAT3;GTF2B;PPM1B;DYNC2LI1;FBXO11;ATAD1;SSB;IDH1;SINHCAF;TMX1;RMC1;APP;PLK4;PIGK;TMCO1;XPR1;RIT1;TPRKB;RALB;UBA3;PAM;RADX;TATDN1;HSD17B12;EEF1AKMT1;DLAT;EXT2;NEK7;SPC25;CWF19L2;SUV39H2;SLC30A6;MED21;ADGRA3;ZUP1;OTUD6B;HSPA13;MTERF3;BUB1B;TAB3;SLC37A3;ST6GALNAC6;PSMC2;ZNF75A;RBBP4;OMA1;DNAJB4;PAQR3;FSTL1;TTC14;ARFIP1;STARD4;PGGT1B;UTP15;TRA2A;MICU2;PRPF18;TRUB1;COPS2;TMX3;HSP90B1;NUDT21;SMG8;KMT2D;TMEM68;HNRNPH1;CHRNA5;UGP2;ALCAM;HNRNPA3;CDK1;ARL6IP1;TVP23B;TEFM;GTPBP2;SP3;NAA20;SUSD5;LEMD3;ATR;SMAD2;RBIS;FAM91A1;ZBTB33;NECTIN3;YOD1;NPM1;TDRKH;CADM1;GTF2H2C;TBK1;PRPF39;PARPBP;YTHDF3;MORF4L1;RNPC3;PPP1CC;SEPTIN10;ZDHHC17;SESTD1;CD55;ERI2;SLC39A10;HMGN5;HSD17B11;WDHD1;SLC9A6;OPA1;CAPZA2;DCLRE1A;KIFBP;TRIM13;SNX2;STK38L;PET100;SELENOP;POLG2
under-represented in TruSeq	BOBseq & prime-seq & BRB-seq	3	18	2	4	12	2	1898	ZNF629;FBXL15;AVPI1;SOX4;DYNC2I1;POU4F1;C16orf74;CCDC8;GADD45GIP1;H2AC20;SAPCD2;H4C3;UQCC3;EXOSC6;FNDC10;COX19;NDUFC2-KCTD14
under-represented in TruSeq	BOBseq & prime-seq	2	14	0	2	9	3	2996	SEC62;KNOP1;AAK1;RBM25;CHD6;EMILIN2;HMBOX1;NOPCHAP1;UPF2;MPHOSPH8;ANKRD18B;CISD3
under-represented in TruSeq	BOBseq & BRB-seq	2	39	4	21	18	0	962	YPEL3;OCEL1;PLP2;METRN;KLC3;BBC3;HSPB1;RBP1;NENF;IFI27L2;BATF3;G0S2;H2BC11;CDKN2D;PRR7;RAMP1;BRD4;SH3BGRL3;EVA1B;TRIM7;KLF15;HSD11B1L;SPHK1;TMEM52;SIGIRR;IFITM2;ISG15;SAMD11;H1-2;HES4;HNRNPUL2;C19orf73;ZNF688;SMIM27;BCL2L2-PABPN1;UPK3BL1;H4C12;H2AC18
