sample	run	gsm	series	sra_study	title	cell_line	genotype	treatment	kit	instrument	layout	read_len	spots	year	lab_note
TruSeq_1	SRR33482324	GSM8975320	GSE296724	SRP584134	HEK293T_WT1_R1	HEK293T	WT	untreated (parental WT control of a CRISPR study)	TruSeq Stranded mRNA	NovaSeq 6000	PAIRED	150	21973613	2025	Cao et al. 2026
TruSeq_2	SRR33482323	GSM8975321	GSE296724	SRP584134	HEK293T_WT2_R1	HEK293T	WT	untreated (parental WT control of a CRISPR study)	TruSeq Stranded mRNA	NovaSeq 6000	PAIRED	150	22413858	2025	Cao et al. 2026
TruSeq_3	SRR33482322	GSM8975322	GSE296724	SRP584134	HEK293T_WT3_R1	HEK293T	WT	untreated (parental WT control of a CRISPR study)	TruSeq Stranded mRNA	NovaSeq 6000	PAIRED	150	21732892	2025	Cao et al. 2026
TruSeq_4	SRR33776933	GSM9017308	GSE298560	SRP589015	WT 293T, rep1	HEK293T	WT	untreated (isogenic parental of SMARCA3/HLTF KO)	TruSeq Stranded mRNA	HiSeq 4000	PAIRED	51	54884861	2025	Akano et al. Mol Cell 2025
TruSeq_5	SRR33776932	GSM9017309	GSE298560	SRP589015	WT 293T, rep2	HEK293T	WT	untreated (isogenic parental of SMARCA3/HLTF KO)	TruSeq Stranded mRNA	HiSeq 4000	PAIRED	51	51770032	2025	Akano et al. Mol Cell 2025
TruSeq_6	SRR33776931	GSM9017310	GSE298560	SRP589015	WT 293T, rep3	HEK293T	WT	untreated (isogenic parental of SMARCA3/HLTF KO)	TruSeq Stranded mRNA	HiSeq 4000	PAIRED	51	50316379	2025	Akano et al. Mol Cell 2025
TruSeq_7	SRR15425654	GSM5515125	GSE181978	SRP332263	HEK293T cells WT rep 1	HEK293T	WT	untreated (parental WT)	TruSeq Stranded mRNA	HiSeq 4000	PAIRED	150	30542985	2021	Chen et al. 2022
TruSeq_8	SRR15425655	GSM5515126	GSE181978	SRP332263	HEK293T cells WT rep 2	HEK293T	WT	untreated (parental WT)	TruSeq Stranded mRNA	HiSeq 4000	PAIRED	150	30773463	2021	Chen et al. 2022
TruSeq_9	SRR15425656	GSM5515127	GSE181978	SRP332263	HEK293T cells WT rep 3	HEK293T	WT	untreated (parental WT)	TruSeq Stranded mRNA	HiSeq 4000	PAIRED	150	34787861	2021	Chen et al. 2022
TruSeq_10	SRR15425657	GSM5515128	GSE181978	SRP332263	HEK293T cells WT rep 4	HEK293T	WT	untreated (parental WT)	TruSeq Stranded mRNA	HiSeq 4000	PAIRED	150	32098789	2021	Chen et al. 2022
