	CADM1_100nM-1	CADM1_100nM-2	CADM1_100nM-3	CADM1_1nM-1	CADM1_1nM-2	CADM1_1nM-3	CHX_dose_1ug_mL-1	CHX_dose_1ug_mL-2	CHX_dose_1ug_mL-3	CHX_dose_50ug_mL-1	CHX_dose_50ug_mL-2	CHX_dose_50ug_mL-3	Hek_control_1	Hek_control_2	Hek_control_3	Ris_dose_25mM-1	Ris_dose_25mM-2	Ris_dose_25mM-3
CADM1_100nM-1	1.0	0.7628	0.7632	0.7593	0.7737	0.7624	0.6703	0.694	0.6752	0.6305	0.6597	0.6554	0.7413	0.7699	0.7631	0.7449	0.6957	0.7552
CADM1_100nM-2	0.7628	1.0	0.7551	0.7635	0.7641	0.7668	0.6694	0.6941	0.6738	0.631	0.6482	0.6522	0.741	0.7709	0.7396	0.7478	0.6941	0.7542
CADM1_100nM-3	0.7632	0.7551	1.0	0.7584	0.7553	0.7524	0.6652	0.6997	0.6721	0.6326	0.6514	0.6535	0.7444	0.7552	0.7499	0.7514	0.6869	0.7585
CADM1_1nM-1	0.7593	0.7635	0.7584	1.0	0.7741	0.7636	0.6706	0.701	0.6724	0.6393	0.667	0.6707	0.7421	0.7755	0.7659	0.7489	0.6992	0.7726
CADM1_1nM-2	0.7737	0.7641	0.7553	0.7741	1.0	0.7742	0.6743	0.6981	0.6865	0.6431	0.6774	0.6733	0.7403	0.7817	0.7614	0.7612	0.7082	0.7694
CADM1_1nM-3	0.7624	0.7668	0.7524	0.7636	0.7742	1.0	0.6822	0.6888	0.677	0.636	0.6652	0.6634	0.7381	0.7632	0.7494	0.7459	0.6916	0.7653
CHX_dose_1ug_mL-1	0.6703	0.6694	0.6652	0.6706	0.6743	0.6822	1.0	0.7115	0.7042	0.6717	0.7021	0.6814	0.6503	0.6804	0.652	0.6586	0.613	0.6673
CHX_dose_1ug_mL-2	0.694	0.6941	0.6997	0.701	0.6981	0.6888	0.7115	1.0	0.7223	0.6977	0.7114	0.7231	0.6805	0.7162	0.6879	0.6877	0.6348	0.6909
CHX_dose_1ug_mL-3	0.6752	0.6738	0.6721	0.6724	0.6865	0.677	0.7042	0.7223	1.0	0.6745	0.6897	0.7018	0.649	0.6803	0.6508	0.6661	0.6157	0.665
CHX_dose_50ug_mL-1	0.6305	0.631	0.6326	0.6393	0.6431	0.636	0.6717	0.6977	0.6745	1.0	0.7165	0.7222	0.622	0.6524	0.633	0.6274	0.5766	0.641
CHX_dose_50ug_mL-2	0.6597	0.6482	0.6514	0.667	0.6774	0.6652	0.7021	0.7114	0.6897	0.7165	1.0	0.7345	0.639	0.6633	0.6377	0.6547	0.6016	0.6611
CHX_dose_50ug_mL-3	0.6554	0.6522	0.6535	0.6707	0.6733	0.6634	0.6814	0.7231	0.7018	0.7222	0.7345	1.0	0.6417	0.6741	0.6576	0.6612	0.6231	0.6733
Hek_control_1	0.7413	0.741	0.7444	0.7421	0.7403	0.7381	0.6503	0.6805	0.649	0.622	0.639	0.6417	1.0	0.7537	0.747	0.7385	0.6989	0.7439
Hek_control_2	0.7699	0.7709	0.7552	0.7755	0.7817	0.7632	0.6804	0.7162	0.6803	0.6524	0.6633	0.6741	0.7537	1.0	0.784	0.7674	0.7105	0.7671
Hek_control_3	0.7631	0.7396	0.7499	0.7659	0.7614	0.7494	0.652	0.6879	0.6508	0.633	0.6377	0.6576	0.747	0.784	1.0	0.7531	0.7175	0.7677
Ris_dose_25mM-1	0.7449	0.7478	0.7514	0.7489	0.7612	0.7459	0.6586	0.6877	0.6661	0.6274	0.6547	0.6612	0.7385	0.7674	0.7531	1.0	0.7059	0.7612
Ris_dose_25mM-2	0.6957	0.6941	0.6869	0.6992	0.7082	0.6916	0.613	0.6348	0.6157	0.5766	0.6016	0.6231	0.6989	0.7105	0.7175	0.7059	1.0	0.7209
Ris_dose_25mM-3	0.7552	0.7542	0.7585	0.7726	0.7694	0.7653	0.6673	0.6909	0.665	0.641	0.6611	0.6733	0.7439	0.7671	0.7677	0.7612	0.7209	1.0
