rank	gene_id	symbol	mean_tpm	var_log2tpm
1	ENSG00000273542	H4C12	32.62	8.7433
2	ENSG00000197238	H4C11	31.5	8.5799
3	ENSG00000203811	H3C14	50.968	8.4044
4	ENSG00000276345	ENSG00000276345	42.083	7.9313
5	ENSG00000288859	H2AC19	51.448	6.9795
6	ENSG00000291312	ENSG00000291312	18.554	6.8362
7	ENSG00000288825	H2AC18	225.718	6.7373
8	ENSG00000270882	H4C14	68.307	6.5038
9	ENSG00000288636	ENSG00000288636	14.662	6.0765
10	ENSG00000268400	ENSG00000268400	19.559	6.034
11	ENSG00000203852	H3C15	13.157	5.9314
12	ENSG00000285238	ENSG00000285238	26.655	5.7452
13	ENSG00000288681	ENSG00000288681	26.212	5.484
14	ENSG00000204389	HSPA1A	66.461	5.4057
15	ENSG00000267140	ENSG00000267140	17.945	5.1402
16	ENSG00000100490	CDKL1	31.246	5.1269
17	ENSG00000270276	H4C15	28.705	4.9483
18	ENSG00000267059	ENSG00000267059	111.247	4.9106
19	ENSG00000284776	ENSG00000284776	15.087	4.6242
20	ENSG00000268434	ENSG00000268434	8.172	4.4666
21	ENSG00000277224	H2BC7	42.649	4.3429
22	ENSG00000277157	H4C4	11.242	4.3223
23	ENSG00000255339	ENSG00000255339	9.598	4.2885
24	ENSG00000185130	H2BC13	29.374	4.1086
25	ENSG00000172058	SERF1A	8.655	4.0204
26	ENSG00000185437	SH3BGR	44.582	3.9712
27	ENSG00000282988	ENSG00000282988	7.072	3.9465
28	ENSG00000150938	CRIM1	19.711	3.9114
29	ENSG00000072818	ACAP1	6.534	3.8736
30	ENSG00000263620	ENSG00000263620	13.454	3.7849
31	ENSG00000286070	ENSG00000286070	47.661	3.7553
32	ENSG00000290146	ENSG00000290146	12.252	3.6033
33	ENSG00000161939	RNASEK-C17orf49	22.004	3.5815
34	ENSG00000269955	FMC1-LUC7L2	46.02	3.5738
35	ENSG00000290318	ENSG00000290318	11.893	3.5138
36	ENSG00000188223	ENSG00000188223	5.159	3.5069
37	ENSG00000213689	TREX1	5.246	3.4664
38	ENSG00000278705	H4C2	26.629	3.4308
39	ENSG00000267645	POLR2J2-UPK3BL1	8.958	3.4239
