	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	condition
CADM1_100nM-1	-20.298986784408633	-6.526127780285544	14.2892084519514	2.2080478115276554	-0.47021810520450996	-6.822988971864274	10.695410939375098	-10.660962516120295	19.131992158180967	-18.526498418249208	CADM1 100nM
CADM1_100nM-2	-19.695673891429976	-11.84441523853629	15.91005890973227	3.679127288638441	3.535067125185229	-0.46738872009323806	6.115378101009769	-10.194222403163113	12.051886410660549	13.350806813678007	CADM1 100nM
CADM1_100nM-3	-19.525164787242254	-7.501487040309273	13.674627735052507	4.1402839065934804	1.1544384444269358	1.2091616497093474	-0.8925309505062187	-8.778855485316315	10.863087946074288	-26.85572362990338	CADM1 100nM
CADM1_1nM-1	-20.095971257027404	-2.5226408340411925	12.76521264778292	0.16388466309798494	-3.241423025820526	2.6589678977329556	5.303623628242224	-5.960120129513476	-3.952100913609302	-9.434786825119945	CADM1 1nM
CADM1_1nM-2	-18.95616446451291	-2.2295752838576086	12.136217341785475	1.7978576490006086	-1.8880269318403924	-7.550122090762086	9.744906355457736	-7.529218897325905	-0.4121111280894289	6.37407552354289	CADM1 1nM
CADM1_1nM-3	-17.13023998200025	-11.328416701987063	16.168152319614688	-2.5938015611741343	-2.703231633244657	-4.002435804934184	15.498959755007723	-1.258761659226044	8.472939679619184	41.377515271630934	CADM1 1nM
CHX_dose_1ug_mL-1	37.79379637943687	-46.339341803706816	-19.941805587020497	-51.01184030613166	-6.484830174807654	3.8883898277846005	5.663361892128125	4.0989258135477336	-2.265455666169307	-4.398613711502097	CHX dose 1ug/mL
CHX_dose_1ug_mL-2	31.727183554854484	-17.286363425960594	-9.459888967315543	19.403911998355152	2.2049431255505976	24.159027472897517	-39.37789120654756	-33.79506837951507	-2.510646567030548	9.757656850867358	CHX dose 1ug/mL
CHX_dose_1ug_mL-3	36.71312144274873	-33.07351295312578	-22.57676131945427	44.43249902841367	10.793194565834813	-22.977911787552245	13.054015154227503	19.616521322214968	-3.459983856127742	-5.629658422645997	CHX dose 1ug/mL
CHX_dose_50ug_mL-1	60.365614624905625	29.71981270932344	15.872173719263804	-15.61143609852166	52.46779045727362	-12.08807819346193	-1.5271428661980408	-2.5212223422570736	-1.3917880243617662	0.09232617347775424	CHX dose 50ug/mL
CHX_dose_50ug_mL-2	56.05653516682761	21.884186066157962	18.260534470422872	-2.2556708111413566	-45.89681455552007	-29.695315232660004	-18.053127598398692	4.41421168683963	0.43662576456070273	-1.5443329431528179	CHX dose 50ug/mL
CHX_dose_50ug_mL-3	49.70528736101929	29.333669864116498	-9.798367737736795	9.987158758648276	-14.92845968294651	42.29850032714979	31.49002363116079	5.4113082244089785	8.177179537335359	0.22077563235508477	CHX dose 50ug/mL
Hek_control_1	-26.22049007812191	4.096039668934819	-2.3920088586891195	-2.2651265480623866	6.673118734297765	13.131745837732767	-30.748161248358393	43.852775058199754	25.601565393840612	7.040198043004791	Hek control
Hek_control_2	-21.366524089225287	0.11876253308916389	3.2857722937981872	-1.0627394838688164	2.4985914609190827	1.765038911051794	-5.391269111957338	3.0391294324348395	-7.798545644953472	-8.005550160719801	Hek control
Hek_control_3	-29.508464268858503	9.754913199387047	-5.119289496246034	-3.8133068516028508	0.4059430915784678	9.905430093862	-3.3502505904119415	2.9295328547786927	-8.819121193610755	-21.206211026084436	Hek control
Ris_dose_25mM-1	-22.915002067609212	6.124461881119572	0.9931234624042332	1.250363850778499	0.17725699225807504	2.250545208468269	-2.864280916347243	11.100930536588857	-42.40507564973884	8.594042760450675	Ris dose 25mM
Ris_dose_25mM-2	-34.73526034403846	31.317782737471447	-55.86597777560959	-7.285198911919535	-0.9422473278631461	-21.72107769667713	0.9602143489206423	-16.706578026493823	11.152424602069335	6.758727376846178	Ris dose 25mM
Ris_dose_25mM-3	-21.91359651531775	6.302252402210196	1.7990183902634345	-1.164014382631365	-3.3550925600771326	4.058511271616098	3.6787606831957937	2.941674909917703	-22.872872848649806	2.0352506915240474	Ris dose 25mM
