level	set	condition	well	in_benchmark	unit	SMN2_ex6>7	SMN2_ex7>8	SMN2_ex6>8	SMN1_ex6>7	SMN1_ex7>8	SMN1_ex6>8	ambiguous_ex6>7	ambiguous_ex7>8	ambiguous_ex6>8	skip_all_ex6>8	psi_SMN2	psi_SMN1	psi_pooled
condition	bobseq_50nt	CADM1 100nM	pooled (3 wells)		dedup	3	0	0	7	0	0	0	9	2	2	0.6	0.7778	0.9048
condition	bobseq_50nt	CADM1 1nM	pooled (3 wells)		dedup	1	0	0	4	0	0	0	12	3	3	0.25	0.5714	0.85
condition	bobseq_50nt	CHX dose 1ug/mL	pooled (3 wells)		dedup	4	0	0	5	0	0	0	13	2	2	0.6667	0.7143	0.9167
condition	bobseq_50nt	CHX dose 50ug/mL	pooled (3 wells)		dedup	1	0	0	4	0	0	1	9	0	0	1.0	1.0	1.0
condition	bobseq_50nt	Hek control	pooled (3 wells)		dedup	2	0	0	7	0	0	0	11	2	2	0.5	0.7778	0.9091
condition	bobseq_50nt	Ris dose 25mM	pooled (3 wells)		dedup	2	0	0	5	0	0	0	10	1	1	0.6667	0.8333	0.9444
well	bobseq_50nt	CADM1 100nM	CADM1_100nM-1	yes	dedup	2	0	0	1	0	0	0	2	0	0	1.0	1.0	1.0
well	bobseq_50nt	CADM1 100nM	CADM1_100nM-2	yes	dedup	1	0	0	4	0	0	0	3	1	1	0.5	0.8	0.8889
well	bobseq_50nt	CADM1 100nM	CADM1_100nM-3	yes	dedup	0	0	0	2	0	0	0	4	1	1	0.0	0.6667	0.8571
well	bobseq_50nt	CADM1 1nM	CADM1_1nM-1	yes	dedup	0	0	0	1	0	0	0	4	2	2	0.0	0.3333	0.7143
well	bobseq_50nt	CADM1 1nM	CADM1_1nM-2	yes	dedup	1	0	0	1	0	0	0	2	1	1	0.5	0.5	0.8
well	bobseq_50nt	CADM1 1nM	CADM1_1nM-3	yes	dedup	0	0	0	2	0	0	0	6	0	0		1.0	1.0
