set	condition	unit	method	n_samples	incl_SMN2	incl_SMN1	incl_ambiguous	skip_SMN2	skip_SMN1	skip_ambiguous	c840_T	c840_C	ex6>7_SMN2	ex6>7_SMN1	ex6>7_ambiguous	ex7>8_SMN2	ex7>8_SMN1	ex7>8_ambiguous	ex6>8_SMN2	ex6>8_SMN1	ex6>8_ambiguous	psi_pooled	psi_pooled_lo	psi_pooled_hi	psi_pooled_n	psi_SMN2	psi_SMN2_lo	psi_SMN2_hi	psi_SMN2_n	psi_SMN1	psi_SMN1_lo	psi_SMN1_hi	psi_SMN1_n	t_frac	t_frac_lo	t_frac_hi	t_frac_n
bobseq_50nt	CADM1 100nM	dedup	bobseq	3	3	7	9	0	0	2	4	18	3	7	0	0	0	9	0	0	2	0.9048	0.6962	0.9883	21	0.6	0.1466	0.9473	5	0.7778	0.3999	0.9719	9	0.1818	0.0519	0.4028	22
bobseq_50nt	CADM1 100nM	raw	bobseq	3	14	18	36	0	0	7	16	38	14	18	0	0	0	36	0	0	7	0.9067	0.8171	0.9616	75	0.6667	0.4303	0.8541	21	0.72	0.5061	0.8793	25	0.2963	0.1798	0.4361	54
bobseq_50nt	CADM1 1nM	dedup	bobseq	3	1	4	12	0	0	3	3	14	1	4	0	0	0	12	0	0	3	0.85	0.6211	0.9679	20	0.25	0.0063	0.8059	4	0.5714	0.1841	0.901	7	0.1765	0.038	0.4343	17
bobseq_50nt	CADM1 1nM	raw	bobseq	3	1	8	22	0	0	5	4	32	1	8	0	0	0	22	0	0	5	0.8611	0.705	0.9533	36	0.1667	0.0042	0.6412	6	0.6154	0.3158	0.8614	13	0.1111	0.0311	0.2606	36
bobseq_50nt	CHX dose 1ug/mL	dedup	bobseq	3	4	5	13	0	0	2	8	19	4	5	0	0	0	13	0	0	2	0.9167	0.73	0.9897	24	0.6667	0.2228	0.9567	6	0.7143	0.2904	0.9633	7	0.2963	0.1375	0.5018	27
bobseq_50nt	CHX dose 1ug/mL	raw	bobseq	3	9	12	22	0	0	3	19	51	9	12	0	0	0	22	0	0	3	0.9348	0.821	0.9863	46	0.75	0.4281	0.9451	12	0.8	0.5191	0.9567	15	0.2714	0.172	0.391	70
bobseq_50nt	CHX dose 50ug/mL	dedup	bobseq	3	1	4	10	0	0	0	5	15	1	4	1	0	0	9	0	0	0	1.0	0.782	1.0	15	1.0	0.025	1.0	1	1.0	0.3976	1.0	4	0.25	0.0866	0.491	20
bobseq_50nt	CHX dose 50ug/mL	raw	bobseq	3	9	7	22	0	0	0	20	21	9	7	1	0	0	21	0	0	0	1.0	0.9075	1.0	38	1.0	0.6637	1.0	9	1.0	0.5904	1.0	7	0.4878	0.3288	0.6487	41
bobseq_50nt	Hek control	dedup	bobseq	3	2	7	11	0	0	2	8	13	2	7	0	0	0	11	0	0	2	0.9091	0.7084	0.9888	22	0.5	0.0676	0.9324	4	0.7778	0.3999	0.9719	9	0.381	0.1811	0.6156	21
bobseq_50nt	Hek control	raw	bobseq	3	5	23	18	0	0	2	26	35	5	23	0	0	0	18	0	0	2	0.9583	0.8575	0.9949	48	0.7143	0.2904	0.9633	7	0.92	0.7397	0.9902	25	0.4262	0.3004	0.5594	61
bobseq_50nt	Ris dose 25mM	dedup	bobseq	3	2	5	10	0	0	1	2	10	2	5	0	0	0	10	0	0	1	0.9444	0.7271	0.9986	18	0.6667	0.0943	0.9916	3	0.8333	0.3588	0.9958	6	0.1667	0.0209	0.4841	12
bobseq_50nt	Ris dose 25mM	raw	bobseq	3	3	8	20	0	0	2	3	19	3	8	0	0	0	20	0	0	2	0.9394	0.7977	0.9926	33	0.6	0.1466	0.9473	5	0.8	0.4439	0.9748	10	0.1364	0.0291	0.3491	22
bobseq_pe_native	CADM1 100nM	dedup	bobseq	3	26	47	10	2	1	34	21	42	20	31	0	20	41	10	2	1	34	0.6917	0.6009	0.7727	120	0.4127	0.2901	0.5438	63	0.5595	0.447	0.6678	84	0.3333	0.2195	0.4634	63
bobseq_pe_native	CADM1 100nM	raw	bobseq	3	84	132	34	6	5	99	71	112	69	91	0	67	110	34	6	5	99	0.6944	0.644	0.7416	360	0.433	0.3622	0.5059	194	0.5455	0.4804	0.6094	242	0.388	0.317	0.4627	183
bobseq_pe_native	CADM1 1nM	dedup	bobseq	3	14	56	10	1	0	31	16	54	10	39	1	10	46	9	1	0	31	0.7143	0.6212	0.7957	112	0.3043	0.1774	0.4575	46	0.6364	0.5269	0.7363	88	0.2286	0.1367	0.3445	70
bobseq_pe_native	CADM1 1nM	raw	bobseq	3	35	151	23	3	0	75	43	149	29	110	5	19	129	18	3	0	75	0.7282	0.6728	0.7788	287	0.3097	0.2261	0.4036	113	0.6594	0.5941	0.7205	229	0.224	0.1671	0.2896	192
bobseq_pe_native	CHX dose 1ug/mL	dedup	bobseq	3	25	80	15	1	0	47	27	73	21	57	4	20	66	12	1	0	47	0.7143	0.6396	0.7812	168	0.3425	0.2353	0.4628	73	0.625	0.5351	0.709	128	0.27	0.1861	0.368	100
bobseq_pe_native	CHX dose 1ug/mL	raw	bobseq	3	79	230	32	5	0	171	82	214	70	168	12	66	194	24	5	0	171	0.6596	0.6169	0.7004	517	0.3098	0.2536	0.3705	255	0.5665	0.5167	0.6153	406	0.277	0.2268	0.3318	296
bobseq_pe_native	CHX dose 50ug/mL	dedup	bobseq	3	25	76	16	3	0	41	23	68	16	54	5	20	62	11	3	0	41	0.7267	0.651	0.7939	161	0.3623	0.2499	0.4869	69	0.6333	0.5405	0.7194	120	0.2527	0.1675	0.3547	91
bobseq_pe_native	CHX dose 50ug/mL	raw	bobseq	3	81	210	42	7	0	112	76	186	59	167	16	55	156	26	7	0	112	0.7367	0.6936	0.7768	452	0.405	0.3363	0.4765	200	0.6383	0.5838	0.6903	329	0.2901	0.2359	0.3491	262
bobseq_pe_native	Hek control	dedup	bobseq	3	15	52	11	1	0	18	14	45	9	34	2	13	46	10	1	0	18	0.8041	0.7111	0.8778	97	0.4412	0.2719	0.6211	34	0.7324	0.6141	0.8306	71	0.2373	0.1362	0.3659	59
bobseq_pe_native	Hek control	raw	bobseq	3	54	148	24	1	0	61	53	132	33	111	7	47	130	22	1	0	61	0.7847	0.7327	0.8308	288	0.4655	0.3724	0.5605	116	0.7048	0.6381	0.7655	210	0.2865	0.2225	0.3574	185
bobseq_pe_native	Ris dose 25mM	dedup	bobseq	3	21	33	4	1	0	5	21	28	20	20	0	14	26	4	1	0	5	0.9062	0.807	0.9648	64	0.7778	0.5774	0.9138	27	0.8462	0.6947	0.9414	39	0.4286	0.2882	0.5779	49
bobseq_pe_native	Ris dose 25mM	raw	bobseq	3	53	90	8	2	0	10	45	73	43	55	0	41	70	8	2	0	10	0.9264	0.8749	0.9614	163	0.8154	0.6997	0.9008	65	0.8824	0.8035	0.9377	102	0.3814	0.2935	0.4753	118
bobseq_pe_native	Ris dose 500mM	dedup	bobseq	3	2	2	0	0	0	1	2	2	2	2	0	0	1	0	0	0	1	0.8	0.2836	0.9949	5	0.6667	0.0943	0.9916	3	0.6667	0.0943	0.9916	3	0.5	0.0676	0.9324	4
bobseq_pe_native	Ris dose 500mM	raw	bobseq	3	6	16	0	0	0	3	6	16	6	16	0	0	9	0	0	0	3	0.88	0.6878	0.9745	25	0.6667	0.2993	0.9251	9	0.8421	0.6042	0.9662	19	0.2727	0.1073	0.5022	22
brbseq	all	dedup	brbseq	8	11	19	8	0	0	14	11	21	11	19	2	0	0	6	0	0	14	0.7308	0.5898	0.8443	52	0.44	0.244	0.6507	25	0.5758	0.3922	0.7452	33	0.3438	0.1857	0.5319	32
brbseq	all	raw	brbseq	8	24	38	13	0	0	20	24	41	24	38	4	0	0	9	0	0	20	0.7895	0.6938	0.8664	95	0.5455	0.3885	0.6961	44	0.6552	0.5188	0.7751	58	0.3692	0.2528	0.498	65
brbseq_native	all	dedup	brbseq	8	13	28	8	0	0	18	13	29	13	27	0	3	15	8	0	0	18	0.7313	0.609	0.8324	67	0.4194	0.2455	0.6092	31	0.6087	0.4537	0.7491	46	0.3095	0.1762	0.4709	42
brbseq_native	all	raw	brbseq	8	28	55	17	0	0	28	28	57	28	54	0	8	28	17	0	0	28	0.7812	0.6996	0.8495	128	0.5	0.3634	0.6366	56	0.6627	0.5505	0.7628	83	0.3294	0.2313	0.4398	85
drugseq	all	dedup	drugseq	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0				0				0				0
drugseq	all	raw	drugseq	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0				0				0				0
drugseq_native	all	dedup	drugseq	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0				0				0				0
drugseq_native	all	raw	drugseq	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0				0				0				0
primeseq	all	dedup	primeseq	8	2	4	4	0	0	2	2	4	2	4	0	0	0	4	0	0	2	0.8333	0.5159	0.9791	12	0.5	0.0676	0.9324	4	0.6667	0.2228	0.9567	6	0.3333	0.0433	0.7772	6
primeseq	all	raw	primeseq	8	3	4	4	0	0	2	3	4	3	4	0	0	0	4	0	0	2	0.8462	0.5455	0.9808	13	0.6	0.1466	0.9473	5	0.6667	0.2228	0.9567	6	0.4286	0.099	0.8159	7
primeseq_native	all	dedup	primeseq	8	2	4	4	0	0	2	2	4	2	4	0	0	0	4	0	0	2	0.8333	0.5159	0.9791	12	0.5	0.0676	0.9324	4	0.6667	0.2228	0.9567	6	0.3333	0.0433	0.7772	6
primeseq_native	all	raw	primeseq	8	3	4	4	0	0	2	3	4	3	4	0	0	0	4	0	0	2	0.8462	0.5455	0.9808	13	0.6	0.1466	0.9473	5	0.6667	0.2228	0.9567	6	0.4286	0.099	0.8159	7
