sample	well_species	level	molecules	correct	accuracy_pct	wilson95_lo	wilson95_hi
CADM1_100nM-1	human	L0 mapped, bobcode	2384504	2346257	98.3960	98.3800	98.4119
CADM1_100nM-1	human	L1 single species	2349195	2338763	99.5559	99.5473	99.5644
CADM1_100nM-1	human	L2 not rRNA/MT	2104223	2094267	99.5269	99.5175	99.5360
CADM1_100nM-1	human	L3 mRNA	1517212	1513300	99.7422	99.7340	99.7501
CADM1_100nM-1	human	L4 exact bobcode	1474001	1470760	99.7801	99.7724	99.7876
CADM1_100nM-2	human	L0 mapped, bobcode	2232567	2195283	98.3300	98.3131	98.3467
CADM1_100nM-2	human	L1 single species	2197358	2187596	99.5557	99.5469	99.5644
CADM1_100nM-2	human	L2 not rRNA/MT	1944218	1934973	99.5245	99.5147	99.5341
CADM1_100nM-2	human	L3 mRNA	1426906	1422896	99.7190	99.7102	99.7275
CADM1_100nM-2	human	L4 exact bobcode	1371540	1368092	99.7486	99.7401	99.7568
CADM1_100nM-3	human	L0 mapped, bobcode	2365006	2320462	98.1165	98.0991	98.1338
CADM1_100nM-3	human	L1 single species	2323021	2311497	99.5039	99.4948	99.5129
CADM1_100nM-3	human	L2 not rRNA/MT	2026983	2016137	99.4649	99.4548	99.4749
CADM1_100nM-3	human	L3 mRNA	1486775	1481908	99.6726	99.6633	99.6817
CADM1_100nM-3	human	L4 exact bobcode	1432572	1428795	99.7363	99.7278	99.7446
CADM1_1nM-1	human	L0 mapped, bobcode	2593003	2541698	98.0214	98.0044	98.0383
CADM1_1nM-1	human	L1 single species	2543372	2532616	99.5771	99.5690	99.5850
CADM1_1nM-1	human	L2 not rRNA/MT	2207699	2197607	99.5429	99.5339	99.5517
CADM1_1nM-1	human	L3 mRNA	1586717	1583171	99.7765	99.7691	99.7837
CADM1_1nM-1	human	L4 exact bobcode	1552501	1549283	99.7927	99.7854	99.7998
CADM1_1nM-2	human	L0 mapped, bobcode	2423713	2378242	98.1239	98.1068	98.1409
CADM1_1nM-2	human	L1 single species	2380631	2370376	99.5692	99.5608	99.5775
CADM1_1nM-2	human	L2 not rRNA/MT	2088797	2079082	99.5349	99.5256	99.5440
CADM1_1nM-2	human	L3 mRNA	1492813	1489185	99.7570	99.7489	99.7647
CADM1_1nM-2	human	L4 exact bobcode	1445011	1441937	99.7873	99.7796	99.7946
CADM1_1nM-3	human	L0 mapped, bobcode	2211259	2161899	97.7678	97.7482	97.7872
CADM1_1nM-3	human	L1 single species	2162284	2153391	99.5887	99.5801	99.5972
CADM1_1nM-3	human	L2 not rRNA/MT	1844167	1835973	99.5557	99.5460	99.5652
CADM1_1nM-3	human	L3 mRNA	1328403	1325339	99.7693	99.7610	99.7774
CADM1_1nM-3	human	L4 exact bobcode	1291296	1288536	99.7863	99.7781	99.7941
CHX_dose_1ug_mL-1	human	L0 mapped, bobcode	1740404	1681825	96.6342	96.6073	96.6609
CHX_dose_1ug_mL-1	human	L1 single species	1678217	1669692	99.4920	99.4812	99.5027
CHX_dose_1ug_mL-1	human	L2 not rRNA/MT	1277583	1269915	99.3998	99.3863	99.4131
CHX_dose_1ug_mL-1	human	L3 mRNA	960231	956694	99.6317	99.6193	99.6436
CHX_dose_1ug_mL-1	human	L4 exact bobcode	930296	927065	99.6527	99.6405	99.6644
CHX_dose_1ug_mL-2	human	L0 mapped, bobcode	2035404	1992112	97.8731	97.8531	97.8928
CHX_dose_1ug_mL-2	human	L1 single species	1992928	1982249	99.4642	99.4539	99.4742
CHX_dose_1ug_mL-2	human	L2 not rRNA/MT	1716251	1706245	99.4170	99.4055	99.4283
CHX_dose_1ug_mL-2	human	L3 mRNA	1274548	1270101	99.6511	99.6407	99.6612
CHX_dose_1ug_mL-2	human	L4 exact bobcode	1242128	1238086	99.6746	99.6644	99.6845
CHX_dose_1ug_mL-3	human	L0 mapped, bobcode	1696690	1657813	97.7087	97.6860	97.7311
CHX_dose_1ug_mL-3	human	L1 single species	1658467	1650772	99.5360	99.5256	99.5462
CHX_dose_1ug_mL-3	human	L2 not rRNA/MT	1417164	1410021	99.4960	99.4842	99.5075
CHX_dose_1ug_mL-3	human	L3 mRNA	1054979	1052140	99.7309	99.7208	99.7406
CHX_dose_1ug_mL-3	human	L4 exact bobcode	1005169	1002781	99.7624	99.7527	99.7718
CHX_dose_50ug_mL-1	human	L0 mapped, bobcode	1788086	1737066	97.1467	97.1222	97.1710
CHX_dose_50ug_mL-1	human	L1 single species	1736864	1728268	99.5051	99.4945	99.5154
CHX_dose_50ug_mL-1	human	L2 not rRNA/MT	1399886	1391991	99.4360	99.4235	99.4483
CHX_dose_50ug_mL-1	human	L3 mRNA	996803	993867	99.7055	99.6946	99.7159
CHX_dose_50ug_mL-1	human	L4 exact bobcode	969673	967024	99.7268	99.7162	99.7370
CHX_dose_50ug_mL-2	human	L0 mapped, bobcode	1943614	1891275	97.3071	97.2843	97.3298
CHX_dose_50ug_mL-2	human	L1 single species	1892553	1881604	99.4215	99.4106	99.4322
CHX_dose_50ug_mL-2	human	L2 not rRNA/MT	1540926	1530736	99.3387	99.3258	99.3514
CHX_dose_50ug_mL-2	human	L3 mRNA	1109070	1104367	99.5760	99.5637	99.5879
CHX_dose_50ug_mL-2	human	L4 exact bobcode	1073242	1069508	99.6521	99.6408	99.6630
CHX_dose_50ug_mL-3	human	L0 mapped, bobcode	1976269	1927491	97.5318	97.5101	97.5534
CHX_dose_50ug_mL-3	human	L1 single species	1928009	1919110	99.5384	99.5288	99.5479
CHX_dose_50ug_mL-3	human	L2 not rRNA/MT	1599332	1591178	99.4902	99.4790	99.5011
CHX_dose_50ug_mL-3	human	L3 mRNA	1194223	1191125	99.7406	99.7313	99.7495
CHX_dose_50ug_mL-3	human	L4 exact bobcode	1145688	1142895	99.7562	99.7470	99.7651
Hek_control_1	human	L0 mapped, bobcode	2141399	2084579	97.3466	97.3250	97.3680
Hek_control_1	human	L1 single species	2083463	2074540	99.5717	99.5628	99.5805
Hek_control_1	human	L2 not rRNA/MT	1678039	1669902	99.5151	99.5045	99.5255
Hek_control_1	human	L3 mRNA	1254574	1251064	99.7202	99.7108	99.7293
Hek_control_1	human	L4 exact bobcode	1195897	1192788	99.7400	99.7307	99.7490
Hek_control_2	human	L0 mapped, bobcode	2856948	2802995	98.1115	98.0957	98.1272
Hek_control_2	human	L1 single species	2803187	2792369	99.6141	99.6068	99.6213
Hek_control_2	human	L2 not rRNA/MT	2385954	2375954	99.5809	99.5726	99.5890
Hek_control_2	human	L3 mRNA	1793638	1789950	99.7944	99.7876	99.8009
Hek_control_2	human	L4 exact bobcode	1727834	1724797	99.8242	99.8179	99.8304
Hek_control_3	human	L0 mapped, bobcode	2947669	2870861	97.3943	97.3760	97.4124
Hek_control_3	human	L1 single species	2869677	2856307	99.5341	99.5261	99.5419
