method	depth_filtered_reads	n_samples	mean	sd	ci95_halfwidth	ci95_lo	ci95_hi
DRUG-seq	50000	24	40075.3	2271.0	958.9	39116.4	41034.3
DRUG-seq	100000	24	68432.2	6004.2	2535.3	65896.9	70967.6
DRUG-seq	250000	21	126614.1	10398.1	4733.2	121880.9	131347.3
DRUG-seq	500000	7	194176.7	5925.4	5480.1	188696.6	199656.8
prime-seq	50000	8	49260.8	198.6	166.0	49094.7	49426.8
prime-seq	100000	8	97313.6	746.2	623.8	96689.8	97937.4
prime-seq	250000	8	234922.9	4059.6	3393.9	231528.9	238316.8
prime-seq	500000	5	447171.0	8429.5	10466.6	436704.4	457637.6
BOBseq	50000	18	48295.6	673.4	334.9	47960.8	48630.5
BOBseq	100000	18	94281.6	1414.4	703.4	93578.2	94984.9
BOBseq	250000	18	220357.9	4587.6	2281.4	218076.5	222639.3
BOBseq	500000	18	397123.8	13823.3	6874.2	390249.6	403998.0
BOBseq	1000000	18	659008.3	40805.5	20292.1	638716.3	679300.4
BOBseq	2000000	18	969035.5	95923.1	47701.4	921334.1	1016736.9
