method	depth_filtered_reads	n_samples	mean	sd	ci95_halfwidth	ci95_lo	ci95_hi
DRUG-seq	50000	24	4546.2	89.8	37.9	4508.2	4584.1
DRUG-seq	100000	24	5676.2	153.8	65.0	5611.2	5741.1
DRUG-seq	250000	21	7139.0	140.3	63.9	7075.1	7202.9
DRUG-seq	500000	7	8211.3	96.0	88.8	8122.5	8300.1
prime-seq	50000	8	7902.1	75.5	63.1	7839.0	7965.3
prime-seq	100000	8	9427.2	70.8	59.2	9368.1	9486.4
prime-seq	250000	8	11044.6	59.1	49.4	10995.2	11094.0
prime-seq	500000	5	12036.4	43.8	54.4	11982.0	12090.8
BOBseq	50000	18	7245.7	148.3	73.7	7172.0	7319.5
BOBseq	100000	18	8837.1	147.2	73.2	8763.9	8910.3
BOBseq	250000	18	10621.4	132.7	66.0	10555.4	10687.4
BOBseq	500000	18	11649.2	117.0	58.2	11591.0	11707.4
BOBseq	1000000	18	12392.6	102.7	51.1	12341.6	12443.7
BOBseq	2000000	18	12905.1	114.9	57.1	12848.0	12962.2
