nt_from_polyA_site	genes_contributing	DRUG-seq_mean_over_genes_smoothed25	prime-seq_mean_over_genes_smoothed25	BOBseq_mean_over_genes_smoothed25	DRUG-seq_mean_over_genes_raw	prime-seq_mean_over_genes_raw	BOBseq_mean_over_genes_raw
0	2070	1.0639	0.4025	1.2659	0.6257	0.2519	1.3184
1	2070	1.1035	0.4139	1.2615	0.6863	0.2752	1.2865
2	2070	1.1439	0.4251	1.2570	0.7721	0.3108	1.2799
3	2070	1.1850	0.4356	1.2521	0.8506	0.3373	1.2769
4	2070	1.2270	0.4458	1.2474	0.9289	0.3630	1.2753
5	2070	1.2700	0.4559	1.2429	0.9940	0.3857	1.2708
6	2070	1.3133	0.4660	1.2389	1.0628	0.4058	1.2680
7	2070	1.3572	0.4752	1.2350	1.1298	0.4279	1.2648
8	2070	1.4022	0.4843	1.2315	1.2001	0.4575	1.2597
9	2070	1.4485	0.4932	1.2281	1.2717	0.4769	1.2546
10	2070	1.4968	0.5023	1.2247	1.3548	0.4940	1.2471
11	2070	1.5464	0.5115	1.2216	1.4297	0.5148	1.2339
12	2070	1.5966	0.5209	1.2184	1.5243	0.5315	1.2202
13	2070	1.6888	0.5416	1.2110	1.6189	0.5620	1.2054
14	2070	1.7850	0.5622	1.2047	1.7088	0.5822	1.1934
15	2070	1.8829	0.5819	1.1985	1.8017	0.5925	1.1792
16	2070	1.9833	0.6013	1.1922	1.8988	0.6098	1.1713
17	2070	2.0862	0.6204	1.1859	2.0012	0.6275	1.1672
18	2070	2.1918	0.6394	1.1796	2.0932	0.6471	1.1656
19	2070	2.3004	0.6580	1.1733	2.1912	0.6512	1.1623
20	2070	2.4124	0.6765	1.1670	2.3017	0.6654	1.1604
21	2070	2.5273	0.6942	1.1609	2.4199	0.6807	1.1565
22	2070	2.6452	0.7117	1.1549	2.5608	0.7016	1.1517
23	2070	2.7651	0.7285	1.1491	2.6871	0.7240	1.1482
24	2070	2.8878	0.7451	1.1439	2.7999	0.7471	1.1425
25	2070	3.0127	0.7615	1.1391	2.9320	0.7695	1.1345
26	2070	3.1407	0.7770	1.1349	3.0916	0.7882	1.1286
27	2070	3.2714	0.7921	1.1310	3.2183	0.8044	1.1236
28	2070	3.4041	0.8071	1.1275	3.3626	0.8214	1.1198
29	2070	3.5394	0.8216	1.1243	3.5011	0.8410	1.1172
30	2070	3.6754	0.8358	1.1214	3.6334	0.8611	1.1138
31	2070	3.8142	0.8495	1.1184	3.7786	0.8718	1.1108
32	2070	3.9544	0.8634	1.1156	3.9291	0.8889	1.1086
33	2070	4.0967	0.8768	1.1130	4.0720	0.9002	1.1066
34	2070	4.2391	0.8899	1.1104	4.2200	0.9148	1.1041
35	2070	4.3814	0.9023	1.1081	4.3507	0.9136	1.1032
36	2070	4.5232	0.9139	1.1060	4.4986	0.9297	1.1017
37	2070	4.6651	0.9238	1.1043	4.6469	0.9427	1.1007
38	2070	4.8071	0.9331	1.1029	4.8187	0.9493	1.1002
39	2070	4.9474	0.9418	1.1016	4.9755	0.9588	1.0959
40	2070	5.0870	0.9497	1.1006	5.1185	0.9670	1.0922
41	2070	5.2251	0.9571	1.0998	5.2816	0.9731	1.0918
42	2070	5.3623	0.9638	1.0992	5.4011	0.9833	1.0934
43	2070	5.4988	0.9701	1.0989	5.5637	0.9892	1.0927
44	2070	5.6343	0.9761	1.0988	5.6966	0.9970	1.0920
45	2070	5.7688	0.9814	1.0988	5.8593	1.0014	1.0943
46	2070	5.9019	0.9862	1.0992	5.9804	1.0074	1.0915
47	2070	6.0339	0.9904	1.0996	6.1169	1.0116	1.0936
48	2070	6.1646	0.9950	1.1001	6.2324	1.0138	1.0968
49	2070	6.2928	0.9991	1.1008	6.3475	0.9956	1.0990
50	2070	6.4187	1.0028	1.1016	6.4823	1.0027	1.0999
51	2070	6.5416	1.0059	1.1024	6.5991	1.0049	1.0970
52	2070	6.6613	1.0088	1.1034	6.7087	1.0034	1.0987
53	2070	6.7782	1.0117	1.1046	6.8136	1.0047	1.0994
54	2070	6.8908	1.0145	1.1059	6.9318	1.0080	1.1031
55	2070	7.0013	1.0168	1.1071	7.0452	1.0192	1.1056
56	2070	7.1079	1.0189	1.1085	7.1662	1.0227	1.1086
57	2070	7.2115	1.0208	1.1100	7.2925	1.0214	1.1090
58	2070	7.3114	1.0227	1.1116	7.4008	1.0198	1.1148
59	2070	7.4081	1.0247	1.1134	7.5179	1.0201	1.1150
60	2070	7.5020	1.0266	1.1153	7.6189	1.0293	1.1164
61	2070	7.5933	1.0288	1.1173	7.7049	1.0299	1.1188
62	2070	7.6804	1.0319	1.1192	7.7933	1.0367	1.1191
63	2070	7.7632	1.0353	1.1212	7.8903	1.0261	1.1203
64	2070	7.8433	1.0388	1.1234	7.9685	1.0317	1.1216
65	2070	7.9196	1.0428	1.1258	8.0420	1.0399	1.1228
66	2070	7.9916	1.0469	1.1283	8.0962	1.0414	1.1238
67	2070	8.0587	1.0509	1.1307	8.1629	1.0408	1.1244
68	2070	8.1220	1.0548	1.1332	8.2285	1.0420	1.1273
69	2070	8.1811	1.0589	1.1356	8.2872	1.0448	1.1290
70	2070	8.2353	1.0634	1.1381	8.3559	1.0488	1.1337
71	2070	8.2847	1.0683	1.1403	8.3992	1.0589	1.1378
72	2070	8.3289	1.0735	1.1426	8.4630	1.0583	1.1416
73	2070	8.3683	1.0790	1.1449	8.5158	1.0681	1.1455
74	2070	8.4037	1.0849	1.1473	8.5260	1.0726	1.1474
75	2070	8.4338	1.0908	1.1498	8.5525	1.0889	1.1503
76	2070	8.4591	1.0977	1.1524	8.5999	1.0923	1.1514
77	2070	8.4794	1.1049	1.1550	8.6161	1.1034	1.1576
78	2070	8.4944	1.1121	1.1578	8.6151	1.1066	1.1613
79	2070	8.5051	1.1200	1.1606	8.6077	1.1098	1.1641
80	2070	8.5115	1.1286	1.1636	8.6277	1.1165	1.1679
81	2070	8.5133	1.1376	1.1664	8.6435	1.1231	1.1691
82	2070	8.5128	1.1473	1.1693	8.6491	1.1338	1.1704
83	2070	8.5072	1.1573	1.1722	8.6341	1.1428	1.1698
84	2070	8.4982	1.1679	1.1751	8.6240	1.1499	1.1730
85	2070	8.4847	1.1793	1.1780	8.6048	1.1666	1.1743
86	2070	8.4672	1.1911	1.1808	8.5892	1.1790	1.1786
87	2070	8.4475	1.2037	1.1837	8.5469	1.1831	1.1819
88	2070	8.4253	1.2166	1.1867	8.5211	1.1987	1.1849
89	2070	8.3999	1.2302	1.1898	8.4771	1.2128	1.1880
90	2070	8.3708	1.2442	1.1928	8.4177	1.2205	1.1910
91	2070	8.3393	1.2593	1.1957	8.3624	1.2371	1.1942
92	2070	8.3062	1.2750	1.1988	8.3239	1.2576	1.1987
93	2070	8.2709	1.2910	1.2018	8.2722	1.2656	1.1987
94	2070	8.2332	1.3079	1.2050	8.2760	1.2878	1.2015
95	2070	8.1933	1.3254	1.2082	8.2152	1.2997	1.2063
96	2070	8.1517	1.3435	1.2116	8.1752	1.3225	1.2098
97	2070	8.1075	1.3624	1.2151	8.1245	1.3437	1.2134
98	2070	8.0621	1.3813	1.2187	8.0782	1.3635	1.2162
99	2070	8.0137	1.4006	1.2223	8.0335	1.3880	1.2210
100	2070	7.9653	1.4202	1.2258	7.9974	1.4113	1.2246
101	2070	7.9157	1.4405	1.2294	7.9645	1.4328	1.2286
102	2070	7.8652	1.4611	1.2330	7.8898	1.4520	1.2319
103	2070	7.8152	1.4823	1.2365	7.8270	1.4853	1.2353
104	2070	7.7643	1.5049	1.2401	7.7797	1.5024	1.2396
105	2070	7.7126	1.5278	1.2434	7.7453	1.5149	1.2447
106	2070	7.6613	1.5517	1.2469	7.7006	1.5458	1.2481
107	2070	7.6072	1.5767	1.2503	7.6523	1.5720	1.2503
108	2070	7.5541	1.6025	1.2536	7.5941	1.5952	1.2552
109	2070	7.4997	1.6287	1.2569	7.5198	1.6220	1.2598
110	2070	7.4445	1.6554	1.2601	7.4692	1.6405	1.2654
111	2070	7.3892	1.6823	1.2633	7.3778	1.6616	1.2678
112	2070	7.3326	1.7091	1.2664	7.3376	1.6715	1.2704
113	2070	7.2755	1.7357	1.2694	7.2826	1.7074	1.2742
