nt_from_polyA_site	genes_contributing	DRUG-seq_mean_over_genes_smoothed25	prime-seq_mean_over_genes_smoothed25	BOBseq_mean_over_genes_smoothed25	DRUG-seq_mean_over_genes_raw	prime-seq_mean_over_genes_raw	BOBseq_mean_over_genes_raw
0	2065	0.9895	0.3913	0.3628	0.5632	0.2452	0.2455
1	2065	1.0272	0.4025	0.3715	0.6297	0.2655	0.2616
2	2065	1.0664	0.4135	0.3800	0.7035	0.3036	0.2880
3	2065	1.1065	0.4238	0.3884	0.7749	0.3294	0.3088
4	2065	1.1474	0.4337	0.3965	0.8465	0.3571	0.3297
5	2065	1.1895	0.4434	0.4044	0.9214	0.3753	0.3526
6	2065	1.2331	0.4531	0.4121	0.9984	0.3953	0.3688
7	2065	1.2777	0.4620	0.4198	1.0572	0.4152	0.3845
8	2065	1.3231	0.4707	0.4276	1.1300	0.4434	0.3999
9	2065	1.3694	0.4793	0.4353	1.1902	0.4595	0.4194
10	2065	1.4166	0.4879	0.4429	1.2671	0.4775	0.4372
11	2065	1.4653	0.4966	0.4503	1.3489	0.5008	0.4535
12	2065	1.5151	0.5054	0.4578	1.4323	0.5187	0.4674
13	2065	1.6061	0.5251	0.4740	1.5178	0.5483	0.4835
14	2065	1.6992	0.5447	0.4898	1.6148	0.5681	0.4991
15	2065	1.7953	0.5635	0.5052	1.7082	0.5778	0.5143
16	2065	1.8957	0.5819	0.5202	1.8028	0.5929	0.5268
17	2065	1.9988	0.5998	0.5348	1.9047	0.6081	0.5377
18	2065	2.1045	0.6179	0.5489	2.0169	0.6269	0.5508
19	2065	2.2129	0.6355	0.5628	2.1257	0.6310	0.5670
20	2065	2.3239	0.6531	0.5764	2.2314	0.6451	0.5826
21	2065	2.4377	0.6701	0.5896	2.3412	0.6601	0.5976
22	2065	2.5548	0.6871	0.6019	2.4562	0.6760	0.6105
23	2065	2.6741	0.7034	0.6135	2.5838	0.6972	0.6215
24	2065	2.7957	0.7192	0.6246	2.7118	0.7157	0.6374
25	2065	2.9192	0.7348	0.6351	2.8382	0.7377	0.6493
26	2065	3.0452	0.7493	0.6449	2.9560	0.7568	0.6569
27	2065	3.1731	0.7633	0.6543	3.1065	0.7725	0.6737
28	2065	3.3040	0.7772	0.6629	3.2840	0.7894	0.6826
29	2065	3.4380	0.7909	0.6710	3.4246	0.8057	0.6964
30	2065	3.5740	0.8045	0.6787	3.5649	0.8264	0.7047
31	2065	3.7113	0.8176	0.6858	3.7067	0.8376	0.7146
32	2065	3.8488	0.8308	0.6923	3.8325	0.8545	0.7256
33	2065	3.9891	0.8437	0.6980	3.9743	0.8687	0.7290
34	2065	4.1300	0.8562	0.7031	4.1178	0.8850	0.7291
35	2065	4.2726	0.8683	0.7079	4.2496	0.8838	0.7263
36	2065	4.4154	0.8796	0.7126	4.3897	0.8964	0.7302
37	2065	4.5581	0.8895	0.7164	4.5211	0.9080	0.7294
38	2065	4.7000	0.8987	0.7198	4.6677	0.9122	0.7305
39	2065	4.8416	0.9075	0.7228	4.8112	0.9172	0.7337
40	2065	4.9831	0.9155	0.7249	4.9817	0.9252	0.7297
41	2065	5.1230	0.9229	0.7266	5.1527	0.9354	0.7294
42	2065	5.2613	0.9298	0.7275	5.3036	0.9478	0.7283
43	2065	5.3975	0.9362	0.7280	5.4496	0.9543	0.7294
44	2065	5.5324	0.9422	0.7282	5.5640	0.9621	0.7294
45	2065	5.6671	0.9477	0.7279	5.7375	0.9659	0.7253
46	2065	5.8002	0.9527	0.7274	5.8631	0.9730	0.7261
47	2065	5.9325	0.9571	0.7266	6.0237	0.9787	0.7304
48	2065	6.0637	0.9622	0.7260	6.1534	0.9809	0.7373
49	2065	6.1930	0.9667	0.7253	6.2779	0.9612	0.7338
50	2065	6.3208	0.9709	0.7248	6.3867	0.9699	0.7341
51	2065	6.4463	0.9747	0.7242	6.4960	0.9749	0.7317
52	2065	6.5688	0.9784	0.7236	6.6447	0.9736	0.7250
53	2065	6.6879	0.9820	0.7233	6.7808	0.9745	0.7247
54	2065	6.8035	0.9855	0.7233	6.8811	0.9767	0.7190
55	2065	6.9156	0.9886	0.7234	6.9709	0.9864	0.7171
