method	samples_pooled	pooled_molecules	depth	all_junctions_expected
DRUG-seq	24	5443153	25000	133.3
DRUG-seq	24	5443153	50000	233.0
DRUG-seq	24	5443153	100000	390.9
DRUG-seq	24	5443153	250000	716.9
DRUG-seq	24	5443153	500000	1090.3
DRUG-seq	24	5443153	1000000	1616.4
DRUG-seq	24	5443153	2000000	2396.7
DRUG-seq	24	5443153	5000000	4178.4
prime-seq	8	7915793	25000	130.1
prime-seq	8	7915793	50000	300.6
prime-seq	8	7915793	100000	648.7
prime-seq	8	7915793	250000	1627.0
prime-seq	8	7915793	500000	3033.8
prime-seq	8	7915793	1000000	5387.7
prime-seq	8	7915793	2000000	9167.5
prime-seq	8	7915793	5000000	17217.9
BOBseq	18	62323612	25000	474.5
BOBseq	18	62323612	50000	1026.0
BOBseq	18	62323612	100000	2128.1
BOBseq	18	62323612	250000	5140.0
BOBseq	18	62323612	500000	9365.0
BOBseq	18	62323612	1000000	16064.5
BOBseq	18	62323612	2000000	25937.0
BOBseq	18	62323612	5000000	44688.7
BOBseq	18	62323612	10000000	63550.3
BOBseq	18	62323612	20000000	87180.6
BOBseq	18	62323612	50000000	130040.2
DRUG-seq	24	5443153	5443153	4405.0
prime-seq	8	7915793	7915793	22925.0
BOBseq	18	62323612	62323612	143452.0
