method	samples_pooled	pooled_molecules	depth	annotated_junctions_expected
DRUG-seq	24	5443153	25000	131.7
DRUG-seq	24	5443153	50000	229.3
DRUG-seq	24	5443153	100000	383.4
DRUG-seq	24	5443153	250000	696.7
DRUG-seq	24	5443153	500000	1044.3
DRUG-seq	24	5443153	1000000	1516.0
DRUG-seq	24	5443153	2000000	2178.8
DRUG-seq	24	5443153	5000000	3578.1
prime-seq	8	7915793	25000	130.1
prime-seq	8	7915793	50000	300.6
prime-seq	8	7915793	100000	648.7
prime-seq	8	7915793	250000	1626.3
prime-seq	8	7915793	500000	3030.4
prime-seq	8	7915793	1000000	5374.2
prime-seq	8	7915793	2000000	9126.1
prime-seq	8	7915793	5000000	17056.9
BOBseq	18	62323612	25000	474.4
BOBseq	18	62323612	50000	1025.7
BOBseq	18	62323612	100000	2126.3
BOBseq	18	62323612	250000	5128.1
BOBseq	18	62323612	500000	9325.0
BOBseq	18	62323612	1000000	15943.0
BOBseq	18	62323612	2000000	25590.9
BOBseq	18	62323612	5000000	43444.7
BOBseq	18	62323612	10000000	60485.7
BOBseq	18	62323612	20000000	79917.8
BOBseq	18	62323612	50000000	108232.8
DRUG-seq	24	5443153	5443153	3746.0
prime-seq	8	7915793	7915793	22611.0
BOBseq	18	62323612	62323612	115256.0
