metric	column	sample_index_in_column	value
reads into STAR (log)	DRUG-seq	1	839908
reads into STAR (log)	DRUG-seq	2	1.01827e+06
reads into STAR (log)	DRUG-seq	3	273602
reads into STAR (log)	DRUG-seq	4	890165
reads into STAR (log)	DRUG-seq	5	842859
reads into STAR (log)	DRUG-seq	6	393165
reads into STAR (log)	DRUG-seq	7	793407
reads into STAR (log)	DRUG-seq	8	754415
reads into STAR (log)	DRUG-seq	9	514870
reads into STAR (log)	DRUG-seq	10	906849
reads into STAR (log)	DRUG-seq	11	813478
reads into STAR (log)	DRUG-seq	12	435307
reads into STAR (log)	DRUG-seq	13	867421
reads into STAR (log)	DRUG-seq	14	979686
reads into STAR (log)	DRUG-seq	15	551828
reads into STAR (log)	DRUG-seq	16	773376
reads into STAR (log)	DRUG-seq	17	804740
reads into STAR (log)	DRUG-seq	18	538163
reads into STAR (log)	DRUG-seq	19	926362
reads into STAR (log)	DRUG-seq	20	1.01002e+06
reads into STAR (log)	DRUG-seq	21	576148
reads into STAR (log)	DRUG-seq	22	990554
reads into STAR (log)	DRUG-seq	23	937228
reads into STAR (log)	DRUG-seq	24	577747
reads into STAR (log)	prime-seq	1	1.00227e+06
reads into STAR (log)	prime-seq	2	1.66045e+06
reads into STAR (log)	prime-seq	3	1.59705e+06
reads into STAR (log)	prime-seq	4	1.30659e+06
reads into STAR (log)	prime-seq	5	1.60816e+06
reads into STAR (log)	prime-seq	6	2.28221e+06
reads into STAR (log)	prime-seq	7	1.22719e+06
reads into STAR (log)	prime-seq	8	1.84917e+06
reads into STAR (log)	Hek control	1	7.29165e+06
reads into STAR (log)	Hek control	2	9.73032e+06
reads into STAR (log)	Hek control	3	1.0141e+07
reads into STAR (log)	CADM1 1nM	1	8.7578e+06
reads into STAR (log)	CADM1 1nM	2	8.14325e+06
reads into STAR (log)	CADM1 1nM	3	7.51964e+06
reads into STAR (log)	CADM1 100nM	1	8.04504e+06
reads into STAR (log)	CADM1 100nM	2	7.55643e+06
reads into STAR (log)	CADM1 100nM	3	8.04539e+06
reads into STAR (log)	CHX dose 1ug mL	1	5.98719e+06
reads into STAR (log)	CHX dose 1ug mL	2	6.89791e+06
reads into STAR (log)	CHX dose 1ug mL	3	5.75253e+06
reads into STAR (log)	CHX dose 50ug mL	1	6.04336e+06
reads into STAR (log)	CHX dose 50ug mL	2	6.53719e+06
reads into STAR (log)	CHX dose 50ug mL	3	6.70346e+06
reads into STAR (log)	Ris dose 25mM	1	8.25847e+06
reads into STAR (log)	Ris dose 25mM	2	7.46725e+06
reads into STAR (log)	Ris dose 25mM	3	9.24298e+06
reads into STAR (log)	Ris dose 500mM	1	1.24353e+06
reads into STAR (log)	Ris dose 500mM	2	1.6887e+06
reads into STAR (log)	Ris dose 500mM	3	1.15671e+06
reads into STAR (log)	RAW 264.7	1	6.62963e+06
reads into STAR (log)	RAW 264.7	2	9.08413e+06
reads into STAR (log)	RAW 264.7	3	9.3153e+06
mapping rate (% of reads)	DRUG-seq	1	90.0351
mapping rate (% of reads)	DRUG-seq	2	89.7589
mapping rate (% of reads)	DRUG-seq	3	89.7157
mapping rate (% of reads)	DRUG-seq	4	90.6123
mapping rate (% of reads)	DRUG-seq	5	89.803
mapping rate (% of reads)	DRUG-seq	6	89.8819
mapping rate (% of reads)	DRUG-seq	7	90.4357
mapping rate (% of reads)	DRUG-seq	8	90.0909
mapping rate (% of reads)	DRUG-seq	9	89.9631
mapping rate (% of reads)	DRUG-seq	10	90.5581
mapping rate (% of reads)	DRUG-seq	11	90.1295
mapping rate (% of reads)	DRUG-seq	12	90.3186
mapping rate (% of reads)	DRUG-seq	13	90.4527
mapping rate (% of reads)	DRUG-seq	14	90.3745
mapping rate (% of reads)	DRUG-seq	15	90.3936
mapping rate (% of reads)	DRUG-seq	16	90.3535
mapping rate (% of reads)	DRUG-seq	17	89.1215
mapping rate (% of reads)	DRUG-seq	18	90.2221
mapping rate (% of reads)	DRUG-seq	19	89.9939
mapping rate (% of reads)	DRUG-seq	20	90.4469
mapping rate (% of reads)	DRUG-seq	21	90.1293
mapping rate (% of reads)	DRUG-seq	22	90.0123
mapping rate (% of reads)	DRUG-seq	23	90.5208
mapping rate (% of reads)	DRUG-seq	24	89.8636
mapping rate (% of reads)	prime-seq	1	90.152
mapping rate (% of reads)	prime-seq	2	90.2451
mapping rate (% of reads)	prime-seq	3	91.6391
mapping rate (% of reads)	prime-seq	4	90.4535
mapping rate (% of reads)	prime-seq	5	89.4355
mapping rate (% of reads)	prime-seq	6	90.038
mapping rate (% of reads)	prime-seq	7	89.4199
mapping rate (% of reads)	prime-seq	8	90.4225
mapping rate (% of reads)	Hek control	1	94.2901
mapping rate (% of reads)	Hek control	2	93.9342
mapping rate (% of reads)	Hek control	3	92.5919
mapping rate (% of reads)	CADM1 1nM	1	93.3763
mapping rate (% of reads)	CADM1 1nM	2	93.7149
mapping rate (% of reads)	CADM1 1nM	3	93.4897
mapping rate (% of reads)	CADM1 100nM	1	93.5776
mapping rate (% of reads)	CADM1 100nM	2	94.1006
mapping rate (% of reads)	CADM1 100nM	3	94.1975
mapping rate (% of reads)	CHX dose 1ug mL	1	92.8536
mapping rate (% of reads)	CHX dose 1ug mL	2	92.5101
mapping rate (% of reads)	CHX dose 1ug mL	3	93.3432
mapping rate (% of reads)	CHX dose 50ug mL	1	91.754
mapping rate (% of reads)	CHX dose 50ug mL	2	92.433
