## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics --REF_FLAT HUMAN.noRP.refFlat --STRAND_SPECIFICITY NONE --MINIMUM_LENGTH 1000 --INPUT barcode02.ins500.mltmp.bam --OUTPUT barcode02.human.ins500_noRP_ml1000.rnaseq_metrics.txt --RRNA_FRAGMENT_PERCENTAGE 0.8 --METRIC_ACCUMULATION_LEVEL ALL_READS --END_BIAS_BASES 100 --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Sep 13 12:59:53 PDT 2026

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
92416626	55246281		0	1763418	689064	52793799	0	0	0	2961	3181	104	0.482091	0.517909		0	0.031919	0.012473	0.955608	0.031919	0.019081	0	1.059329	0.298838	0	0			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.345651
1	0.42261
2	0.509851
3	0.543685
4	0.610623
5	0.709044
6	0.792918
7	0.821989
8	0.89928
9	0.962216
10	1.00872
11	1.046462
12	1.11284
13	1.132064
14	1.167527
15	1.218252
16	1.319574
17	1.366397
18	1.378847
19	1.378332
20	1.353023
21	1.378783
22	1.363417
23	1.332624
24	1.286694
25	1.230709
26	1.266644
27	1.257372
28	1.256432
29	1.268727
30	1.22854
31	1.206055
32	1.131531
33	1.098868
34	1.074697
35	1.095375
36	1.074131
37	1.097894
38	1.086066
39	1.090545
40	1.152574
41	1.163244
42	1.159361
43	1.167079
44	1.171032
45	1.225577
46	1.254544
47	1.236236
48	1.255828
49	1.262019
50	1.292529
51	1.296056
52	1.296245
53	1.329018
54	1.369201
55	1.336746
56	1.3745
57	1.324696
58	1.244313
59	1.137546
60	1.081693
61	1.106297
62	1.099662
63	1.089367
64	1.01477
65	1.018493
66	1.043629
67	0.996483
68	0.999057
69	0.986435
70	0.980439
71	0.946319
72	0.945788
73	0.903442
74	0.863623
75	0.847146
76	0.813333
77	0.777918
78	0.728815
79	0.745299
80	0.784673
81	0.749661
82	0.773069
83	0.806093
84	0.865927
85	0.873063
86	0.848193
87	0.798019
88	0.760582
89	0.740723
90	0.669322
91	0.64929
92	0.605444
93	0.555475
94	0.505558
95	0.505526
96	0.486555
97	0.425198
98	0.389925
99	0.337125
100	0.232728

