## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics --REF_FLAT MOUSE.noRP.refFlat --STRAND_SPECIFICITY NONE --MINIMUM_LENGTH 1000 --INPUT barcode02.ins500.mltmp.bam --OUTPUT barcode02.mouse.ins500_noRP_ml1000.rnaseq_metrics.txt --RRNA_FRAGMENT_PERCENTAGE 0.8 --METRIC_ACCUMULATION_LEVEL ALL_READS --END_BIAS_BASES 100 --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Sep 13 12:59:56 PDT 2026

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
92416626	55246281		0	1425812	497035	53323434	0	0	0	2672	2714	99	0.496101	0.503899		0	0.025808	0.008997	0.965195	0.025808	0.015428	0	1.163416	0.160043	0	0			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.132395
1	0.18389
2	0.25197
3	0.347564
4	0.446808
5	0.52592
6	0.609316
7	0.694346
8	0.776224
9	0.869448
10	0.973347
11	1.091254
12	1.128605
13	1.215191
14	1.220759
15	1.225355
16	1.31168
17	1.389535
18	1.376362
19	1.38826
20	1.549376
21	1.623562
22	1.629457
23	1.566064
24	1.565698
25	1.498389
26	1.460491
27	1.426166
28	1.367714
29	1.204291
30	1.132645
31	1.038554
32	1.111205
33	1.148967
34	1.119441
35	1.066243
36	1.155786
37	1.1245
38	1.139385
39	1.200548
40	1.176642
41	1.113923
42	1.137686
43	1.231279
44	1.258961
45	1.253434
46	1.273449
47	1.278266
48	1.250592
49	1.215947
50	1.147611
51	1.171528
52	1.157614
53	1.175469
54	1.174508
55	1.173145
56	1.125919
57	1.068963
58	0.97337
59	0.977276
60	0.926623
61	0.882818
62	0.852489
63	0.8907
64	0.91584
65	0.894548
66	0.872559
67	0.861305
68	0.885606
69	0.910568
70	0.867211
71	0.852226
72	0.936236
73	0.967108
74	0.965551
75	0.982174
76	0.999688
77	0.966166
78	1.026071
79	1.004198
80	1.012307
81	1.073636
82	1.050637
83	1.024849
84	1.024328
85	1.045116
86	0.972373
87	0.962751
88	0.935621
89	0.856143
90	0.804508
91	0.662891
92	0.602177
93	0.573464
94	0.54331
95	0.482096
96	0.440166
97	0.401627
98	0.325397
99	0.171185
100	0.131099

