## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics --REF_FLAT HUMAN.noRP.refFlat --STRAND_SPECIFICITY NONE --MINIMUM_LENGTH 1000 --INPUT barcode04.ins500.mltmp.bam --OUTPUT barcode04.human.ins500_noRP_ml1000.rnaseq_metrics.txt --RRNA_FRAGMENT_PERCENTAGE 0.8 --METRIC_ACCUMULATION_LEVEL ALL_READS --END_BIAS_BASES 100 --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Sep 13 13:00:41 PDT 2026

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
155564139	85404562		0	3293781	1656309	80454472	0	0	0	7417	7610	173	0.493578	0.506422		0	0.038567	0.019394	0.94204	0.038567	0.021173	0	1.102496	0.441953	0.042202	0			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.273285
1	0.392085
2	0.562418
3	0.698184
4	0.779927
5	0.854488
6	0.923601
7	0.964742
8	0.989757
9	1.024308
10	1.045445
11	1.110312
12	1.100385
13	1.178689
14	1.21222
15	1.23638
16	1.231596
17	1.265273
18	1.316171
19	1.396625
20	1.409014
21	1.429706
22	1.416339
23	1.410736
24	1.375834
25	1.3634
26	1.345379
27	1.308765
28	1.212804
29	1.208681
30	1.159924
31	1.167096
32	1.192506
33	1.203293
34	1.184534
35	1.184549
36	1.212183
37	1.226607
38	1.218227
39	1.150404
40	1.150211
41	1.070871
42	1.060102
43	1.098839
44	1.107728
45	1.141909
46	1.176052
47	1.165486
48	1.23535
49	1.246765
50	1.24235
51	1.234901
52	1.196325
53	1.121951
54	1.05924
55	1.056831
56	1.027123
57	1.045512
58	1.007104
59	0.991072
60	0.930475
61	0.95773
62	0.999078
63	0.983109
64	0.967639
65	0.962272
66	0.965021
67	0.953639
68	0.948102
69	0.928039
70	0.947286
71	0.9277
72	0.937164
73	0.914488
74	0.867545
75	0.860185
76	0.884824
77	0.901335
78	0.872173
79	0.891891
80	0.936234
81	0.919852
82	0.908684
83	0.897741
84	0.887055
85	0.845682
86	0.846767
87	0.803281
88	0.767348
89	0.726818
90	0.704193
91	0.693067
92	0.682869
93	0.657933
94	0.624676
95	0.549916
96	0.505299
97	0.445532
98	0.372614
99	0.296694
100	0.249897

