## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics --REF_FLAT MOUSE.noRP.refFlat --STRAND_SPECIFICITY NONE --MINIMUM_LENGTH 1000 --INPUT barcode09.ins500.mltmp.bam --OUTPUT barcode09.mouse.ins500_noRP_ml1000.rnaseq_metrics.txt --RRNA_FRAGMENT_PERCENTAGE 0.8 --METRIC_ACCUMULATION_LEVEL ALL_READS --END_BIAS_BASES 100 --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Sep 13 13:00:55 PDT 2026

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
33805435	18961536		0	1668378	270914	17022244	0	0	0	2855	3525	80	0.447492	0.552508		0	0.087987	0.014288	0.897725	0.087987	0.049352	0	1.032696	0.229554	0	0			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.325492
1	0.438078
2	0.514608
3	0.560854
4	0.651916
5	0.756179
6	0.850746
7	0.919987
8	0.90463
9	0.927088
10	0.942367
11	0.963019
12	0.95867
13	0.925163
14	0.97219
15	1.027823
16	1.108353
17	1.147607
18	1.145621
19	1.153067
20	1.155416
21	1.222287
22	1.232585
23	1.266477
24	1.262261
25	1.362639
26	1.358318
27	1.304799
28	1.249351
29	1.25553
30	1.21633
31	1.221571
32	1.213525
33	1.189734
34	1.220224
35	1.25202
36	1.290024
37	1.277877
38	1.238393
39	1.206573
40	1.182649
41	1.209597
42	1.266458
43	1.303117
44	1.280338
45	1.265174
46	1.268672
47	1.30857
48	1.350989
49	1.281676
50	1.198872
51	1.226097
52	1.255003
53	1.263945
54	1.235023
55	1.231719
56	1.234173
57	1.217126
58	1.205561
59	1.207854
60	1.273629
61	1.231583
62	1.204751
63	1.202601
64	1.190985
65	1.115804
66	1.144178
67	1.141915
68	1.146894
69	1.127153
70	1.086113
71	1.027873
72	0.97036
73	0.958605
74	0.979387
75	0.934802
76	0.900249
77	0.914153
78	0.915235
79	0.877963
80	0.858312
81	0.868777
82	0.862636
83	0.834787
84	0.779694
85	0.764083
86	0.736605
87	0.719999
88	0.689112
89	0.631508
90	0.5648
91	0.502483
92	0.432577
93	0.392791
94	0.378938
95	0.36218
96	0.333167
97	0.304128
98	0.277257
99	0.266353
100	0.252243

