## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics --REF_FLAT MOUSE.noRP.refFlat --STRAND_SPECIFICITY NONE --MINIMUM_LENGTH 1000 --INPUT barcode10.ins500.mltmp.bam --OUTPUT barcode10.mouse.ins500_noRP_ml1000.rnaseq_metrics.txt --RRNA_FRAGMENT_PERCENTAGE 0.8 --METRIC_ACCUMULATION_LEVEL ALL_READS --END_BIAS_BASES 100 --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Sep 13 13:01:02 PDT 2026

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
21003084	11574807		0	1187922	258032	10128853	0	0	0	2036	2644	44	0.435043	0.564957		0	0.10263	0.022293	0.875077	0.10263	0.056559	0	0.97522	0	0.003174	0			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.231579
1	0.283456
2	0.30028
3	0.305187
4	0.32917
5	0.362161
6	0.399903
7	0.454182
8	0.47703
9	0.5096
10	0.517695
11	0.505152
12	0.509775
13	0.49564
14	0.536153
15	0.60783
16	0.683055
17	0.722628
18	0.802963
19	0.851226
20	0.919446
21	0.926245
22	0.99992
23	1.070536
24	1.094978
25	1.220949
26	1.314637
27	1.406
28	1.47023
29	1.464775
30	1.55281
31	1.57873
32	1.580513
33	1.618047
34	1.535185
35	1.500198
36	1.570018
37	1.624103
38	1.596352
39	1.534182
40	1.518873
41	1.362854
42	1.264891
43	1.348249
44	1.362189
45	1.342964
46	1.257076
47	1.275834
48	1.285617
49	1.205149
50	1.2617
51	1.263497
52	1.280978
53	1.293918
54	1.346753
55	1.34606
56	1.255812
57	1.242702
58	1.23808
59	1.250133
60	1.27635
61	1.2288
62	1.254631
63	1.224877
64	1.25076
65	1.275336
66	1.267428
67	1.191859
68	1.199656
69	1.259477
70	1.193386
71	1.158102
72	1.138951
73	1.162942
74	1.18601
75	1.195463
76	1.152628
77	1.058219
78	0.949313
79	0.927001
80	0.899334
81	0.971723
82	0.940778
83	0.905596
84	0.888194
85	0.917637
86	0.894011
87	0.869039
88	0.866751
89	0.826152
90	0.769484
91	0.673598
92	0.532281
93	0.404813
94	0.345216
95	0.343337
96	0.3051
97	0.282638
98	0.249401
99	0.188042
100	0.164973

