## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics --REF_FLAT HUMAN.noRP.refFlat --STRAND_SPECIFICITY NONE --MINIMUM_LENGTH 1000 --INPUT barcode11.ins500.mltmp.bam --OUTPUT barcode11.human.ins500_noRP_ml1000.rnaseq_metrics.txt --RRNA_FRAGMENT_PERCENTAGE 0.8 --METRIC_ACCUMULATION_LEVEL ALL_READS --END_BIAS_BASES 100 --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Sep 13 13:01:06 PDT 2026

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
14935065	8331378		0	1009626	274366	7047386	0	0	0	1861	2466	53	0.43009	0.56991		0	0.121184	0.032932	0.845885	0.121184	0.067601	0	1.039967	0.043124	0	0			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.292043
1	0.375307
2	0.468737
3	0.515206
4	0.559429
5	0.618922
6	0.661934
7	0.694606
8	0.72454
9	0.787237
10	0.798648
11	0.948588
12	1.086165
13	1.07696
14	1.14161
15	1.132333
16	1.119566
17	1.186133
18	1.224519
19	1.337595
20	1.41791
21	1.4274
22	1.46918
23	1.535542
24	1.593107
25	1.604372
26	1.627169
27	1.623573
28	1.547244
29	1.455844
30	1.385056
31	1.288966
32	1.230672
33	1.153329
34	1.168871
35	1.135675
36	1.151
37	1.223493
38	1.154376
39	1.152916
40	1.233069
41	1.234285
42	1.293344
43	1.308124
44	1.308955
45	1.307824
46	1.275268
47	1.280579
48	1.285467
49	1.378272
50	1.430592
51	1.40378
52	1.346007
53	1.251717
54	1.254041
55	1.197525
56	1.197054
57	1.130947
58	1.079398
59	1.044294
60	0.962408
61	0.945904
62	0.952605
63	0.997982
64	0.969756
65	0.944306
66	0.962361
67	0.87721
68	0.839089
69	0.784282
70	0.824352
71	0.88174
72	0.821701
73	0.800213
74	0.881308
75	0.864505
76	0.893075
77	0.852291
78	0.851
79	0.858293
80	0.932599
81	0.955495
82	0.994774
83	1.010856
84	0.998002
85	0.934335
86	0.887198
87	0.860279
88	0.807148
89	0.758303
90	0.655431
91	0.507151
92	0.462924
93	0.46537
94	0.428848
95	0.364605
96	0.311701
97	0.256026
98	0.233996
99	0.213124
100	0.154934

