## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics --REF_FLAT HUMAN.noRP.refFlat --STRAND_SPECIFICITY NONE --MINIMUM_LENGTH 1000 --INPUT barcode15.ins500.mltmp.bam --OUTPUT barcode15.human.ins500_noRP_ml1000.rnaseq_metrics.txt --RRNA_FRAGMENT_PERCENTAGE 0.8 --METRIC_ACCUMULATION_LEVEL ALL_READS --END_BIAS_BASES 100 --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Sep 13 12:59:08 PDT 2026

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
26262257	13807904		0	4995784	735160	8076960	0	0	0	10679	14076	275	0.431388	0.568612		0	0.361806	0.053242	0.584952	0.361806	0.190227	0	1.195934	0.159778	0.245046	0			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.243266
1	0.355104
2	0.463801
3	0.582713
4	0.686149
5	0.777789
6	0.829227
7	0.867605
8	0.85677
9	0.843255
10	0.850385
11	0.889376
12	0.911726
13	0.946969
14	0.969031
15	0.96514
16	0.918973
17	0.894075
18	0.908381
19	0.919423
20	0.918043
21	0.910164
22	0.895259
23	0.906971
24	0.912272
25	0.917095
26	0.903143
27	0.906449
28	0.904695
29	0.934017
30	0.915368
31	0.910359
32	0.915241
33	0.892757
34	0.871484
35	0.853811
36	0.841483
37	0.866691
38	0.886411
39	0.899935
40	0.902003
41	0.92201
42	0.974751
43	0.994986
44	1.027816
45	1.052499
46	1.063294
47	1.054348
48	1.052346
49	1.055607
50	1.077701
51	1.079018
52	1.102068
53	1.118142
54	1.13746
55	1.171259
56	1.23497
57	1.224706
58	1.221341
59	1.237921
60	1.213641
61	1.19928
62	1.168797
63	1.156909
64	1.122957
65	1.109576
66	1.09365
67	1.101971
68	1.142894
69	1.158344
70	1.183953
71	1.21069
72	1.202171
73	1.18098
74	1.183829
75	1.197628
76	1.189921
77	1.192284
78	1.213156
79	1.214874
80	1.23695
81	1.264702
82	1.286345
83	1.331151
84	1.348807
85	1.354641
86	1.348995
87	1.331715
88	1.299473
89	1.222698
90	1.156178
91	1.084661
92	1.032964
93	0.963582
94	0.899342
95	0.821822
96	0.74443
97	0.63628
98	0.510256
99	0.386426
100	0.283519

