## htsjdk.samtools.metrics.StringHeader
# CollectRnaSeqMetrics --REF_FLAT MOUSE.noRP.refFlat --STRAND_SPECIFICITY NONE --MINIMUM_LENGTH 1000 --INPUT barcode15.ins500.mltmp.bam --OUTPUT barcode15.mouse.ins500_noRP_ml1000.rnaseq_metrics.txt --RRNA_FRAGMENT_PERCENTAGE 0.8 --METRIC_ACCUMULATION_LEVEL ALL_READS --END_BIAS_BASES 100 --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Sep 13 12:59:10 PDT 2026

## METRICS CLASS	picard.analysis.RnaSeqMetrics
PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
26262257	13807904		0	2272282	488391	11047231	0	0	0	5375	6501	135	0.452593	0.547407		0	0.164564	0.03537	0.800066	0.164564	0.086523	0	1.373277	0	0.349408	0			

## HISTOGRAM	java.lang.Integer
normalized_position	All_Reads.normalized_coverage
0	0.174883
1	0.219488
2	0.28329
3	0.319938
4	0.34463
5	0.399246
6	0.425846
7	0.443633
8	0.424081
9	0.420606
10	0.430373
11	0.415409
12	0.383698
13	0.393547
14	0.451769
15	0.506793
16	0.553761
17	0.574699
18	0.57204
19	0.578326
20	0.557314
21	0.552359
22	0.581289
23	0.657503
24	0.690736
25	0.729049
26	0.873573
27	0.885476
28	0.790839
29	0.797254
30	0.83997
31	0.856976
32	0.903459
33	0.912859
34	0.940859
35	0.931129
36	0.965485
37	0.896359
38	0.848302
39	0.833298
40	0.785715
41	0.809828
42	0.828868
43	0.791362
44	0.789102
45	0.821339
46	0.835704
47	0.857423
48	0.903817
49	0.957229
50	0.986521
51	0.959057
52	1.027017
53	1.039504
54	1.060221
55	1.060231
56	1.050148
57	1.020964
58	1.118445
59	1.184467
60	1.210367
61	1.215937
62	1.187478
63	1.142433
64	1.09936
65	1.092575
66	1.099327
67	1.1307
68	1.164706
69	1.176832
70	1.15338
71	1.200695
72	1.265994
73	1.353865
74	1.466858
75	1.418606
76	1.391555
77	1.390421
78	1.382454
79	1.360088
80	1.410045
81	1.503551
82	1.589033
83	1.747413
84	1.846234
85	1.969779
86	2.085776
87	2.070269
88	1.975999
89	1.790016
90	1.673626
91	1.597391
92	1.570348
93	1.503582
94	1.467518
95	1.3901
96	1.305951
97	1.21609
98	1.031353
99	0.869145
100	0.689091

