file	chemistry	construct	run_folder	ont_barcode	plot_no	reads	bytes	md5	n_source_files	note	sra_run
polydT_bob-polydt/260511_BC20.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260511_polydtbob_4_BC17-24_set2	BC20	1	18558	16048931	28742b4071d3e7457b2041b353f64596	3	all reads	SRR40770628
polydT_bob-polydt/260507_BC13.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260507_BOBpolydt_12cond_BC12-23_set2	BC13	2	18647	16868134	74ea1dfcfb445ecdc5992667cdfdbae7	2	all reads	SRR40770627
polydT_bob-polydt/260507_BC12.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260507_BOBpolydt_12cond_BC12-23_set2	BC12	3	14020	10999113	e6a7223a7d9f491cbd821cc17dd79c2c	2	all reads	SRR40770626
polydT_bob-polydt/260507_BC23.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260507_BOBpolydt_12cond_BC12-23_set2	BC23	4	37514	31532878	129c507262178276f8dd9e71328ee34c	2	all reads	SRR40770625
polydT_bob-polydt/260507_BC22.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260507_BOBpolydt_12cond_BC12-23_set2	BC22	5	30556	27795202	4d3c22efe2db9872253087868366d7b4	2	all reads	SRR40770624
polydT_bob-polydt/260507_BC18.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260507_BOBpolydt_12cond_BC12-23_set2	BC18	6	29180	21766549	544858a8315eed0b1ac0606aed712ab4	2	all reads	SRR40770623
polydT_bob-polydt/260511_BC19.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260511_polydtbob_4_BC17-24_set2	BC19	7	20802	17780718	59945d3ecf221a44424cbfd62d60dc99	3	all reads	SRR40770621
polydT_bob-polydt/260509_BC01.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260509_polydtbob_BC24-1-2-3	BC01	8	13592	11013678	46120bf7ad166eb5db8c49a69f0ef12e	1	all reads	SRR40770620
polydT_bob-polydt/260507_BC19.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260507_BOBpolydt_12cond_BC12-23_set2	BC19	9	31695	21265107	f821d8ef86d9b73e85e31be9579b92a8	2	all reads	SRR40770619
polydT_bob-polydt/260509_BC03.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260509_polydtbob_BC24-1-2-3	BC03	10	12705	6605811	5d47ad1022a675204c5a19ddd5a86467	1	all reads	SRR40770618
polydT_bob-polydt/260509_BC24.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260509_polydtbob_BC24-1-2-3	BC24	11	17921	14663817	5132dc2a20aad7b7580b98a1b28049b7	1	all reads	SRR40770617
polydT_bob-polydt/260507_BC20.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260507_BOBpolydt_12cond_BC12-23_set2	BC20	12	23415	16451594	fc0b2fc5a8a3c1136a9bb658fe232d60	2	all reads	SRR40770616
polydT_bob-polydt/260509_BC02.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260509_polydtbob_BC24-1-2-3	BC02	13	20876	13163644	222a000be9c2d1bfc612c3ece1869a8a	1	all reads	SRR40770615
polydT_bob-polydt/260605_BC18.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260605_BC15-24_TM	BC18	14	901	593355	2d114121564247ebf17c31f22c047c19	3	all reads	SRR40770614
polydT_bob-polydt/260507_BC21.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260507_BOBpolydt_12cond_BC12-23_set2	BC21	15	25924	17525100	dee61fa8fcae5ba6d7c02a8536db6a52	2	all reads	SRR40770613
polydT_bob-polydt/260507_BC15.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260507_BOBpolydt_12cond_BC12-23_set2	BC15	16	10076	7630193	78a3ba023214ce75db9a6ddbbc5571fa	2	all reads	SRR40770612
polydT_bob-polydt/260605_BC24.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260605_BC15-24_TM	BC24	17	904	632795	6a1d2f32b003925fc745cf5d4fa0e335	3	all reads	SRR40770610
polydT_bob-polydt/260507_BC14.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260507_BOBpolydt_12cond_BC12-23_set2	BC14	18	8441	6214836	cac9de694b58dbc1c97293b5d371f2bf	2	all reads	SRR40770609
polydT_bob-polydt/260605_BC21.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260605_BC15-24_TM	BC21	19	1827	1065616	8d25e268069bd84e3930f33e2ee91dab	3	all reads	SRR40770608
polydT_bob-polydt/260605_BC22.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260605_BC15-24_TM	BC22	20	904	654951	b7412b4530c3fb9fd2abc20c0d814219	3	all reads	SRR40770607
polydT_bob-k-polydt/260605_BC05.fastq.gz	polydT	bob-k-polydt	@polydT bobcodes/260605_BC5-6_polydT90mer	BC05	21	5034	2983435	5e65563c63683be46a54bb50d67c7cef	3	all reads	SRR40770606
polydT_bob-polydt/260605_BC17.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260605_BC15-24_TM	BC17	22	2196	1103886	be20bdd06064e639a8550d80277f8aa6	3	all reads	SRR40770605
polydT_bob-polydt/260516_BC10.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260516_polydt_5_sprifix_july2026_update	BC10	23	27863	14013689	5cc2366ea4b780cc65bf8bad66dc9e64	3	all reads	SRR40770604
polydT_bob-polydt/260605_BC19.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260605_BC15-24_TM	BC19	24	3077	1725427	73f606f49dcd3565cc215637669c58be	3	all reads	SRR40770603
polydT_bob-polydt/260605_BC23.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260605_BC15-24_TM	BC23	25	991	685472	a59dee949ff9f411b6d34b3d9acbc6b0	3	all reads	SRR40770602
polydT_bob-polydt/260516_BC09.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260516_polydt_5_sprifix_july2026_update	BC09	26	20968	13285104	c1e08cca37bfefdd691a2bd68a5919e8	3	all reads	SRR40770601
polydT_bob-polydt/260605_BC15.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260605_BC15-24_TM	BC15	27	987	688903	524153df56e583eb82062d46c18a176c	3	all reads	SRR40770599
polydT_bob-polydt/260516_BC14.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260516_polydt_5_sprifix_july2026_update	BC14	28	24371	16870167	2a805bb82474630acdb59247e0fd8f34	3	all reads	SRR40770598
polydT_bob-polydt/260522_BC15.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260522_BC9-17_polydtbob	BC15	29	10257	6453477	4bb2b59079a0a144a8e6326b1e7ef422	1	all reads	SRR40770597
polydT_bob-polydt/260605_BC16.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260605_BC15-24_TM	BC16	30	1425	902949	93cb20c030e862c88e346a4b862b58ec	3	all reads	SRR40770596
polydT_bob-polydt/260605_BC20.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260605_BC15-24_TM	BC20	31	2094	1201664	96b4fb9a58dd8e6a93c0964a2c158947	3	all reads	SRR40770595
polydT_bob-polydt/260516_BC11.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260516_polydt_5_sprifix_july2026_update	BC11	32	20197	14042090	2b40cc449a3bb2ffa8e88c82beff00fd	3	all reads	SRR40770594
polydT_bob-polydt/260516_BC12.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260516_polydt_5_sprifix_july2026_update	BC12	33	18210	12348173	c77157fff9c5c49abe766067a2b6dd94	3	all reads	SRR40770689
polydT_bob-polydt/260516_BC15.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260516_polydt_5_sprifix_july2026_update	BC15	34	26529	17059443	fa2ee4640c19ab2123a3ef92e9a7c512	3	all reads	SRR40770688
polydT_bob-polydt/260529_BC17.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260529_TM_polydt	BC17	35	15275	10220414	1efd4c0c39c005a6ba30688b0cda0606	1	all reads	SRR40770687
polydT_bob-polydt/260516_BC16.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260516_polydt_5_sprifix_july2026_update	BC16	36	6236	3504507	6f4e7612fdc5a28a212f96ae139d6495	3	all reads	SRR40770686
polydT_bob-polydt/260522_BC13.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260522_BC9-17_polydtbob	BC13	37	14235	8186310	36959727a816a89a0af81a41f65a1bd6	1	all reads	SRR40770684
polydT_bob-k-polydt/260605_BC06.fastq.gz	polydT	bob-k-polydt	@polydT bobcodes/260605_BC5-6_polydT90mer	BC06	38	4419	2032787	839bba10ab711ada15c6e0a0bac7a156	3	all reads	SRR40770683
polydT_bob-polydt/260529_BC21.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260529_TM_polydt	BC21	39	9393	6432501	860f934aa684acabc722d15cdc9a151b	1	all reads	SRR40770682
polydT_bob-polydt/260522_BC09.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260522_BC9-17_polydtbob	BC09	40	13757	8396685	2d4cf7fa7e8b96618440d904af85944e	1	all reads	SRR40770681
polydT_bob-polydt/260501_BC06.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260501_BOBpolydt	BC06	41	14960	9207768	9fb8fa391823f47b304a4f63c07e06f0	2	all reads	SRR40770680
polydT_bob-polydt/260529_BC20.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260529_TM_polydt	BC20	42	8798	6131852	3299c952053813dca428aa9759ebbd94	1	all reads	SRR40770679
polydT_bob-polydt/260511_BC23.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260511_polydtbob_4_BC17-24_set2	BC23	43	32537	19855182	8a35cb7445800107b08c40745a8ff60c	3	all reads	SRR40770678
polydT_bob-polydt/260511_BC21.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260511_polydtbob_4_BC17-24_set2	BC21	44	26266	16427594	a524a8db69d7dd0ece2e9919eaccb9e7	3	all reads	SRR40770677
polydT_bob-polydt/260519_BC24.fastq.gz	polydT	bob-polydt	@5'TSO bobcodes/260519_BC17-24	BC24	45	23776	12112845	f7dac11cb4b376f1d56931dc1108f454	1	all reads	SRR40770676
polydT_bob-polydt/260511_BC24.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260511_polydtbob_4_BC17-24_set2	BC24	46	33416	20825663	b708839a4f5d0b31ee7c6efc0ccff181	3	all reads	SRR40770675
polydT_bob-polydt/260501_BC07.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260501_BOBpolydt	BC07	47	2350	1507207	66f631386c74ab0dc109f0446160a68e	2	all reads	SRR40770673
polydT_bob-polydt/260611_BC10.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260611_TM_BC8-10	BC10	48	2475	1183541	e60dba87a2eaf58e3497e04980a5b87d	1	all reads	SRR40770672
polydT_bob-polydt/260611_BC09.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260611_TM_BC8-10	BC09	49	5084	2374552	1172a2590710d8bf546b196a4d45bad7	1	all reads	SRR40770671
polydT_bob-polydt/260529_BC19.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260529_TM_polydt	BC19	50	19838	12123485	8a725c19313b3372fd89122af1ef3125	1	all reads	SRR40770670
polydT_bob-polydt/260501_BC09.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260501_BOBpolydt	BC09	51	11976	6638750	a1b697101e429da8e5c98ff0c9984f92	2	all reads	SRR40770669
polydT_bob-polydt/260611_BC08.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260611_TM_BC8-10	BC08	52	30968	16061729	5bb8269353aac74950156b4b2c46c011	1	all reads	SRR40770668
polydT_bob-polydt/260522_BC10.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260522_BC9-17_polydtbob	BC10	53	14993	8578628	838212d878b56c8eaa6434f4dc6e08c9	1	all reads	SRR40770667
polydT_bob-polydt/260522_BC14.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260522_BC9-17_polydtbob	BC14	54	17104	9185743	b570adc1ec1ba00033414a1d3b05b6bb	1	all reads	SRR40770666
polydT_bob-polydt/260522_BC16.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260522_BC9-17_polydtbob	BC16	55	10757	6357629	275692555376e55366f47c1e1a455128	1	all reads	SRR40770593
polydT_bob-polydt/260516_BC13.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260516_polydt_5_sprifix_july2026_update	BC13	56	25313	16947937	b6161fa5aaae59d01f2f8359b761330b	3	all reads	SRR40770592
polydT_bob-polydt/260522_BC11.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260522_BC9-17_polydtbob	BC11	57	17531	9340880	ccb6641992f2f5ba7114b8e0ed4357a1	1	all reads	SRR40770590
polydT_bob-polydt/260522_BC12.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260522_BC9-17_polydtbob	BC12	58	18543	9290942	7cdc167f2a9fb5bd86f61cef437ceac5	1	all reads	SRR40770589
polydT_bob-polydt/260501_BC11.fastq.gz	polydT	bob-polydt	@polydT bobcodes/260501_BOBpolydt	BC11	59	3572	1565416	453f0f4d3ff7d5d56df2e3cebc474da6	2	all reads	SRR40770588
splint_bob-c-splint/260424_BC01.fastq.gz	splint	bob-c-splint	@Splint Bobcodes/260424_NA20-3_TM4-5	BC01	1	6234	4818372	a85f461465bfb9f8478114c60947f96b	2	all reads	SRR40770587
splint_bob-c-splint/260424_BC24.fastq.gz	splint	bob-c-splint	@Splint Bobcodes/260424_NA20-3_TM4-5	BC24	2	3516	3152296	acf9719b91519ee44348da8a1a1eb13c	2	all reads	SRR40770586
splint_bob-c-splint/260415_BC10.fastq.gz	splint	bob-c-splint	@Splint Bobcodes/260415_NA12-19_TNM6-11	BC10	3	8909	4417001	056300079bc752ee936ba5b95d266eed	3	all reads	SRR40770585
splint_bob-c-splint/260415_BC06.fastq.gz	splint	bob-c-splint	@Splint Bobcodes/260415_NA12-19_TNM6-11	BC06	4	5399	2626544	f80b97667a972d6c131b56e51b09a623	3	all reads	SRR40770584
splint_bob-c-splint/260410_BC23.fastq.gz	splint	bob-c-splint	@Splint Bobcodes/260210_BC17-24-01	BC23	5	5876	3055929	d0f4a4cb7308526d2fb72055d448a026	1	all reads	SRR40770583
splint_bob-c-splint/260415_BC07.fastq.gz	splint	bob-c-splint	@Splint Bobcodes/260415_NA12-19_TNM6-11	BC07	6	1069	475617	9a0a06e7de5dfaef1a2d13d9cf073c74	3	all reads	SRR40770582
splint_bob-c-splint/260410_BC17.fastq.gz	splint	bob-c-splint	@Splint Bobcodes/260210_BC17-24-01	BC17	7	3761	1902991	43473530d2777961dbf9db8e84f89a3b	1	all reads	SRR40770581
splint_bob-c-splint/260410_BC24.fastq.gz	splint	bob-c-splint	@Splint Bobcodes/260210_BC17-24-01	BC24	8	3614	2037834	2e0f4831cc1a39131dd6ba366f7aae2f	1	all reads	SRR40770579
splint_bob-c-splint/260410_BC21.fastq.gz	splint	bob-c-splint	@Splint Bobcodes/260210_BC17-24-01	BC21	9	2455	1428964	a7645241f0ce25228a0390c1feb11cbc	1	all reads	SRR40770578
splint_bob-c-splint/260424_BC03.fastq.gz	splint	bob-c-splint	@Splint Bobcodes/260424_NA20-3_TM4-5	BC03	10	9358	8282439	65b5906efcc24111209a415963948922	2	all reads	SRR40770577
splint_bob-c-splint/260408_BC07.fastq.gz	splint	bob-c-splint	@Splint Bobcodes/260408_secondONT_newflowcell	BC07	11	486	356694	a143d578015de9ef2b026028e048d1de	1	all reads	SRR40770576
splint_bob-c-splint/260424_BC20.fastq.gz	splint	bob-c-splint	@Splint Bobcodes/260424_NA20-3_TM4-5	BC20	12	8496	8694574	38b2bb91576f274b0182612f8e5870c8	2	all reads	SRR40770575
