chrom	intron_start_1based	intron_end	length	control	chx_low	chx_high
19	14389748	15379231	989484	0	2	0
19	14413151	15363436	950286	0	2	3
19	14458416	15380399	921984	1	0	0
19	14470590	15450025	979436	0	1	0
19	14528272	15385934	857663	0	0	3
19	14566172	15441260	875089	3	0	0
19	14566186	15464254	898069	2	0	0
19	14571902	15457769	885868	0	0	3
19	14572062	15503938	931877	0	4	0
19	14572070	15428043	855974	1	0	0
19	14763621	15380403	616783	0	0	3
19	14764050	15401148	637099	0	1	0
19	14841183	15400342	559160	0	5	0
19	14931523	15389491	457969	2	0	0
19	15115161	15425502	310342	6	0	0
19	15115176	15402034	286859	2	0	0
19	15119254	15448427	329174	0	0	1
19	15119280	15569115	449836	0	1	0
19	15119470	15439265	319796	0	0	2
19	15122768	15927368	804601	0	0	1
19	15129665	16086439	956775	0	1	0
19	15160949	16081919	920971	0	1	2
19	15182027	16132895	950869	0	5	0
19	15200233	16185492	985260	0	5	0
19	15225524	16191830	966307	5	0	0
19	15236126	15451727	215602	0	0	2
19	15238340	15450043	211704	1	0	0
19	15250035	16185438	935404	0	2	0
19	15252661	16111897	859237	0	2	0
19	15255494	15361781	106288	1	0	0
19	15256204	15582937	326734	1	0	0
19	15256243	15403078	146836	0	1	0
19	15256252	15825924	569673	0	0	1
19	15257052	16026527	769476	0	0	6
19	15263435	16227870	964436	0	1	0
19	15264368	16191680	927313	0	2	0
19	15271560	16258511	986952	0	1	0
19	15273078	15368307	95230	0	0	3
19	15273863	15886196	612334	0	1	0
19	15302382	16132325	829944	0	5	0
19	15302456	15388700	86245	1	0	0
19	15303426	16190519	887094	0	2	0
19	15308155	16081918	773764	0	1	0
19	15355050	15355253	204	0	0	4
19	15355278	15355306	29	0	0	4
19	15355333	15361739	6407	1	0	0
19	15355371	15358966	3596	24	51	35
19	15355371	15360847	5477	0	11	0
19	15355960	15442492	86533	0	0	5
19	15356141	15356279	139	6	0	0
19	15359062	15360847	1786	1	0	6
19	15359063	15360847	1785	94	95	180
19	15360979	15361728	750	72	71	86
19	15361823	15362109	287	13	26	28
19	15362226	15373900	11675	3	0	0
19	15362252	15368234	5983	103	114	150
19	15362252	15368235	5984	0	3	0
19	15368320	15372240	3921	1	0	0
19	15368322	15370145	1824	0	0	3
19	15368322	15373791	5470	4	0	0
19	15368323	15368761	439	0	0	2
19	15368323	15369066	744	10	70	144
19	15368323	15370145	1823	206	229	221
19	15368909	15369066	158	0	0	2
19	15369225	15370145	921	1	25	98
19	15370153	15372850	2698	0	4	0
19	15370172	15373247	3076	0	1	0
19	15370177	15371951	1775	0	0	2
19	15370178	15371950	1773	0	0	4
19	15370180	15371951	1772	206	216	288
19	15371999	15372217	219	205	177	262
19	15371999	15372218	220	2	0	0
19	15372347	15372850	504	0	0	9
19	15372348	15372850	503	122	114	197
19	15373341	15373785	445	10	13	14
19	15374020	15620316	246297	0	0	3
19	15374031	15450036	76006	1	0	0
19	15374066	15374602	537	45	14	33
19	15374636	15376975	2340	17	20	24
19	15374636	15379712	5077	6	0	0
19	15377015	15379025	2011	0	0	9
19	15377015	15379712	2698	13	9	3
19	15377017	15379716	2700	0	0	1
