chrom	intron_start_1based	intron_end	length	control_1	control_2	control_3	chx_high_1	chx_high_2	chx_high_3
19	44265503	45227951	962449	0	3	0	0	0	0
19	44533927	45408394	874468	0	0	0	1	0	0
19	44582772	45408607	825836	0	3	0	0	0	0
19	44582772	45408610	825839	0	0	0	5	0	1
19	44582772	45408613	825842	0	4	1	0	0	0
19	44582772	45408957	826186	0	0	0	0	4	3
19	44582772	45409249	826478	0	0	2	0	0	0
19	44582840	45408959	826120	0	0	0	0	1	0
19	44582840	45408960	826121	0	0	0	0	10	0
19	44583761	45079292	495532	1	0	0	0	0	0
19	44587486	45337834	750349	0	0	0	1	0	0
19	44595811	45409000	813190	1	0	0	0	0	0
19	44620354	45410565	790212	0	0	0	0	3	0
19	44639070	45408842	769773	0	0	0	3	0	0
19	44647663	45409632	761970	3	0	0	0	0	0
19	44659751	45401467	741717	0	2	0	0	0	0
19	44672031	45408596	736566	0	0	0	0	0	1
19	44689045	45408726	719682	0	4	0	8	0	5
19	44733722	45409224	675503	0	0	2	0	0	0
19	44738733	45056510	317778	0	0	0	3	0	0
19	44749300	45287612	538313	5	0	0	0	0	0
19	44749301	45287535	538235	0	0	0	2	0	0
19	44786459	45690194	903736	0	0	0	1	0	0
19	44793290	45351677	558388	7	0	0	0	0	0
19	44816618	45409041	592424	0	0	0	0	3	0
19	44838913	45574178	735266	0	0	1	0	0	0
19	44846262	45409033	562772	0	0	0	0	1	0
19	44865661	45048590	182930	0	1	0	0	0	0
19	44867684	45065423	197740	0	0	0	0	0	7
19	44878335	45064871	186537	0	0	0	0	0	3
19	44878339	45185106	306768	0	1	0	0	0	0
19	44880309	45086099	205791	0	0	2	0	0	0
19	44886088	45057759	171672	0	0	0	0	0	5
19	44903650	45337963	434314	0	0	1	0	0	0
19	44905977	45069213	163237	0	0	0	0	2	0
19	44909978	45079290	169313	0	0	0	0	0	11
19	44909983	45409162	499180	0	0	0	4	0	0
19	44911832	45807287	895456	0	0	0	0	3	0
19	44915360	45309954	394595	0	0	0	0	1	0
19	44919739	45640426	720688	0	0	0	1	0	0
19	44935828	45068041	132214	0	0	0	0	0	2
19	44946111	45408978	462868	0	2	0	0	0	0
19	44948554	45039066	90513	0	1	0	0	0	0
19	44951292	45409648	458357	0	2	0	0	0	0
19	44953325	45552315	598991	2	0	0	0	0	0
19	44992694	45125876	133183	0	0	0	0	0	1
19	44994236	45549365	555130	0	6	0	0	0	0
19	44996699	45687462	690764	0	0	0	0	0	1
19	45001853	45069092	67240	0	0	0	5	0	0
19	45007275	45068042	60768	0	0	0	0	0	1
19	45039109	45040183	1075	42	76	73	82	98	90
19	45040312	45052070	11759	39	31	25	41	17	23
19	45040312	45056449	16138	1	0	0	0	0	0
19	45041244	45256443	215200	0	0	0	0	1	0
19	45041245	45256443	215199	0	0	0	0	1	0
19	45052098	45053110	1013	0	5	4	2	0	0
19	45052167	45052790	624	0	1	1	0	0	0
19	45052169	45052790	622	71	74	63	69	60	69
19	45052169	45052791	623	0	0	1	7	5	0
19	45052893	45053078	186	0	0	0	2	0	0
19	45052893	45053097	205	68	88	64	91	64	87
19	45053099	45096365	43267	0	0	0	2	0	0
19	45053134	45057782	4649	0	0	0	0	5	0
19	45053177	45056449	3273	0	1	0	0	0	0
19	45053178	45056449	3272	23	52	54	64	68	55
19	45053336	45056455	3120	0	1	0	0	0	0
19	45056535	45057545	1011	1	0	0	0	0	0
19	45056535	45057749	1215	37	45	60	63	85	78
19	45057564	45057749	186	1	0	0	0	0	4
19	45057883	45059267	1385	0	0	2	14	5	16
19	45057899	45059267	1369	25	18	30	29	39	50
19	45059365	45060388	1024	14	24	31	51	50	60
19	45060467	45060553	87	0	0	0	2	0	0
19	45060468	45060553	86	25	10	7	42	66	45
19	45060628	45062153	1526	10	12	3	32	36	48
19	45062196	45064011	1816	12	11	4	18	34	32
19	45064173	45070826	6654	0	0	0	0	0	1
19	45064181	45064350	170	5	0	0	0	0	0
19	45064228	45064342	115	0	9	11	17	18	12
