chrom	intron_start_1based	intron_end	length	control	chx_low	chx_high
17	15458781	16439349	980569	0	0	5
17	16061710	16652271	590562	1	0	0
17	16121133	16881126	759994	2	0	0
17	16121226	16900834	779609	1	0	0
17	16269373	16441829	172457	0	0	1
17	16270809	17198964	928156	0	0	4
17	16304910	16441923	137014	0	2	0
17	16311564	17114903	803340	0	0	1
17	16326090	16569929	243840	0	2	0
17	16334379	16657035	322657	0	0	1
17	16347706	16858186	510481	0	0	3
17	16348190	17251325	903136	1	0	0
17	16382131	17249288	867158	4	0	0
17	16382205	16486590	104386	0	2	0
17	16382211	17103800	721590	0	3	0
17	16382211	17229900	847690	2	0	2
17	16382437	16546373	163937	0	0	1
17	16382438	16913516	531079	3	0	0
17	16382438	17350394	967957	0	3	0
17	16382738	16918828	536091	1	0	0
17	16382740	16903665	520926	0	1	0
17	16439030	16439326	297	0	0	2
17	16439061	16439326	266	424	432	269
17	16439246	16439326	81	0	0	1
17	16439393	16440195	803	0	3	0
17	16439393	16441958	2566	0	3	0
17	16439394	16440184	791	2	0	0
17	16439394	16441373	1980	0	4	0
17	16439413	16439660	248	4	0	0
17	16439413	16440185	773	4	0	0
17	16439415	16439527	113	67	56	46
17	16439415	16439580	166	11	55	50
17	16439415	16439659	245	54	59	127
17	16439415	16440184	770	541	428	249
17	16439661	16440185	525	2	0	0
17	16439704	16440184	481	43	76	122
17	16440253	16441073	821	3	0	0
17	16440254	16441073	820	252	192	131
17	16440254	16441367	1114	21	27	4
17	16440254	16470301	30048	0	1	0
17	16441131	16441367	237	104	51	50
17	16441535	16441618	84	0	1	0
17	16441638	16441699	62	0	0	1
17	16442016	17360118	918103	1	0	0
17	16442017	17360120	918104	2	0	0
17	16449987	16450958	972	0	2	0
17	16456100	16456144	45	0	2	0
17	16456225	16456288	64	0	3	0
17	16456228	16456339	112	0	6	0
17	16456301	16456354	54	2	0	0
17	16459445	16462257	2813	0	1	0
17	16461804	16462832	1029	0	2	0
17	16463318	16463718	401	0	0	1
17	16470159	16491744	21586	5	0	0
17	16471657	16471732	76	0	5	0
