chrom	intron_start_1based	intron_end	length	control	chx_low	chx_high
16	27852549	28715394	862846	1	0	0
16	27854341	28731995	877655	3	0	0
16	27872315	28735441	863127	0	0	5
16	27876063	28844320	968258	0	1	0
16	27900260	28836917	936658	0	0	3
16	27912425	28714843	802419	0	1	0
16	28046371	28842793	796423	0	1	0
16	28059765	28715325	655561	3	0	0
16	28078456	28879487	801032	0	4	0
16	28083033	28873946	790914	6	0	0
16	28145464	28715409	569946	0	0	7
16	28201197	28965538	764342	0	5	0
16	28252003	28723238	471236	0	0	1
16	28259085	28836866	577782	7	0	0
16	28303131	28834206	531076	4	0	0
16	28337081	28735187	398107	0	4	0
16	28369585	28966282	596698	0	0	2
16	28376948	28902446	525499	0	4	0
16	28377539	28835114	457576	1	0	0
16	28379815	29249166	869352	2	0	0
16	28379870	28977997	598128	0	0	5
16	28380036	28822933	442898	0	3	0
16	28380043	28735253	355211	0	3	0
16	28383137	28732122	348986	0	1	0
16	28383308	29210642	827335	0	1	0
16	28383343	29292943	909601	0	4	0
16	28383345	29231444	848100	3	0	0
16	28383356	28911219	527864	6	0	0
16	28383412	28975491	592080	0	0	2
16	28384616	28873963	489348	2	0	0
16	28388206	28727138	338933	0	1	0
16	28388540	28727023	338484	0	0	6
16	28390861	28724668	333808	0	5	0
16	28399887	28747422	347536	0	3	0
16	28399940	28715358	315419	0	2	0
16	28403626	28711717	308092	0	1	0
16	28410800	28983786	572987	1	0	0
16	28417208	28874063	456856	0	2	0
16	28472732	28845446	372715	0	0	2
16	28532312	28836322	304011	0	3	0
16	28594121	28836859	242739	6	0	0
16	28594122	28711489	117368	0	3	0
16	28597501	28836792	239292	0	0	5
16	28639731	28753838	114108	0	1	0
16	28646563	28760679	114117	0	3	0
16	28666975	28738488	71514	0	3	0
16	28685343	28799543	114201	0	0	1
16	28688829	28711656	22828	4	20	9
16	28698392	28725004	26613	0	0	3
16	28699240	28738355	39116	0	0	1
16	28707100	28842786	135687	1	0	0
16	28711491	28723243	11753	0	2	0
16	28711518	28711656	139	13	6	3
16	28711519	28711656	138	1	6	2
16	28711519	28711660	142	4	0	0
16	28711568	28711656	89	42	27	40
16	28711743	29225579	513837	0	1	0
16	28711788	28713700	1913	68	60	41
16	28713723	28723199	9477	0	2	0
16	28713767	28713908	142	19	5	8
16	28713972	28714906	935	0	0	1
16	28713997	28723219	9223	0	2	1
16	28714045	28723224	9180	1	0	0
16	28714093	29170733	456641	0	2	0
16	28714099	28714320	222	7	3	12
16	28714347	28715333	987	0	1	0
16	28714353	28958166	243814	0	0	2
16	28714386	28715318	933	0	3	0
16	28714388	28715319	932	0	0	2
16	28714389	28715321	933	0	5	0
16	28714404	28715399	996	0	0	1
16	28714432	28723183	8752	0	0	2
16	28714432	28723213	8782	3	0	3
16	28714446	28723238	8793	4	0	0
16	28714447	28714635	189	6	28	13
16	28714647	28723238	8592	0	4	0
16	28714653	28723181	8529	0	0	2
16	28714659	28715372	714	0	7	0
16	28714663	28721019	6357	0	0	11
16	28714663	28723194	8532	0	3	0
16	28714667	28723201	8535	0	6	0
16	28714691	28714818	128	22	12	4
16	28714691	28723203	8513	0	2	0
16	28714830	28723251	8422	3	0	0
16	28714833	28723249	8417	3	0	0
16	28714873	28723198	8326	2	0	0
16	28714904	28715408	505	2	0	0
16	28714914	28715426	513	0	0	5
16	28714925	28715305	381	0	0	3
16	28714929	28715306	378	60	94	54
16	28714941	28715318	378	0	6	0
16	28715359	28723219	7861	0	0	4
16	28715397	28723236	7840	0	0	3
16	28715398	28723237	7840	0	2	0
16	28715433	28720914	5482	0	0	3
16	28715433	28723163	7731	4	0	0
16	28715433	28723188	7756	8	0	5
16	28715433	28723245	7813	2	0	0
16	28715434	28720914	5481	0	0	11
16	28715434	28723163	7730	4	10	3
16	28715434	28723227	7794	0	6	0
16	28715435	28720914	5480	20	5	83
16	28715435	28723163	7729	491	588	327
16	28715435	28723227	7793	1	0	0
16	28718900	28723163	4264	0	0	3
16	28719104	28720914	1811	1	0	0
16	28721033	28723163	2131	49	49	303
16	28721033	28723238	2206	0	0	5
16	28723180	28723209	30	7	0	0
16	28723180	28723266	87	0	0	11
16	28723203	28723238	36	0	0	1
16	28723211	28723236	26	4	0	0
16	28723211	28723241	31	2	0	0
16	28723268	29121184	397917	0	1	0
16	28723274	28724588	1315	1	0	0
16	28723279	28723302	24	6	0	0
16	28723306	28724671	1366	2	0	0
16	28723323	28723447	125	2	0	0
16	28723324	28723447	124	945	1005	1173
16	28723324	28723449	126	0	5	5
16	28723324	28723450	127	10	10	6
16	28723324	28723453	130	0	0	2
16	28723330	28723453	124	1	0	2
16	28723469	28723537	69	0	0	1
16	28723474	28723539	66	0	3	0
16	28723552	28724321	770	11	11	10
16	28724464	28724657	194	10	22	26
16	28724464	28724661	198	0	0	5
16	28724784	28724918	135	0	2	0
16	28725013	28726604	1592	0	0	3
16	28725777	29421905	696129	0	1	0
16	28726796	28727020	225	2	1	3
16	28727104	28727181	78	1	0	0
16	28727246	28731828	4583	2	0	3
16	28732193	28734519	2327	16	9	17
16	28734844	28734931	88	1	0	1
16	28735020	28735172	153	2	12	2
16	28735336	28735430	95	38	58	51
16	28735340	28735435	96	5	7	5
16	28735340	28735438	99	3	2	0
16	28735588	29563585	827998	2	0	0
16	28735594	29563593	828000	4	1	0
