chrom	intron_start_1based	intron_end	length	control_1	control_2	control_3	ris_low_1	ris_low_2	ris_low_3
11	129348010	130069902	721893	0	1	0	0	0	0
11	129397763	130130082	732320	0	1	0	0	0	0
11	129414041	130396920	982880	0	0	0	3	0	0
11	129446814	130127822	681009	0	0	2	0	0	0
11	129451448	130420345	968898	0	0	2	0	0	0
11	129480374	130141506	661133	0	0	0	1	0	0
11	129800337	130141952	341616	0	0	0	0	0	6
11	129847312	130135662	288351	1	0	0	0	0	0
11	129968539	130129113	160575	6	0	0	0	0	0
11	129989220	130141520	152301	0	0	0	0	0	1
11	130068159	130069895	1737	8	2	9	14	6	2
11	130069925	130069975	51	0	0	0	0	3	0
11	130070038	130109428	39391	0	0	0	0	0	4
11	130070083	130109428	39346	122	144	181	165	148	171
11	130104689	130129088	24400	0	0	4	0	0	0
11	130109603	130110537	935	16	15	6	12	4	14
11	130110662	130120705	10044	16	18	8	5	2	8
11	130113569	130144380	30812	0	0	4	0	0	0
11	130120819	130121613	795	51	38	28	33	2	46
11	130121740	130121763	24	1	1	0	1	0	0
11	130121787	130122328	542	0	0	0	1	0	0
11	130121811	130122304	494	26	18	12	23	9	14
11	130122320	130126792	4473	0	0	0	1	0	0
11	130122395	130133659	11265	0	1	0	0	0	0
11	130122498	130135561	13064	0	2	0	0	0	0
11	130122514	130123611	1098	11	33	27	26	30	32
11	130122514	130126699	4186	16	7	8	10	8	9
11	130123780	130126699	2920	4	21	15	11	15	16
11	130123780	130126700	2921	0	0	0	0	0	1
11	130126759	130135592	8834	0	0	0	0	0	1
11	130126779	130129087	2309	0	0	0	0	2	0
11	130126831	130127293	463	0	0	0	0	2	0
11	130126831	130127765	935	45	69	61	49	25	30
11	130126831	130129047	2217	0	0	0	0	0	3
11	130127841	130129047	1207	90	60	72	80	57	76
11	130127841	130129049	1209	0	0	0	6	0	0
11	130129101	130130092	992	0	0	2	0	0	0
11	130129205	130130037	833	0	0	0	1	0	0
11	130129207	130130037	831	201	134	164	176	182	190
11	130129207	130130038	832	0	0	2	0	7	0
11	130129207	130133672	4466	0	0	0	0	0	3
11	130130167	130133628	3462	25	28	30	30	6	39
11	130130167	130133630	3464	0	1	0	0	0	0
11	130133729	130135562	1834	87	125	98	88	54	102
11	130133729	130140397	6669	0	8	2	0	0	0
11	130133733	130135567	1835	0	3	0	0	0	0
11	130135716	130137255	1540	46	30	30	42	49	29
11	130135716	130137256	1541	0	0	3	0	0	0
11	130135716	130140397	4682	263	337	298	270	241	291
11	130137292	130140397	3106	34	24	21	24	41	18
11	130137300	130140406	3107	0	0	4	0	0	1
11	130140458	130141497	1040	0	0	0	0	0	3
11	130140477	130141521	1045	0	0	0	0	0	1
11	130140484	130141497	1014	149	129	92	112	72	105
11	130141571	130141917	347	5	0	0	0	0	0
11	130141573	130141918	346	151	209	149	148	124	240
11	130142059	130143501	1443	0	0	0	0	2	0
11	130142072	130143345	1274	0	3	0	0	0	0
11	130142075	130143346	1272	204	247	159	198	123	266
11	130143387	130143434	48	0	0	0	0	0	1
11	130144522	130144661	140	0	0	0	1	0	0
