chrom	intron_start_1based	intron_end	length	control	chx_low	chx_high
16	66504759	67480200	975442	0	0	1
16	66505244	67438021	932778	1	0	0
16	66606132	67438214	832083	3	0	0
16	66647544	67280555	633012	0	1	0
16	66698276	67653229	954954	0	0	1
16	66721732	67241109	519378	1	0	0
16	66721733	67241110	519378	1	0	0
16	66862572	67829956	967385	0	5	0
16	66889464	67265586	376123	0	8	0
16	66912852	67583410	670559	1	0	0
16	66922864	67710545	787682	2	0	0
16	66933650	67241115	307466	4	0	0
16	66934407	67734117	799711	0	5	0
16	66944314	67565673	621360	1	0	0
16	66944320	67754132	809813	0	0	1
16	66948179	67934568	986390	0	3	0
16	66954565	67662947	708383	0	2	0
16	66967704	67810969	843266	1	0	0
16	66996509	67884074	887566	0	9	0
16	67029453	67615144	585692	0	0	2
16	67029818	67605733	575916	1	0	0
16	67060557	67604343	543787	0	0	6
16	67065180	67277151	211972	0	0	3
16	67074257	67658232	583976	3	0	0
16	67085911	67570673	484763	0	6	7
16	67096854	67612470	515617	0	0	1
16	67133793	67263784	129992	1	0	0
16	67156941	67884170	727230	0	1	0
16	67163883	67264405	100523	0	0	1
16	67166518	67654634	488117	1	0	0
16	67176002	67537375	361374	0	5	0
16	67183851	67654538	470688	4	0	0
16	67187935	67626620	438686	1	0	0
16	67197949	67882958	685010	1	0	0
16	67202582	67870914	668333	3	2	1
16	67227225	67227613	389	0	0	10
16	67227225	67227718	494	4	13	5
16	67227225	67227835	611	213	154	139
16	67227932	67228354	423	31	13	16
16	67228415	67228494	80	66	28	24
16	67228415	67228796	382	0	0	1
16	67228632	67228796	165	212	146	181
16	67228658	67228796	139	14	46	118
16	67228837	67228975	139	5	3	11
16	67228881	67228975	95	1	0	0
16	67228882	67228975	94	400	383	503
16	67228886	67228982	97	0	3	0
