chrom	intron_start_0based	intron_end	strand
1	231506439	231528419	-
1	231512700	231516304	-
1	231513362	231527337	-
1	231516356	231520016	-
1	231522637	231524282	-
1	231522637	231524425	-
1	231522637	231527337	-
1	231522637	231528419	-
1	231522653	231524425	-
1	231522653	231527337	-
1	231522720	231524425	-
1	231522720	231527337	-
1	231522720	231528419	-
1	231522790	231524425	-
1	231522790	231527337	-
1	231522790	231528419	-
1	231523204	231524425	-
1	231523204	231527337	-
1	231524473	231527337	-
1	231524473	231527360	-
1	231524523	231527337	-
1	231524541	231527337	-
1	231524547	231527337	-
1	231527415	231527765	-
1	231527415	231528121	-
1	231527415	231528419	-
1	231527437	231528419	-
1	231527792	231528121	-
1	231527792	231528419	-
1	231528769	231529254	+
1	231528826	231529254	+
1	231528826	231529260	+
1	231528826	231529270	+
1	231528826	231537212	+
1	231528826	231542480	+
1	231528831	231529263	+
1	231528871	231529254	+
1	231529153	231529254	+
1	231529359	231531142	+
1	231529359	231531148	+
1	231529359	231537212	+
1	231529359	231537220	+
1	231529359	231542480	+
1	231529375	231537212	+
1	231529375	231542480	+
1	231530385	231531235	+
1	231531237	231537212	+
1	231535198	231537212	+
1	231537327	231542459	+
1	231537327	231542480	+
1	231542611	231542871	+
1	231542611	231542878	+
1	231542611	231542889	+
1	231542611	231542930	+
1	231542611	231543032	+
11	512536	513336	+
11	513949	514765	+
11	513949	514828	+
11	513949	514871	+
11	514271	514558	+
11	517281	517613	+
11	517320	517613	+
11	519107	520794	+
11	519107	524102	+
11	519107	528158	+
11	519287	520310	+
11	519320	520310	+
11	519353	520310	+
11	519386	520310	+
11	519419	520310	+
11	524315	528158	+
11	528337	528855	+
11	528337	531853	+
11	530679	530779	+
11	532511	532630	-
11	532516	532630	-
11	532522	532630	-
11	532522	532651	-
11	532630	532728	-
11	532630	533276	-
11	532630	533452	-
11	532755	533276	-
11	532755	533452	-
11	533353	533452	-
11	533358	533452	-
11	533605	533765	-
11	533612	533724	-
11	533612	533765	-
11	533612	534211	-
11	533612	535415	-
11	533866	534285	-
11	533926	534211	-
11	533926	535415	-
11	533944	534022	-
11	533944	534211	-
11	533944	534517	-
11	533944	535256	-
11	533944	535415	-
11	534375	534517	-
11	534375	534648	-
11	534375	534711	-
11	534375	535045	-
11	534375	535256	-
11	534375	535318	-
11	534375	535415	-
11	534375	536335	-
11	534375	536852	-
11	534375	536868	-
11	534393	534463	-
11	537605	538522	+
11	537605	538597	+
11	537605	539579	+
11	538860	539579	+
11	538860	539582	+
11	539362	539673	+
11	539631	543450	+
11	539726	539968	+
11	539726	540077	+
11	539726	540095	+
11	539726	540670	+
11	539726	540673	+
11	539726	540704	+
11	539726	541536	+
11	540169	540670	+
11	540169	540673	+
11	540861	541536	+
11	540861	541539	+
11	541624	544719	+
11	544780	545360	+
11	544780	548305	+
11	544780	548644	+
11	544780	549901	+
11	549128	549901	+
11	549998	550071	+
11	550179	551130	+
11	550272	551130	+
11	550272	551181	+
11	550272	551187	+
11	551302	551650	+
11	551302	551902	+
11	551827	551902	+
11	551827	553962	+
11	551967	552089	+
11	551967	553962	+
11	552232	552568	+
11	552232	552583	+
11	552232	553962	+
