chrom	intron_start_1based	intron_end	length	control	chx_low	chx_high
19	34360627	35271117	910491	0	4	0
19	34463058	35445541	982484	0	0	4
19	34574085	35547353	973269	0	1	0
19	34612067	35497228	885162	0	0	1
19	34691787	35633872	942086	0	0	1
19	34705877	35651322	945446	1	0	0
19	34783623	35279532	495910	3	0	0
19	34790611	35270445	479835	4	0	0
19	34805802	35744395	938594	0	0	7
19	34810471	35634285	823815	0	1	0
19	34904827	35634254	729428	0	1	0
19	34905541	35720944	815404	0	2	0
19	34954987	35307659	352673	0	0	2
19	34964471	35648363	683893	2	0	0
19	35000256	35631399	631144	6	0	0
19	35013894	35651300	637407	3	0	0
19	35023711	35792851	769141	4	0	0
19	35030882	35654641	623760	0	0	1
19	35030884	35729970	699087	0	2	0
19	35032764	35767732	734969	1	0	0
19	35041441	35770605	729165	0	0	7
19	35041981	35768437	726457	1	0	0
19	35045481	35648360	602880	1	0	3
19	35045483	35648362	602880	0	4	0
19	35059961	35767589	707629	4	0	0
19	35071917	35502574	430658	0	0	2
19	35072463	35770508	698046	0	0	8
19	35075309	36014524	939216	0	8	0
19	35078523	35508204	429682	5	0	0
19	35086303	35654623	568321	0	0	2
19	35101225	35279533	178309	0	3	0
19	35104548	35627952	523405	0	2	0
19	35134558	35623236	488679	1	0	0
19	35140415	35770582	630168	0	0	3
19	35140458	35634344	493887	1	0	0
19	35142031	35654649	512619	0	1	0
19	35142888	35279676	136789	1	0	0
19	35144609	35623363	478755	0	3	0
19	35144609	35658657	514049	4	0	0
19	35144661	35658657	513997	0	1	0
19	35163369	35279518	116150	0	0	5
19	35163386	35547326	383941	0	0	1
19	35168577	35633863	465287	1	0	0
19	35213060	35658643	445584	4	0	0
19	35252925	35348502	95578	0	0	1
19	35259887	35270569	10683	0	3	0
19	35266151	36125450	859300	2	0	0
19	35268728	35279620	10893	0	0	10
19	35269000	35269034	35	2	0	0
19	35269015	35269071	57	0	0	1
19	35269046	35269972	927	1	0	0
19	35269050	35271102	2053	0	0	4
19	35269050	35279492	10443	3	0	0
19	35269069	35279632	10564	0	7	0
19	35269085	35269643	559	0	0	5
19	35269131	35269613	483	1	0	0
19	35269137	35269620	484	1	0	0
19	35269140	35279633	10494	0	0	1
19	35269164	35269445	282	266	203	179
19	35269164	35279664	10501	1	0	0
19	35269298	36150217	880920	0	0	1
19	35269486	35269577	92	1	0	10
19	35269489	35269579	91	0	0	7
19	35269493	35269580	88	392	277	237
19	35269595	35278698	9104	1	0	0
19	35269595	35278703	9109	1	0	0
19	35269640	35270590	951	3	0	0
19	35269654	35279635	9982	0	1	0
19	35269669	35270718	1050	0	2	0
19	35269678	35270765	1088	0	7	0
19	35269684	35278714	9031	3	0	0
19	35269687	35270573	887	1	0	0
19	35269699	35270446	748	3	0	0
19	35269700	35269802	103	116	88	89
19	35269700	35270446	747	212	121	70
19	35269700	35270569	870	0	0	5
19	35269700	35270746	1047	1	0	0
19	35269700	35270758	1059	5	19	1
19	35269700	35271100	1401	1	0	0
19	35269814	35269843	30	0	6	0
19	35269912	35271097	1186	0	3	0
19	35269920	35270799	880	0	2	0
19	35269923	35270758	836	2	0	0
19	35269940	35271124	1185	0	0	1
19	35270004	35270292	289	4	0	0
19	35270004	35270446	443	260	208	207
19	35270535	35270718	184	1	0	0
19	35270595	35270716	122	1	0	0
19	35270598	35270717	120	770	597	434
19	35270598	35270722	125	0	0	3
19	35270732	35270770	39	0	0	2
19	35270741	35270781	41	0	4	0
19	35270763	35270786	24	2	0	0
19	35270787	35279333	8547	0	0	5
19	35270806	35271082	277	887	877	588
19	35270806	35271083	278	14	26	8
19	35270806	35271084	279	13	0	9
19	35271128	35279004	7877	0	0	2
19	35271129	35279214	8086	0	12	0
19	35271132	35279437	8306	3	0	0
19	35271138	35278694	7557	1	0	0
19	35271142	35275081	3940	2	0	2
19	35271142	35275782	4641	0	7	2
19	35271142	35278572	7431	4	3	9
19	35271142	35278670	7529	0	1	0
19	35271142	35278697	7556	569	733	562
19	35271142	35278698	7557	7	3	2
19	35271153	35278697	7545	0	9	4
19	35274832	35759449	484618	0	1	0
19	35275901	35278697	2797	1	16	5
19	35278759	35278945	187	0	0	5
19	35278774	35279133	360	1	0	0
19	35278793	35278945	153	744	731	564
19	35278793	35278947	155	0	3	0
19	35278793	35278969	177	73	46	26
19	35278981	35279463	483	4	0	0
19	35279041	35279207	167	3	0	0
19	35279069	35279163	95	1	0	1
19	35279075	35279138	64	0	5	0
19	35279075	35279166	92	334	308	133
19	35279079	35279172	94	6	0	0
19	35279203	35279491	289	0	0	4
19	35279263	35279423	161	0	0	3
19	35279350	35279480	131	0	8	0
19	35279351	35279683	333	0	0	4
19	35279509	35279539	31	2	0	0
19	35279515	35279639	125	0	0	5
19	35279516	35279590	75	0	0	5
19	35279539	35279658	120	5	0	0
19	35279559	35279664	106	0	0	3
19	35279635	35279663	29	0	5	0
19	35279655	35279687	33	1	0	0
19	35279716	35279747	32	0	3	0
19	35279723	36228794	949072	0	11	0
19	35279725	35654625	374901	0	0	2
19	35279745	35505025	225281	0	0	2
19	35279745	35505026	225282	0	0	1
19	35279745	35505027	225283	0	1	0
19	35279746	36099223	819478	0	0	1
19	35279751	35384347	104597	0	0	3
19	35279754	36099231	819478	0	0	1
19	35279754	36099232	819479	1	0	0
