chrom	intron_start_1based	intron_end	length	control	chx_low	chx_high
17	81127068	82057941	930874	0	1	0
17	81135858	82099828	963971	5	0	0
17	81191350	82056661	865312	0	0	4
17	81191979	82033732	841754	0	0	5
17	81192348	82091119	898772	2	0	0
17	81226954	82035881	808928	1	0	0
17	81245419	82060921	815503	1	0	0
17	81248646	82018742	770097	0	4	0
17	81253101	82019457	766357	0	8	0
17	81282541	82056637	774097	1	0	0
17	81306939	82060700	753762	0	1	0
17	81308324	82057391	749068	0	0	1
17	81336061	82033956	697896	0	0	1
17	81360078	82035881	675804	1	0	0
17	81372083	82035912	663830	0	0	1
17	81385375	82033755	648381	1	0	0
17	81389547	82243892	854346	1	0	0
17	81392307	82029547	637241	1	0	0
17	81430950	82030099	599150	2	0	0
17	81437900	82029443	591544	0	0	3
17	81446553	82078337	631785	0	0	1
17	81452137	82057235	605099	0	1	0
17	81458176	82032132	573957	2	0	0
17	81458343	82439738	981396	0	0	1
17	81458901	82109157	650257	0	3	0
17	81494613	82056952	562340	2	0	0
17	81510059	82026164	516106	0	1	0
17	81510063	82108471	598409	5	0	0
17	81510969	82371709	860741	1	0	0
17	81511109	82078111	567003	0	1	3
17	81511109	82386962	875854	2	0	0
17	81511109	82495387	984279	0	3	1
17	81511277	82388385	877109	0	1	0
17	81511332	82495384	984053	0	3	0
17	81511375	82188171	676797	0	0	4
17	81512113	82163898	651786	0	0	1
17	81512291	82021563	509273	0	1	0
17	81512795	82304106	791312	2	0	0
17	81512795	82397535	884741	6	0	0
17	81512800	82495384	982585	0	1	0
17	81528438	82058115	529678	0	0	1
17	81550995	82391340	840346	1	0	0
17	81557869	82342002	784134	0	1	0
17	81558248	82022258	464011	2	0	0
17	81559158	82418291	859134	0	0	8
17	81559224	82028561	469338	3	0	0
17	81578015	82409079	831065	0	0	1
17	81605001	82395561	790561	0	1	0
17	81610777	82521754	910978	1	0	0
17	81631459	82057879	426421	1	0	0
17	81651393	82057284	405892	2	0	0
17	81665212	82078108	412897	0	0	1
17	81665264	82066086	400823	0	0	2
17	81665270	82438903	773634	0	8	0
17	81665316	82271937	606622	0	0	6
17	81665328	82385543	720216	0	0	2
17	81665339	82114705	449367	0	7	0
17	81665361	82538848	873488	0	3	0
17	81665390	82032548	367159	0	0	4
17	81665456	82037613	372158	0	6	0
17	81665462	82230317	564856	1	0	0
17	81665480	82077540	412061	0	0	13
17	81665481	82627400	961920	0	16	1
17	81668084	82030792	362709	0	1	0
17	81672585	82084630	412046	0	3	0
17	81673366	82125357	451992	5	0	0
17	81681542	82559657	878116	0	0	3
17	81681719	82432228	750510	4	0	0
17	81696970	82019141	322172	3	0	0
17	81704318	82323005	618688	1	0	0
17	81704707	82216963	512257	4	0	0
17	81705412	82641947	936536	0	0	1
17	81707222	82648270	941049	1	0	0
17	81707506	82437897	730392	2	0	0
17	81707514	82379428	671915	1	1	1
17	81707515	82379430	671916	1	0	0
17	81707519	82619561	912043	1	0	0
17	81707521	82379442	671922	1	0	0
17	81721006	82653396	932391	1	0	0
17	81721011	82379430	658420	1	0	1
17	81734874	82057114	322241	0	1	0
17	81741971	82472615	730645	0	0	1
17	81810521	82442385	631865	0	7	0
17	81823277	82418383	595107	0	6	0
17	81824312	82204022	379711	1	0	0
17	81838880	82032804	193925	1	0	0
17	81843476	82815369	971894	1	0	0
17	81843619	82078108	234490	0	0	2
17	81845627	82639482	793856	1	0	0
17	81845704	82216650	370947	3	0	0
17	81845899	82120717	274819	1	0	2
17	81845943	82235682	389740	0	0	1
17	81847051	82615512	768462	0	3	0
17	81857805	82105465	247661	4	0	0
17	81859313	82621861	762549	2	0	0
17	81859348	82344182	484835	1	0	0
17	81867851	82354191	486341	7	0	0
17	81867920	82117166	249247	1	0	0
17	81868019	82099718	231700	4	0	0
17	81868019	82773379	905361	4	0	0
17	81868022	82416461	548440	0	0	11
17	81868104	82573284	705181	0	0	1
17	81868563	82128847	260285	5	0	0
17	81868767	82860274	991508	2	0	0
17	81868912	82214035	345124	0	2	0
17	81869013	82365314	496302	0	7	0
17	81869781	82855982	986202	0	0	11
17	81869880	82231024	361145	2	0	0
17	81871336	82829306	957971	0	0	2
17	81871363	82019938	148576	1	0	0
17	81872709	82101469	228761	0	1	0
17	81873570	82679633	806064	3	0	0
17	81886102	82097198	211097	0	3	0
17	81886102	82188115	302014	0	0	1
17	81887929	82078103	190175	1	0	0
17	81888146	82497154	609009	5	0	0
17	81888274	82807771	919498	3	0	0
17	81888344	82092479	204136	1	2	0
17	81888357	82354178	465822	1	0	0
17	81888360	82703841	815482	0	1	0
17	81888361	82416818	528458	0	2	0
17	81888537	82105565	217029	4	0	0
17	81888580	82190985	302406	0	0	5
17	81900256	82379436	479181	0	0	1
17	81912528	82194881	282354	0	1	0
17	81912615	82405265	492651	0	0	11
17	81913799	82052315	138517	0	2	0
17	81913836	82892031	978196	0	0	2
17	81917890	82244557	326668	0	0	1
17	81920976	82121318	200343	3	0	0
17	81930736	82379430	448695	0	0	1
17	81930757	82661893	731137	2	0	0
17	81930757	82661894	731138	1	0	0
17	81930757	82661895	731139	1	0	0
17	81930757	82661896	731140	1	0	0
17	81932698	82246337	313640	0	0	1
17	81935069	82216070	281002	0	1	0
17	81935126	82231218	296093	0	0	3
17	81935464	82496189	560726	0	0	4
17	81937283	82019948	82666	0	0	8
17	81937293	82892015	954723	0	0	5
17	81958807	82060023	101217	0	0	7
17	81960604	82483772	523169	5	0	0
17	81967394	82472616	505223	0	0	1
17	81967769	82480822	513054	0	0	1
17	81967769	82546966	579198	1	0	0
17	81983697	82427043	443347	4	0	0
17	82008191	82648513	640323	0	6	0
17	82012716	82018993	6278	1	0	0
17	82017402	82379428	362027	1	0	0
17	82018874	82018990	117	2	0	0
17	82018911	82018995	85	3	0	0
17	82018978	82019171	194	2	0	0
17	82018998	82220094	201097	0	0	3
17	82019068	82019142	75	0	2	0
17	82019115	82673921	654807	4	0	0
17	82019141	82383414	364274	2	0	0
17	82019152	82019857	706	8	0	0
17	82019203	82019291	89	0	0	6
17	82019205	82019292	88	12	5	0
17	82019220	82019292	73	570	325	268
17	82019220	82019307	88	62	21	21
17	82019379	82019857	479	0	0	12
17	82019381	82019857	477	0	2	0
17	82019382	82019509	128	23	4	4
17	82019382	82019640	259	99	81	90
17	82019382	82019641	260	1	0	0
17	82019382	82019857	476	237	169	75
17	82019382	82022825	3444	0	0	1
17	82019695	82019857	163	91	78	67
17	82019887	82436118	416232	0	1	0
17	82019907	82022825	2919	2	0	0
17	82019910	82022638	2729	14	11	14
17	82019910	82022825	2916	219	200	95
17	82020790	82959965	939176	0	0	4
17	82021821	82214041	192221	5	0	0
17	82022861	82958086	935226	0	2	0
