chrom	intron_start_1based	intron_end	length	control_1	control_2	control_3	chx_high_1	chx_high_2	chx_high_3
16	27852549	28715394	862846	0	0	1	0	0	0
16	27854341	28731995	877655	6	0	0	0	0	0
16	27872315	28735441	863127	0	0	0	0	0	4
16	27900260	28836917	936658	0	0	0	1	2	0
16	28059765	28715325	655561	0	0	2	0	0	0
16	28083033	28873946	790914	1	4	0	0	0	0
16	28145464	28715409	569946	0	0	0	0	7	0
16	28163326	28862613	699288	0	0	0	0	1	0
16	28252003	28723238	471236	0	0	0	0	0	1
16	28259085	28836866	577782	0	5	0	0	0	0
16	28303131	28834206	531076	0	2	0	0	0	0
16	28369585	28966282	596698	0	0	0	0	0	1
16	28377539	28835114	457576	1	0	0	0	0	0
16	28379870	28977997	598128	0	0	0	0	5	0
16	28383345	29231444	848100	0	0	4	0	0	0
16	28383356	28911219	527864	3	0	0	0	0	0
16	28383412	28975491	592080	0	0	0	0	2	0
16	28384616	28873963	489348	0	2	0	0	0	0
16	28388517	28727048	338532	0	0	1	0	0	0
16	28388540	28727023	338484	0	0	0	0	5	0
16	28410800	28983786	572987	1	0	0	0	0	0
16	28472732	28845446	372715	0	0	0	0	0	2
16	28560234	28725765	165532	0	1	0	0	0	0
16	28594121	28836859	242739	4	0	0	0	0	0
16	28597501	28836792	239292	0	0	0	4	0	1
16	28639731	28753838	114108	0	0	1	0	0	0
16	28685343	28799543	114201	0	0	0	0	1	0
16	28688829	28711656	22828	6	2	4	0	10	0
16	28698392	28725004	26613	0	0	0	0	3	0
16	28699240	28738355	39116	0	0	0	0	0	1
16	28707100	28842786	135687	1	0	0	0	0	0
16	28711518	28711656	139	0	12	0	3	0	0
16	28711519	28711656	138	0	0	0	1	0	1
16	28711519	28711660	142	5	0	0	0	0	0
16	28711568	28711656	89	12	23	2	6	12	18
16	28711788	28713700	1913	34	35	3	9	20	9
16	28713767	28713908	142	0	16	0	0	6	1
16	28713972	28714906	935	0	0	0	1	0	0
16	28713997	28723219	9223	0	0	0	0	1	0
16	28714045	28723224	9180	0	1	0	0	0	0
16	28714099	28714320	222	1	4	0	2	5	5
16	28714353	28958166	243814	0	0	0	0	2	0
16	28714388	28715319	932	0	0	0	2	0	0
16	28714404	28715399	996	0	0	0	0	0	1
16	28714432	28723183	8752	0	0	0	0	0	1
16	28714432	28723213	8782	2	1	0	3	0	0
16	28714446	28723238	8793	0	0	1	0	0	0
16	28714447	28714635	189	0	5	3	2	10	0
16	28714653	28723181	8529	0	0	0	2	0	0
16	28714663	28721019	6357	0	0	0	0	10	0
16	28714691	28714818	128	4	4	6	0	3	0
16	28714830	28723251	8422	0	0	2	0	0	0
16	28714833	28723249	8417	0	1	0	0	0	0
16	28714873	28723198	8326	0	1	0	0	0	0
16	28714904	28715408	505	0	0	3	0	0	0
16	28714914	28715426	513	0	0	0	5	0	0
16	28714925	28715305	381	0	0	0	0	0	3
16	28714929	28715306	378	28	15	23	10	20	16
16	28715359	28723219	7861	0	0	0	0	3	0
16	28715397	28723236	7840	0	0	0	0	0	3
16	28715433	28720914	5482	0	0	0	0	3	0
16	28715433	28723163	7731	1	2	0	0	0	0
16	28715433	28723188	7756	0	0	4	0	0	5
16	28715433	28723245	7813	4	0	0	0	0	0
16	28715434	28720914	5481	0	0	0	0	5	6
16	28715434	28723163	7730	0	0	1	0	3	0
16	28715435	28720914	5480	4	3	14	17	27	27
16	28715435	28723163	7729	205	115	148	85	118	95
16	28715435	28723227	7793	0	1	0	0	0	0
16	28718900	28723163	4264	0	0	0	0	0	2
16	28719104	28720914	1811	0	2	0	0	0	0
16	28721033	28723163	2131	6	20	16	69	90	115
16	28721033	28723238	2206	0	0	0	0	0	4
16	28723180	28723209	30	4	0	0	0	0	0
16	28723180	28723266	87	0	0	0	4	7	0
16	28723203	28723238	36	0	0	0	0	1	0
16	28723211	28723236	26	0	0	1	0	0	0
16	28723211	28723241	31	0	0	5	0	0	0
16	28723274	28724588	1315	0	1	0	0	0	0
16	28723279	28723302	24	0	0	4	0	0	0
16	28723306	28724671	1366	2	0	0	0	0	0
16	28723324	28723447	124	283	259	349	361	395	328
16	28723324	28723449	126	0	0	0	0	0	2
16	28723324	28723450	127	0	3	4	0	4	2
16	28723324	28723453	130	0	0	0	0	2	0
16	28723330	28723453	124	0	1	0	0	1	0
16	28723469	28723537	69	0	0	0	0	1	0
16	28723552	28724321	770	9	1	0	0	0	7
16	28724464	28724657	194	3	1	6	9	13	2
16	28724464	28724661	198	0	0	0	5	0	0
16	28725013	28726604	1592	0	0	0	0	3	0
16	28726796	28727020	225	1	0	1	0	3	0
16	28727104	28727181	78	0	1	0	0	0	0
16	28727246	28731828	4583	1	1	0	0	0	2
16	28732193	28734519	2327	9	5	3	8	1	3
16	28734647	28863989	129343	0	0	0	1	0	0
16	28734844	28734931	88	0	0	1	1	0	0
16	28735020	28735172	153	0	0	3	0	2	0
16	28735336	28735430	95	5	10	14	8	16	21
16	28735340	28735435	96	0	4	0	0	5	0
16	28735340	28735438	99	0	1	0	0	0	0
16	28735588	29563585	827998	0	0	2	0	0	0
16	28735594	29563593	828000	4	0	0	0	0	0
