chrom	intron_start_1based	intron_end	length	control	chx_low	chx_high
8	143793680	144789824	996145	2	5	0
8	143832845	144789842	956998	0	0	3
8	143881227	144789828	908602	1	0	0
8	143892297	144789834	897538	2	0	0
8	144032906	144789825	756920	1	0	0
8	144042776	144789824	747049	1	0	0
8	144076019	144789844	713826	0	2	0
8	144080647	144869464	788818	0	1	0
8	144082579	144841609	759031	0	1	0
8	144098784	144951759	852976	0	1	0
8	144114529	144789805	675277	0	0	4
8	144188496	144789778	601283	1	3	0
8	144192357	144789824	597468	5	0	0
8	144202835	145053066	850232	0	4	0
8	144222270	144789804	567535	0	0	8
8	144263067	144789824	526758	2	0	0
8	144264724	144808426	543703	0	8	0
8	144269703	145052845	783143	0	2	0
8	144271975	145054086	782112	0	11	0
8	144285610	144789824	504215	0	1	0
8	144289272	144897679	608408	0	0	1
8	144291278	145055083	763806	0	3	0
8	144292777	144848161	555385	1	0	0
8	144340188	144789805	449618	0	9	0
8	144342705	144805703	462999	0	0	1
8	144353346	144789802	436457	2	0	0
8	144413541	144791359	377819	0	1	0
8	144424082	145008695	584614	0	2	0
8	144432338	144808719	376382	3	0	0
8	144451287	144789829	338543	0	4	6
8	144451288	144789830	338543	0	7	0
8	144451453	144820803	369351	0	0	4
8	144451851	144805753	353903	1	0	0
8	144458546	144789824	331279	1	0	6
8	144474644	144789829	315186	3	0	0
8	144482687	144789780	307094	1	0	0
8	144513213	145055921	542709	1	0	0
8	144519755	144789826	270072	2	0	0
8	144564321	144789825	225505	6	0	0
8	144576884	144789832	212949	0	0	1
8	144592755	145054024	461270	1	0	0
8	144632018	144789813	157796	0	0	3
8	144653250	144815065	161816	0	0	4
8	144668612	145052801	384190	2	0	0
8	144745213	144789774	44562	1	0	0
8	144755683	144789829	34147	0	0	3
8	144789799	144789874	76	0	2	0
8	144789811	144791342	1532	3	0	0
8	144789816	144790391	576	0	0	2
8	144789827	144791342	1516	2	0	2
8	144789830	144789927	98	1	0	0
8	144789835	144790367	533	2	0	0
8	144789839	144791361	1523	2	0	0
8	144789845	144792107	2263	2	0	0
8	144789847	144790421	575	1	0	0
8	144789850	144791834	1985	1	0	2
8	144789856	144789888	33	0	5	0
8	144789857	144789889	33	3	0	10
8	144789857	144789948	92	3	0	0
8	144789862	144791782	1921	1	0	4
8	144789869	144791299	1431	4	0	0
8	144789871	144789913	43	0	2	0
8	144789872	144791787	1916	2	0	0
8	144789874	144790393	520	0	3	0
8	144789875	144790393	519	4	0	0
8	144789875	144790455	581	0	0	5
8	144789875	144791370	1496	2	4	0
8	144789875	144791872	1998	5	0	0
8	144789877	144789933	57	0	4	0
8	144789877	144789941	65	2	0	0
8	144789878	144789898	21	5	0	0
8	144789879	144790419	541	0	0	4
8	144789879	144792025	2147	3	2	0
8	144789880	144790418	539	0	3	0
8	144789880	144791335	1456	0	0	9
8	144789881	144790379	499	3	1	3
8	144789881	144790410	530	4	0	0
8	144789881	144791346	1466	1	0	0
8	144789882	144790400	519	0	6	0
8	144789886	144791430	1545	5	0	0
8	144789887	144791397	1511	0	0	1
8	144789891	144789956	66	0	5	0
8	144789893	144902237	112345	0	0	1
8	144789896	144790391	496	8	0	4
8	144789899	144790396	498	5	0	0
8	144789900	144792008	2109	1	0	0
8	144789903	144790432	530	5	3	0
8	144789904	144790354	451	0	5	0
8	144789904	144792029	2126	3	0	0
8	144789905	144790375	471	1	0	0
8	144789905	144790378	474	0	0	1
8	144789905	144790409	505	0	0	9
8	144789909	144791298	1390	6	0	0
8	144789910	144791296	1387	0	0	2
8	144789911	144790354	444	0	0	4
8	144789912	144790435	524	8	5	2
8	144789913	144790435	523	10	0	0
8	144789913	144791292	1380	1	0	0
8	144789914	144790397	484	0	6	0
8	144789915	144790426	512	2	1	0
8	144789915	144791343	1429	1	0	0
8	144789915	144791772	1858	4	0	0
