chrom	intron_start_1based	intron_end	length	control_1	control_2	control_3	chx_high_1	chx_high_2	chx_high_3
3	185417510	186080539	663030	0	0	0	0	4	0
3	185417824	186011698	593875	0	1	0	0	0	0
3	185491167	186020336	529170	0	0	0	0	1	0
3	185636342	186450964	814623	0	0	2	0	0	0
3	185643955	186303375	659421	0	0	0	0	2	0
3	185669587	186582026	912440	1	0	0	0	0	0
3	185772890	186228638	455749	0	0	0	1	0	0
3	185824028	186570743	746716	0	0	0	0	0	4
3	185839587	185917150	77564	0	1	0	0	0	0
3	185917725	185918364	640	0	0	0	0	0	2
3	185917726	185918364	639	52	42	31	27	62	26
3	185918436	185919436	1001	2	2	5	3	4	0
3	185918439	185919436	998	77	67	75	51	115	64
3	185918439	185919437	999	1	0	0	0	0	0
3	185918439	185921103	2665	0	0	3	0	0	0
3	185919492	185921099	1608	0	1	0	0	0	0
3	185919492	185921103	1612	0	0	0	0	0	1
3	185919495	185921102	1608	0	4	0	2	0	0
3	185919495	185921103	1609	8	0	0	0	0	0
3	185919497	185921103	1607	210	246	237	276	133	341
3	185919497	185922010	2514	0	0	0	3	0	0
3	185919497	185923795	4299	0	0	3	0	0	0
3	185919500	185921108	1609	0	1	0	0	0	0
3	185921125	185921166	42	0	0	3	0	0	0
3	185921186	185922009	824	1	1	2	0	0	0
3	185921188	185922010	823	166	213	143	210	105	273
3	185921188	185922011	824	0	3	0	0	0	0
3	185921188	185922014	827	1	2	0	6	0	0
3	185922127	185923795	1669	41	42	29	49	19	53
3	185922127	185923796	1670	0	0	0	0	5	0
3	185922127	185925545	3419	0	0	0	0	5	0
3	185923806	186677161	753356	0	1	0	0	0	0
3	185923855	185937927	14073	0	0	1	0	0	0
3	185923985	185925463	1479	48	36	42	90	55	84
3	185925627	185926600	974	90	78	95	112	104	79
3	185925627	185937824	12198	5	2	4	1	2	0
3	185926734	185937824	11091	0	3	0	0	0	0
3	185926735	185930112	3378	0	0	0	0	1	0
3	185926735	185931576	4842	13	7	5	16	16	5
3	185926735	185937373	10639	0	0	0	0	1	0
3	185926735	185937824	11090	46	94	55	37	76	35
3	185931853	185937373	5521	0	0	0	3	0	0
3	185931853	185937824	5972	32	65	47	87	58	80
3	185934506	185937824	3319	4	0	0	0	0	0
3	185937855	185937977	123	0	0	0	5	0	0
3	185937913	186853607	915695	0	0	0	0	0	3
3	185938017	186826999	888983	0	0	0	0	0	5
