chrom	intron_start_1based	intron_end	length	control	chx_low	chx_high
1	230693669	231585887	892219	0	3	0
1	231097692	231537644	439953	0	0	4
1	231097693	231565630	467938	0	6	0
1	231227013	231856318	629306	6	0	0
1	231227716	232058820	831105	0	0	3
1	231239152	231723381	484230	3	0	0
1	231239182	232239001	999820	0	0	3
1	231241133	231570019	328887	0	2	0
1	231252309	232031274	778966	0	1	0
1	231352725	231959437	606713	6	0	0
1	231421110	231541944	120835	3	0	0
1	231522638	231524425	1788	84	126	76
1	231522638	231527337	4700	162	319	381
1	231522638	231528419	5782	77	77	57
1	231522654	231527337	4684	2	0	0
1	231522721	231527337	4617	1	0	0
1	231522721	231528419	5699	2	0	0
1	231522791	231527337	4547	0	3	0
1	231523205	231527337	4133	2	0	0
1	231524524	231527337	2814	0	5	0
1	231524542	231527337	2796	39	17	17
1	231524542	231528419	3878	0	6	0
1	231524548	231527337	2790	6	21	4
1	231527402	231528415	1014	0	0	3
1	231527416	231527765	350	0	4	0
1	231527416	231528419	1004	90	155	104
1	231527793	231528121	329	0	4	0
