contrast	rank	junction_id	gene	lsv	side	anchor	junction	chrom	start	end	strand	mean_lsv_total	psi_ctl	psi_mid	psi_treated	dpsi	dpsi_dedup	slope	test	p	padj	consistent	hit	psi_Hek_control_1	psi_Hek_control_2	psi_Hek_control_3	psi_Ris_dose_25mM-1	psi_Ris_dose_25mM-2	psi_Ris_dose_25mM-3	n_Hek_control_1	n_Hek_control_2	n_Hek_control_3	n_Ris_dose_25mM-1	n_Ris_dose_25mM-2	n_Ris_dose_25mM-3
ris_low	1	chr7:SRRT:s:100885040|7:100885040-100885215:+	SRRT	chr7:SRRT:s:100885040	s	100885040	7:100885040-100885215:+	7	100885040	100885215	+	141.8	0.286		0.602	0.316	0.288		welch	0.0020821326774774257	0.4424531939639538	1	0	0.273	0.32	0.256	0.537	0.605	0.642	121	181	160	121	81	187
ris_low	2	chrX:NONO:t:71290628|X:71283721-71290628:+	NONO	chrX:NONO:t:71290628	t	71290628	X:71283721-71290628:+	X	71283721	71290628	+	101.8	0.151		0.386	0.235	0.271		welch	0.03156904333156143	0.9646329354635802	1	0	0.198	0.112	0.161	0.293	0.371	0.468	111	169	124	58	70	79
ris_low	3	chr16:GSPT1:s:11897839|16:11896782-11897839:-	GSPT1	chr16:GSPT1:s:11897839	s	11897839	16:11896782-11897839:-	16	11896782	11897839	-	107.7	0.083		0.299	0.216	0.157		welch	0.2163433730390324	0.9646329354635802	0	0	0.029	0.048	0.158	0.22	0.095	0.429	105	124	133	109	42	133
ris_low	4	chrX:HUWE1:t:53542539|X:53542539-53543840:-	HUWE1	chrX:HUWE1:t:53542539	t	53542539	X:53542539-53543840:-	X	53542539	53543840	-	107.8	0.555		0.761	0.206	0.12		welch	0.0163560393251352	0.9646329354635802	1	0	0.62	0.556	0.512	0.823	0.701	0.739	79	108	121	124	77	138
ris_low	5	chr4:OCIAD1:t:48832619|4:48831496-48832619:+	OCIAD1	chr4:OCIAD1:t:48832619	t	48832619	4:48831496-48832619:+	4	48831496	48832619	+	104.5	0.137		0.317	0.18	0.179		welch	0.14826233630367802	0.9646329354635802	0	0	0.055	0.098	0.282	0.423	0.452	0.172	109	153	103	104	42	116
ris_low	6	chr16:HIRIP3:t:29993808|16:29993808-29995102:-	HIRIP3	chr16:HIRIP3:t:29993808	t	29993808	16:29993808-29995102:-	16	29993808	29995102	-	119.0	0.31		0.489	0.179	0.19		welch	0.021447155294777143	0.9646329354635802	1	0	0.317	0.261	0.362	0.535	0.518	0.417	104	153	130	127	85	115
ris_low	7	chr22:CHCHD10:s:23767833|22:23767593-23767833:-	CHCHD10	chr22:CHCHD10:s:23767833	s	23767833	22:23767593-23767833:-	22	23767593	23767833	-	139.3	0.643		0.81	0.167	0.1		welch	0.027391364282247144	0.9646329354635802	1	0	0.616	0.586	0.703	0.825	0.783	0.814	73	157	185	166	115	140
ris_low	8	chr12:PYM1:t:55903480|12:55903480-55927724:-	PYM1	chr12:PYM1:t:55903480	t	55903480	12:55903480-55927724:-	12	55903480	55927724	-	109.7	0.75		0.917	0.167	0.191		welch	0.07539220600055305	0.9646329354635802	1	0	0.637	0.849	0.712	0.95	0.947	0.868	91	152	125	100	76	114
ris_low	9	chr7:MDH2:s:76048226|7:76048226-76054829:+	MDH2	chr7:MDH2:s:76048226	s	76048226	7:76048226-76054829:+	7	76048226	76054829	+	145.2	0.804		0.969	0.165	0.126		welch	0.06548325514043947	0.9646329354635802	1	0	0.885	0.816	0.736	0.979	0.947	0.97	131	196	193	141	75	135
ris_low	10	chr7:HOXA10:t:27172173|7:27172173-27179645:-	HOXA10	chr7:HOXA10:t:27172173	t	27172173	7:27172173-27179645:-	7	27172173	27179645	-	122.5	0.389		0.553	0.165	0.185		welch	0.06532234368103496	0.9646329354635802	1	0	0.314	0.395	0.482	0.573	0.584	0.5	185	129	139	117	77	88
ris_low		chr17:AURKB:t:8207840|17:8207840-8210529:-	AURKB	chr17:AURKB:t:8207840	t	8207840	17:8207840-8210529:-	17	8207840	8210529	-	136.7	0.237		0.401	0.164	0.107		welch	0.07427874243378528	0.9646329354635802	0	0	0.313	0.17	0.245	0.393	0.308	0.453	115	153	208	140	65	139
ris_low		chr18:TXNL4A:s:79988239|18:79973856-79988239:-	TXNL4A	chr18:TXNL4A:s:79988239	s	79988239	18:79973856-79988239:-	18	79973856	79988239	-	264.7	0.453		0.615	0.162	0.134		welch	0.09987607761776861	0.9646329354635802	1	0	0.476	0.515	0.381	0.615	0.757	0.529	275	270	315	262	177	289
ris_low		chr16:RNPS1:t:2264760|16:2264760-2267662:-	RNPS1	chr16:RNPS1:t:2264760	t	2264760	16:2264760-2267662:-	16	2264760	2267662	-	171.2	0.149		0.31	0.161	0.169		welch	0.009072583962746504	0.9639620460418161	1	0	0.106	0.184	0.147	0.351	0.317	0.263	160	201	163	185	139	179
ris_low		chr10:ANAPC16:s:72216138|10:72216138-72220053:+	ANAPC16	chr10:ANAPC16:s:72216138	s	72216138	10:72216138-72220053:+	10	72216138	72220053	+	157.7	0.526		0.685	0.159	0.152		welch	0.058058869121135975	0.9646329354635802	1	0	0.474	0.561	0.54	0.613	0.664	0.772	175	173	198	142	113	145
ris_low		chr1:ACOT7:s:6327298|1:6318576-6327298:-	ACOT7	chr1:ACOT7:s:6327298	s	6327298	1:6318576-6327298:-	1	6318576	6327298	-	139.2	0.0		0.157	0.157			welch	0.3416042509046734	0.9646329354635802	0	0	0.0	0.0	0.0	0.0	0.041	0.268	145	108	250	56	97	179
ris_low		chr1:ACOT7:t:6318578|1:6318576-6327298:-	ACOT7	chr1:ACOT7:t:6318578	t	6318578	1:6318576-6327298:-	1	6318576	6327298	-	139.2	0.0		0.157	0.157			welch	0.3416042509046734	0.9646329354635802	0	0	0.0	0.0	0.0	0.0	0.041	0.268	145	108	250	56	97	179
ris_low		chr7:DBNL:s:44058280|7:44058280-44058431:+	DBNL	chr7:DBNL:s:44058280	s	44058280	7:44058280-44058431:+	7	44058280	44058431	+	121.2	0.614		0.768	0.154	0.106		welch	0.21954807832820922	0.9646329354635802	0	0	0.708	0.718	0.444	0.841	0.919	0.642	113	117	135	126	74	162
ris_low		chr8:EEF1D:t:143586852|8:143586852-143588990:-	EEF1D	chr8:EEF1D:t:143586852	t	143586852	8:143586852-143588990:-	8	143586852	143588990	-	141.8	0.293		0.445	0.153	0.143		welch	0.12654549115224725	0.9646329354635802	1	0	0.179	0.362	0.319	0.614	0.411	0.379	156	210	119	83	151	132
ris_low		chr16:KNOP1:t:19710586|16:19710586-19714117:-	KNOP1	chr16:KNOP1:t:19710586	t	19710586	16:19710586-19714117:-	16	19710586	19714117	-	130.8	0.113		0.265	0.151	0.114		welch	0.22862635356191285	0.9646329354635802	0	0	0.122	0.144	0.058	0.31	0.083	0.333	139	181	121	116	84	144
ris_low		chr12:TMEM106C:t:47964208|12:47963633-47964208:+	TMEM106C	chr12:TMEM106C:t:47964208	t	47964208	12:47963633-47964208:+	12	47963633	47964208	+	126.8	0.605		0.754	0.149	0.161		welch	0.14681627545606032	0.9646329354635802	0	0	0.496	0.701	0.608	0.797	0.9	0.637	133	147	148	128	70	135
ris_low		chr16:KARS1:t:75641723|16:75641723-75644282:-	KARS1	chr16:KARS1:t:75641723	t	75641723	16:75641723-75644282:-	16	75641723	75644282	-	139.2	0.295		0.442	0.147	0.139		welch	0.6751104808551929	0.9693309269035708	0	0	0.327	0.224	0.378	0.524	0.14	0.441	107	214	143	185	50	136
ris_low		chr19:ERCC1:s:45416820|19:45414960-45416820:-	ERCC1	chr19:ERCC1:s:45416820	s	45416820	19:45414960-45416820:-	19	45414960	45416820	-	100.3	0.77		0.912	0.141	0.092		welch	0.21800692934986643	0.9646329354635802	0	0	0.797	0.661	0.879	1.0	0.933	0.792	79	118	99	106	104	96
ris_low		chr15:TPM1:t:63056984|15:63048707-63056984:+	TPM1	chr15:TPM1:t:63056984	t	63056984	15:63048707-63056984:+	15	63048707	63056984	+	265.3	0.597		0.738	0.141	0.12		welch	0.18968907926922188	0.9646329354635802	0	0	0.557	0.607	0.616	0.823	0.596	0.743	262	397	315	220	141	257
ris_low		chr11:SF1:t:64765518|11:64765518-64765950:-	SF1	chr11:SF1:t:64765518	t	64765518	11:64765518-64765950:-	11	64765518	64765950	-	113.0	0.064		0.201	0.137	0.206		welch	0.09415950403125926	0.9646329354635802	1	0	0.0	0.015	0.153	0.198	0.208	0.2	84	130	131	126	72	135
ris_low		chr17:AURKB:s:8210529|17:8207840-8210529:-	AURKB	chr17:AURKB:s:8210529	s	8210529	17:8207840-8210529:-	17	8207840	8210529	-	104.7	0.336		0.473	0.136	0.059		welch	0.2558990235387275	0.9646329354635802	0	0	0.371	0.333	0.317	0.444	0.333	0.583	97	78	161	124	60	108
ris_low		chr1:C1orf43:s:154220341|1:154214574-154220341:-	C1orf43	chr1:C1orf43:s:154220341	s	154220341	1:154214574-154220341:-	1	154214574	154220341	-	114.0	0.372		0.505	0.133	0.065		welch	0.2550075750189785	0.9646329354635802	0	0	0.329	0.424	0.357	0.361	0.505	0.688	79	125	199	97	107	77
ris_low		chr18:TXNL4A:t:79973856|18:79973856-79988239:-	TXNL4A	chr18:TXNL4A:t:79973856	t	79973856	18:79973856-79988239:-	18	79973856	79988239	-	282.0	0.433		0.566	0.132	0.102		welch	0.053977553582753295	0.9646329354635802	1	0	0.456	0.481	0.37	0.581	0.554	0.56	287	289	324	277	242	273
ris_low		chr1:RPL22:t:6197756|1:6197756-6199561:-	RPL22	chr1:RPL22:t:6197756	t	6197756	1:6197756-6199561:-	1	6197756	6199561	-	282.0	0.775		0.905	0.13	0.083		welch	0.20970914707237678	0.9646329354635802	0	0	0.92	0.686	0.728	0.889	0.933	0.901	311	331	323	270	194	263
ris_low		chr16:FLYWCH2:s:2883366|16:2883366-2896351:+	FLYWCH2	chr16:FLYWCH2:s:2883366	s	2883366	16:2883366-2896351:+	16	2883366	2896351	+	118.2	0.107		0.235	0.129	0.083		welch	0.4236274404028891	0.9646329354635802	0	0	0.015	0.321	0.038	0.094	0.339	0.271	135	109	159	106	115	85
ris_low		chr1:CAP1:s:40059458|1:40059458-40060069:+	CAP1	chr1:CAP1:s:40059458	s	40059458	1:40059458-40060069:+	1	40059458	40060069	+	100.8	0.042		0.168	0.126	0.093		welch	0.059776729143718704	0.9646329354635802	1	0	0.0	0.066	0.041	0.09	0.179	0.218	83	151	97	78	95	101
ris_low		chr2:ITGB1BP1:t:9418732|2:9418732-9422478:-	ITGB1BP1	chr2:ITGB1BP1:t:9418732	t	9418732	2:9418732-9422478:-	2	9418732	9422478	-	112.0	0.113		0.238	0.125	0.11		welch	0.06790427860679815	0.9646329354635802	1	0	0.126	0.135	0.073	0.266	0.325	0.172	87	171	124	79	77	134
ris_low		chr7:GGCT:s:30504568|7:30500681-30504568:-	GGCT	chr7:GGCT:s:30504568	s	30504568	7:30500681-30504568:-	7	30500681	30504568	-	223.0	0.576		0.7	0.124	0.128		welch	0.04169025840383122	0.9646329354635802	1	0	0.55	0.561	0.601	0.695	0.644	0.758	222	212	361	177	180	186
ris_low		chr16:CARMIL2:s:67656645|16:67656645-67657238:+	CARMIL2	chr16:CARMIL2:s:67656645	s	67656645	16:67656645-67657238:+	16	67656645	67657238	+	152.0	0.794		0.916	0.122	0.117		welch	0.24421968897516105	0.9646329354635802	0	0	0.756	0.907	0.706	0.772	1.0	0.994	156	193	180	136	93	154
ris_low		chr16:TRAPPC2L:s:88859972|16:88859972-88860910:+	TRAPPC2L	chr16:TRAPPC2L:s:88859972	s	88859972	16:88859972-88860910:+	16	88859972	88860910	+	110.7	0.334		0.456	0.122	0.092		welch	0.1572439003361217	0.9646329354635802	0	0	0.375	0.311	0.344	0.352	0.483	0.522	48	167	186	88	60	115
ris_low		chrX:KDM5C:t:53193636|X:53193636-53193781:-	KDM5C	chrX:KDM5C:t:53193636	t	53193636	X:53193636-53193781:-	X	53193636	53193781	-	147.5	0.393		0.514	0.121	0.106		welch	0.28658894559624876	0.9646329354635802	0	0	0.342	0.4	0.424	0.392	0.735	0.48	120	165	158	158	113	171
ris_low		chr10:NOLC1:t:102159432|10:102159308-102159432:+	NOLC1	chr10:NOLC1:t:102159432	t	102159432	10:102159308-102159432:+	10	102159308	102159432	+	120.0	0.755		0.873	0.118	0.089		welch	0.30034647063774306	0.9646329354635802	0	0	0.888	0.617	0.826	0.82	0.956	0.899	98	154	115	150	45	158
ris_low		chr15:MRPS11:s:88467782|15:88467782-88467907:+	MRPS11	chr15:MRPS11:s:88467782	s	88467782	15:88467782-88467907:+	15	88467782	88467907	+	120.3	0.65		0.762	0.112	0.152		welch	0.4330908805839371	0.9646329354635802	0	0	0.568	0.562	0.822	0.876	0.589	0.805	125	169	146	105	90	87
ris_low		chr17:CHD3:s:7907488|17:7907488-7907600:+	CHD3	chr17:CHD3:s:7907488	s	7907488	17:7907488-7907600:+	17	7907488	7907600	+	139.7	0.726		0.836	0.11	0.068		welch	0.15750201513599388	0.9646329354635802	0	0	0.62	0.812	0.71	0.864	0.8	0.831	100	170	238	118	70	142
ris_low		chr6:MRPL18:t:159790939|6:159790639-159790939:+	MRPL18	chr6:MRPL18:t:159790939	t	159790939	6:159790639-159790939:+	6	159790639	159790939	+	170.0	0.688		0.797	0.11	0.099		welch	0.1340630537824605	0.9646329354635802	1	0	0.66	0.704	0.683	0.868	0.705	0.817	106	226	180	129	149	230
ris_low		chr1:ENSG00000233461:t:231522637|1:231522637-231527337:-	ENSG00000233461	chr1:ENSG00000233461:t:231522637	t	231522637	1:231522637-231527337:-	1	231522637	231527337	-	141.7	0.524		0.633	0.109	0.079		welch	0.2460496843509437	0.9646329354635802	0	0	0.612	0.523	0.437	0.562	0.588	0.8	129	216	126	160	119	100
ris_low		chr7:BUD31:t:99410033|7:99409245-99410033:+	BUD31	chr7:BUD31:t:99410033	t	99410033	7:99409245-99410033:+	7	99409245	99410033	+	278.7	0.374		0.483	0.109	0.073		welch	0.24254278719389394	0.9646329354635802	0	0	0.263	0.445	0.351	0.371	0.665	0.457	217	434	302	248	191	280
ris_low		chr1:PABPC4:t:39570002|1:39570002-39571096:-	PABPC4	chr1:PABPC4:t:39570002	t	39570002	1:39570002-39571096:-	1	39570002	39571096	-	140.2	0.266		0.374	0.108	0.083		welch	0.47778529546294823	0.9646329354635802	0	0	0.299	0.423	0.095	0.496	0.34	0.261	127	215	221	117	50	111
ris_low		chr19:PRKCSH:t:11447692|19:11447618-11447692:+	PRKCSH	chr19:PRKCSH:t:11447692	t	11447692	19:11447618-11447692:+	19	11447618	11447692	+	119.8	0.4		0.506	0.106	0.06		welch	0.2746535806789455	0.9646329354635802	0	0	0.333	0.504	0.365	0.473	0.416	0.611	84	123	200	110	89	113
ris_low		chr16:PSMB10:t:67934948|16:67934948-67935295:-	PSMB10	chr16:PSMB10:t:67934948	t	67934948	16:67934948-67935295:-	16	67934948	67935295	-	137.2	0.195		0.299	0.105	0.139		welch	0.22752385660979724	0.9646329354635802	1	0	0.183	0.21	0.195	0.242	0.229	0.401	191	143	118	120	109	142
ris_low		chr9:PRPF4:s:113275770|9:113275770-113276547:+	PRPF4	chr9:PRPF4:s:113275770	s	113275770	9:113275770-113276547:+	9	113275770	113276547	+	151.3	0.785		0.888	0.103	0.035		welch	0.11753649814564664	0.9646329354635802	0	0	0.762	0.839	0.694	0.922	0.8	0.917	130	310	147	103	85	133
ris_low		chr11:SF1:s:64766899|11:64766155-64766899:-	SF1	chr11:SF1:s:64766899	s	64766899	11:64766155-64766899:-	11	64766155	64766899	-	130.7	0.26		0.361	0.102	0.082		welch	0.3830736742269309	0.9646329354635802	0	0	0.339	0.158	0.296	0.286	0.288	0.437	118	146	152	119	66	183
ris_low		chr15:COMMD4:s:75339344|15:75339344-75339964:+	COMMD4	chr15:COMMD4:s:75339344	s	75339344	15:75339344-75339964:+	15	75339344	75339964	+	221.0	0.327		0.43	0.102	0.041		welch	0.22304717864542412	0.9646329354635802	0	0	0.289	0.311	0.359	0.386	0.569	0.352	128	302	312	184	181	219
ris_low		chr19:HNRNPUL1:t:41268222|19:41264798-41268222:+	HNRNPUL1	chr19:HNRNPUL1:t:41268222	t	41268222	19:41264798-41268222:+	19	41264798	41268222	+	137.0	0.719		0.821	0.102	0.092		welch	0.27244219981954815	0.9646329354635802	0	0	0.704	0.673	0.797	0.946	0.794	0.729	125	202	143	129	68	155
ris_low		chr14:ACIN1:s:23065965|14:23064485-23065965:-	ACIN1	chr14:ACIN1:s:23065965	s	23065965	14:23064485-23065965:-	14	23064485	23065965	-	192.5	0.193		0.293	0.101	0.045		welch	0.19503449789067104	0.9646329354635802	0	0	0.116	0.298	0.131	0.277	0.284	0.315	181	262	221	206	88	197
ris_low		chr2:PPP1R7:s:241166441|2:241166441-241169780:+	PPP1R7	chr2:PPP1R7:s:241166441	s	241166441	2:241166441-241169780:+	2	241166441	241169780	+	173.3	0.214		0.315	0.101	0.109		welch	0.17689960228077756	0.9646329354635802	0	0	0.296	0.217	0.135	0.363	0.252	0.318	169	207	185	179	143	157
ris_low		chr17:SAT2:t:7626793|17:7626793-7626942:-	SAT2	chr17:SAT2:t:7626793	t	7626793	17:7626793-7626942:-	17	7626793	7626942	-	154.5	0.176		0.277	0.101	0.087		welch	0.33137255283478845	0.9646329354635802	0	0	0.294	0.166	0.114	0.355	0.191	0.264	109	187	176	141	94	220
ris_low		chrX:CITED1:t:72302934|X:72302934-72306476:-	CITED1	chrX:CITED1:t:72302934	t	72302934	X:72302934-72306476:-	X	72302934	72306476	-	196.8	0.288		0.387	0.1	-0.0		welch	0.28280250583272115	0.9646329354635802	0	0	0.276	0.393	0.178	0.466	0.354	0.317	214	295	259	163	130	120
ris_low		chr16:RPS15A:t:18789118|16:18789118-18790309:-	RPS15A	chr16:RPS15A:t:18789118	t	18789118	16:18789118-18790309:-	16	18789118	18790309	-	171.3	0.684		0.783	0.099	0.04		welch	0.24459918179663623	0.9646329354635802	0	0	0.774	0.688	0.628	0.722	0.909	0.756	133	269	234	133	99	160
ris_low		chr9:NTMT1:t:129634053|9:129632865-129634053:+	NTMT1	chr9:NTMT1:t:129634053	t	129634053	9:129632865-129634053:+	9	129632865	129634053	+	118.5	0.641		0.74	0.099	0.045		welch	0.6418074847869186	0.9646329354635802	0	0	0.829	0.482	0.693	0.764	0.596	0.831	111	164	101	123	94	118
ris_low		chr12:PYM1:s:55927724|12:55914366-55927724:-	PYM1	chr12:PYM1:s:55927724	s	55927724	12:55914366-55927724:-	12	55914366	55927724	-	101.8	0.023		0.121	0.098			welch	0.3448689710189971	0.9646329354635802	0	0	0.065	0.0	0.03	0.05	0.04	0.221	62	143	100	100	75	131
ris_low		chr19:ILF3:t:10688549|19:10683970-10688549:+	ILF3	chr19:ILF3:t:10688549	t	10688549	19:10683970-10688549:+	19	10683970	10688549	+	152.5	0.046		0.145	0.098	0.051		welch	0.15829847624462542	0.9646329354635802	0	0	0.132	0.0	0.0	0.216	0.099	0.115	152	176	103	162	131	191
ris_low		chr2:BOLA3:t:74135658|2:74135658-74142271:-	BOLA3	chr2:BOLA3:t:74135658	t	74135658	2:74135658-74142271:-	2	74135658	74142271	-	169.0	0.298		0.395	0.097	0.038		welch	0.19415780313608152	0.9646329354635802	1	0	0.158	0.353	0.329	0.369	0.409	0.411	139	255	167	168	93	192
ris_low		chr19:DMKN:s:35510183|19:35509961-35510183:-	DMKN	chr19:DMKN:s:35510183	s	35510183	19:35509961-35510183:-	19	35509961	35510183	-	339.5	0.262		0.358	0.096	0.051		welch	0.291776617015857	0.9646329354635802	0	0	0.295	0.341	0.16	0.348	0.273	0.44	332	475	470	247	238	275
ris_low		chr20:EIF6:s:35284175|20:35280118-35284175:-	EIF6	chr20:EIF6:s:35284175	s	35284175	20:35280118-35284175:-	20	35280118	35284175	-	118.7	0.206		0.302	0.096	0.074		welch	0.43822362662610337	0.9646329354635802	0	0	0.218	0.226	0.178	0.36	0.143	0.309	101	137	146	136	56	136
ris_low		chr9:NTMT1:s:129626295|9:129626295-129632649:+	NTMT1	chr9:NTMT1:s:129626295	s	129626295	9:129626295-129632649:+	9	129626295	129632649	+	111.0	0.75		0.846	0.096	0.022		welch	0.46806638530731254	0.9646329354635802	0	0	0.839	0.608	0.856	0.956	0.723	0.878	87	148	125	113	119	74
ris_low		chr20:NOP56:t:2656400|20:2656214-2656400:+	NOP56	chr20:NOP56:t:2656400	t	2656400	20:2656214-2656400:+	20	2656214	2656400	+	122.0	0.713		0.81	0.096	0.043		welch	0.4699729076272323	0.9646329354635802	0	0	0.802	0.612	0.743	0.762	0.694	0.896	126	152	144	126	49	135
ris_low		chr21:SLX9:t:44960099|21:44943792-44960099:+	SLX9	chr21:SLX9:t:44960099	t	44960099	21:44943792-44960099:+	21	44943792	44960099	+	293.5	0.363		0.459	0.096	0.088		welch	0.4522027385573768	0.9646329354635802	0	0	0.435	0.392	0.308	0.43	0.333	0.579	207	319	439	293	213	290
ris_low		chr3:RPL14:t:40457889|3:40457474-40457889:+	RPL14	chr3:RPL14:t:40457889	t	40457889	3:40457474-40457889:+	3	40457474	40457889	+	233.2	0.082		0.177	0.095	0.087		welch	0.19575186519763077	0.9646329354635802	0	0	0.104	0.062	0.086	0.25	0.282	0.078	260	323	303	212	71	230
ris_low		chr3:CNBP:t:129171538|3:129171538-129171654:-	CNBP	chr3:CNBP:t:129171538	t	129171538	3:129171538-129171654:-	3	129171538	129171654	-	114.2	0.612		0.707	0.095	0.14		welch	0.15252973967957123	0.9646329354635802	1	0	0.671	0.545	0.632	0.674	0.803	0.674	143	167	136	89	61	89
ris_low		chr3:FAM162A:s:122384299|3:122384299-122401375:+	FAM162A	chr3:FAM162A:s:122384299	s	122384299	3:122384299-122401375:+	3	122384299	122401375	+	103.2	0.026		0.119	0.093	0.13		welch	0.08640092739418326	0.9646329354635802	1	0	0.029	0.0	0.041	0.113	0.216	0.088	104	82	122	124	51	136
