chrom	intron_start_1based	intron_end	length	control	chx_low	chx_high
19	13563200	14408864	845665	0	3	0
19	13581411	14491401	909991	4	0	0
19	13600443	14470587	870145	0	0	2
19	13600871	14408864	807994	2	0	0
19	13692897	14477761	784865	1	0	0
19	13759011	14639740	880730	1	0	0
19	13778261	14670879	892619	6	0	0
19	13778398	14433618	655221	0	0	1
19	13825829	14471612	645784	0	0	1
19	13847198	14433461	586264	0	3	0
19	13876906	14471790	594885	0	1	0
19	13876937	14489633	612697	0	1	0
19	13959721	14441407	481687	2	0	0
19	13961440	14457294	495855	0	1	0
19	14042135	14931846	889712	0	1	0
19	14054511	14595251	540741	1	0	0
19	14054768	14493280	438513	4	0	0
19	14055020	14475701	420682	4	0	0
19	14085400	14470232	384833	1	0	0
19	14088056	14451270	363215	1	0	0
19	14088240	14478357	390118	0	1	0
19	14090457	14558758	468302	2	0	0
19	14090731	14566984	476254	0	5	0
19	14091476	14565847	474372	0	0	1
19	14092813	14456109	363297	0	1	0
19	14097519	14470604	373086	0	6	0
19	14100821	14467953	367133	0	2	0
19	14119819	15112566	992748	1	0	0
19	14136148	14470607	334460	1	0	0
19	14148277	15113630	965354	0	1	0
19	14150077	14580675	430599	2	0	0
19	14150111	14976679	826569	1	0	0
19	14201336	14565799	364464	1	1	0
19	14217647	14443575	225929	2	0	0
19	14261766	15256195	994430	0	2	0
19	14278683	14408864	130182	1	0	0
19	14301731	14443490	141760	0	1	0
19	14324040	15256209	932170	0	3	0
19	14324041	15256209	932169	0	1	0
19	14324042	15256209	932168	0	1	0
19	14381856	14565819	183964	0	6	0
19	14384190	14564001	179812	0	2	0
19	14389748	15379231	989484	0	2	0
19	14406643	14471651	65009	3	0	0
19	14408873	14410268	1396	4	0	0
19	14408884	14410215	1332	1	0	0
19	14408897	14409779	883	2	0	0
19	14408900	14411514	2615	1	0	0
19	14408902	14409311	410	6	0	0
19	14408903	14409378	476	0	8	0
19	14408945	14409036	92	4	7	7
19	14408948	14409032	85	8	10	6
19	14408952	14409036	85	3	8	8
19	14408952	14409039	88	11	15	13
19	14408953	14409036	84	3448	3055	4227
19	14408953	14409037	85	7	4	2
19	14409056	15188579	779524	5	0	0
19	14409058	14495186	86129	0	0	3
19	14409067	14413210	4144	0	0	4
19	14409080	14409384	305	0	0	5
19	14409082	15012927	603846	0	4	0
19	14409104	14409389	286	2	0	0
19	14409184	14409302	119	6	0	0
19	14409185	14409302	118	663	629	794
19	14409348	14409862	515	1	0	0
19	14409448	14409535	88	354	274	407
19	14409448	14409536	89	3	0	0
19	14409646	14409741	96	179	149	219
19	14409794	14769215	359422	0	1	0
19	14409874	14410215	342	496	314	461
19	14409982	14410215	234	2	23	58
19	14409982	14412571	2590	0	3	0
19	14409985	14410215	231	6	5	26
19	14410333	14410988	656	0	6	6
19	14410335	14410420	86	15	15	75
19	14410335	14410547	213	10	27	99
19	14410335	14410988	654	621	354	426
19	14410335	14410989	655	10	0	0
19	14410606	14410988	383	18	21	110
19	14411137	14411505	369	0	13	0
19	14411169	14411503	335	3	0	0
19	14411172	14411505	334	9	0	0
19	14411173	14411505	333	357	296	300
19	14411341	14411433	93	3	0	0
19	14411598	14412550	953	5	3	0
19	14411599	14412550	952	744	603	614
19	14412679	14413012	334	403	335	332
19	14412679	14413014	336	1	0	0
19	14413039	14441437	28399	2	0	0
19	14413100	15096484	683385	0	0	7
19	14413151	15363436	950286	0	2	3
19	14413168	14418968	5801	2	0	0
19	14413225	14418928	5704	2	0	0
19	14413225	14419269	6045	53	52	39
19	14413262	14419269	6008	0	2	0
19	14415486	14415929	444	0	7	0
19	14415565	14417012	1448	0	2	0
19	14416845	14600740	183896	0	0	1
