chrom	intron_start_1based	intron_end	length	control	ris_low
22	40011376	40928397	917022	0	2
22	40133666	40972580	838915	2	0
22	40354702	41188662	833961	2	0
22	40365908	41254426	888519	5	0
22	40424225	41178420	754196	0	3
22	40425752	41356360	930609	2	0
22	40442025	40850830	408806	0	1
22	40498303	41245610	747308	0	1
22	40562651	40951332	388682	0	2
22	40615973	40971845	355873	0	1
22	40625349	41230787	605439	0	4
22	40653758	40937140	283383	0	7
22	40720140	41254465	534326	5	0
22	40742350	41519718	777369	0	4
22	40764366	40802746	38381	0	2
22	40770982	40773936	2955	3	10
22	40771139	41258686	487548	2	0
22	40774019	40777039	3021	3	0
22	40774020	40777039	3020	1	6
22	40777136	40777227	92	11	11
22	40777374	40779008	1635	12	2
22	40779126	40792524	13399	1	0
22	40779126	40819194	40069	0	4
22	40792677	40794513	1837	11	13
22	40792677	40799022	6346	1	0
22	40794581	40799022	4442	18	21
22	40797337	40799022	1686	0	15
22	40799084	40819194	20111	49	58
22	40801832	40816308	14477	8	0
22	40817378	40819194	1817	8	0
