chrom	intron_start_1based	intron_end	length	control_1	control_2	control_3	ris_low_1	ris_low_2	ris_low_3
14	30336712	31103864	767153	0	0	1	0	0	0
14	30340194	31116654	776461	0	0	0	0	1	0
14	30843877	31188237	344361	0	0	0	1	0	0
14	30843880	31188237	344358	0	0	0	1	0	0
14	30885826	30895015	9190	1	0	0	0	0	0
14	30889794	30894912	5119	0	0	0	1	0	2
14	30895581	30895661	81	0	0	1	1	0	0
14	30912183	30935162	22980	0	0	2	0	0	0
14	30919107	30935162	16056	0	0	0	3	0	3
14	30929312	30935162	5851	1	0	2	12	0	0
14	30935305	30936494	1190	0	0	0	0	0	2
14	30936625	30947089	10465	0	1	2	0	2	0
14	30950945	30955619	4675	0	0	0	3	0	2
14	30955694	30956138	445	0	0	7	3	0	6
14	30956243	31025903	69661	5	14	18	11	19	38
14	30956243	31026771	70529	0	0	0	0	1	0
14	31025788	31066125	40338	3	9	0	0	0	18
14	31025788	31080572	54785	0	0	0	0	6	0
