chrom	intron_start_1based	intron_end	length	control_1	control_2	control_3	chx_high_1	chx_high_2	chx_high_3
19	34463058	35445541	982484	0	0	0	0	3	0
19	34612067	35497228	885162	0	0	0	1	0	0
19	34691787	35633872	942086	0	0	0	0	0	1
19	34783623	35279532	495910	0	3	0	0	0	0
19	34790611	35270445	479835	0	1	0	0	0	0
19	34805802	35744395	938594	0	0	0	0	0	5
19	34954987	35307659	352673	0	0	0	2	0	0
19	34964471	35648363	683893	1	0	0	0	0	0
19	35000256	35631399	631144	0	0	4	0	0	0
19	35013894	35651300	637407	6	0	0	0	0	0
19	35023711	35792851	769141	5	0	0	0	0	0
19	35032764	35767732	734969	0	0	2	0	0	0
19	35041441	35770605	729165	0	0	0	0	6	0
19	35045481	35648360	602880	1	0	0	0	0	3
19	35059961	35767589	707629	0	1	0	0	0	0
19	35071917	35502574	430658	0	0	0	2	0	0
19	35072463	35770508	698046	0	0	0	0	0	6
19	35078523	35508204	429682	0	1	0	0	0	0
19	35086303	35654623	568321	0	0	0	2	0	0
19	35134558	35623236	488679	1	0	0	0	0	0
19	35140415	35770582	630168	0	0	0	0	0	3
19	35140458	35634344	493887	0	0	1	0	0	0
19	35142888	35279676	136789	1	0	0	0	0	0
19	35144609	35658657	514049	0	3	0	0	0	0
19	35163369	35279518	116150	0	0	0	5	0	0
19	35163386	35547326	383941	0	0	0	1	0	0
19	35168577	35633863	465287	0	1	0	0	0	0
19	35183758	36023738	839981	1	0	0	0	0	0
19	35213060	35658643	445584	0	0	4	0	0	0
19	35252925	35348502	95578	0	0	0	0	0	1
19	35266151	36125450	859300	0	2	0	0	0	0
19	35268728	35279620	10893	0	0	0	0	0	9
19	35269000	35269034	35	0	0	1	0	0	0
19	35269046	35269972	927	0	0	1	0	0	0
19	35269050	35271102	2053	0	0	0	0	0	4
19	35269050	35279492	10443	0	3	0	0	0	0
19	35269085	35269643	559	0	0	0	0	5	0
19	35269140	35279633	10494	0	0	0	0	1	0
19	35269164	35269445	282	109	87	61	83	46	45
19	35269298	36150217	880920	0	0	0	1	0	0
19	35269486	35269577	92	2	0	0	3	3	4
19	35269489	35269579	91	0	0	0	7	0	0
19	35269493	35269580	88	161	131	95	92	86	48
19	35269595	35278698	9104	0	0	2	0	0	0
19	35269640	35270590	951	4	0	0	0	0	0
19	35269684	35278714	9031	0	0	3	0	0	0
19	35269699	35270446	748	3	0	0	0	0	0
19	35269700	35269802	103	36	27	35	19	44	21
19	35269700	35270446	747	67	77	70	6	18	43
19	35269700	35270569	870	0	0	0	0	0	4
19	35269700	35270746	1047	1	0	0	0	0	0
19	35269700	35270758	1059	4	1	1	0	0	1
19	35269700	35271100	1401	0	2	0	0	0	0
19	35269923	35270758	836	2	0	0	0	0	0
19	35269940	35271124	1185	0	0	0	0	0	2
19	35270004	35270292	289	0	3	1	0	0	0
19	35270004	35270446	443	84	76	73	33	76	74
19	35270535	35270718	184	0	0	2	0	0	0
19	35270595	35270716	122	0	1	0	0	0	0
19	35270598	35270717	120	261	237	215	114	89	184
19	35270598	35270722	125	0	0	0	0	0	3
19	35270732	35270770	39	0	0	0	0	0	2
19	35270763	35270786	24	1	0	0	0	0	0
19	35270787	35279333	8547	0	0	0	5	0	0
19	35270805	35271083	279	1	0	0	0	0	0
19	35270806	35271082	277	324	244	251	145	174	212
19	35270806	35271083	278	6	2	3	4	0	5
19	35270806	35271084	279	5	6	1	2	3	2
19	35271128	35279004	7877	0	0	0	0	0	2
19	35271132	35279437	8306	4	0	0	0	0	0
19	35271142	35275081	3940	0	0	2	0	2	0
19	35271142	35275782	4641	0	0	0	0	2	0
19	35271142	35278572	7431	0	0	2	9	0	0
19	35271142	35278697	7556	209	118	221	174	180	169
19	35271142	35278698	7557	2	0	2	0	2	0
19	35271153	35278697	7545	0	0	0	0	0	3
19	35275901	35278697	2797	0	1	0	0	0	4
19	35278759	35278945	187	0	0	0	5	0	0
19	35278793	35278945	153	272	217	227	151	183	192
19	35278793	35278969	177	14	19	22	8	5	9
19	35278981	35279463	483	7	0	0	0	0	0
19	35279041	35279207	167	0	4	0	0	0	0
19	35279069	35279163	95	0	0	1	0	0	0
19	35279075	35279166	92	107	142	85	25	31	62
19	35279079	35279172	94	0	2	0	0	0	0
19	35279203	35279491	289	0	0	0	4	0	0
19	35279263	35279423	161	0	0	0	0	3	0
19	35279351	35279683	333	0	0	0	4	0	0
19	35279515	35279639	125	0	0	0	0	0	2
19	35279516	35279590	75	0	0	0	0	5	0
19	35279539	35279658	120	4	0	0	0	0	0
19	35279559	35279664	106	0	0	0	2	1	0
19	35279655	35279687	33	0	1	0	0	0	0
19	35279725	35654625	374901	0	0	0	0	0	2
19	35279745	35505025	225281	0	0	0	0	0	1
19	35279745	35505026	225282	0	0	0	0	0	1
19	35279751	35384347	104597	0	0	0	0	0	2
19	35279754	36099231	819478	0	0	0	0	1	0
