chrom	intron_start_1based	intron_end	length	control	chx_low	chx_high
15	100492085	101400247	908163	1	0	0
15	100554276	101398464	844189	5	0	0
15	100659329	101283393	624065	1	0	0
15	100659330	101283393	624064	1	0	0
15	101031917	101288431	256515	0	0	4
15	101097398	101684088	586691	1	0	0
15	101130180	101291972	161793	0	1	0
15	101205959	101696210	490252	0	0	1
15	101275362	101295096	19735	0	4	0
15	101281783	101284966	3184	1204	1972	1760
15	101285010	101295188	10179	0	0	1
15	101285028	101295192	10165	0	0	8
15	101285029	101285761	733	0	0	2
15	101285029	101286234	1206	0	5	0
15	101285048	101285730	683	0	9	0
15	101285048	101489187	204140	0	0	3
15	101285051	101285717	667	3	5	0
15	101285060	101285726	667	12	32	12
15	101285061	101285725	665	1000	1451	1361
15	101285061	101285726	666	6	1	0
15	101285062	101285727	666	8	0	3
15	101285761	101291970	6210	0	0	1
15	101285796	101286215	420	4	0	0
15	101285799	101286213	415	0	0	3
15	101285800	101286213	414	7	10	0
15	101285801	101286907	1107	0	0	4
15	101285802	101286213	412	517	667	598
15	101285802	101286907	1106	25	152	151
15	101285805	101286913	1109	0	1	0
15	101286234	101286261	28	0	0	2
15	101286277	101567073	280797	5	0	0
15	101286294	101286907	614	116	114	73
15	101287009	101287655	647	2	0	0
15	101287011	101287655	645	58	68	39
15	101287011	101295096	8086	6	7	0
15	101287703	101289813	2111	0	3	7
15	101287703	101291961	4259	45	54	27
15	101287703	101295096	7394	7	0	0
15	101289923	101291961	2039	0	3	9
15	101292041	101293024	984	34	40	9
15	101293143	101295096	1954	0	0	4
15	101293170	101295094	1925	0	2	6
15	101293171	101295096	1926	7	0	0
15	101293173	101295096	1924	325	256	180
15	101295199	101488742	193544	0	2	0
