chrom	intron_start_1based	intron_end	length	control	chx_low	chx_high
18	79710719	79973405	262687	2	0	0
18	79715289	80181454	466166	4	0	0
18	79874796	80138029	263234	0	3	0
18	79904021	80034499	130479	2	0	0
18	79971859	79973641	1783	2	0	0
18	79971864	79973521	1658	1	0	0
18	79971864	79973641	1778	5	0	0
18	79973564	79973604	41	0	0	7
18	79973564	79973633	70	0	0	9
18	79973771	79973827	57	0	0	2
18	79973811	79977633	3823	3	0	0
18	79973817	79977596	3780	0	2	0
18	79973833	79977648	3816	2	0	0
18	79973850	79977593	3744	0	1	1
18	79973856	79977597	3742	0	0	5
18	79973857	79976717	2861	0	2	10
18	79973857	79977597	3741	335	257	253
18	79973857	79986601	12745	14	0	0
18	79973857	79988239	14383	264	98	65
18	79973857	79988263	14407	5	0	0
18	79973857	80033850	59994	1	0	1
18	79976788	79977597	810	0	0	5
18	79977662	79988239	10578	3	0	0
18	79977663	79988241	10579	4	0	0
18	79977702	79986601	8900	0	4	9
18	79977702	79988239	10538	261	151	83
18	79977702	79988242	10541	5	0	0
18	79985867	79986601	735	3	0	6
18	79986751	79988239	1489	58	31	62
18	79986751	79988263	1513	1	0	0
18	79988410	79988480	71	1	0	0
18	79988428	80109116	120689	0	3	0
18	79988439	79988485	47	0	0	4
