contrast	rank	gene	lsv	junction	condition	n_wells	psi	ci_lo	ci_hi	fragments_junction	fragments_lsv	per_well_psi
chx_dose	1	CLASRP	chr19:CLASRP:t:45068419	19:45068058-45068419:+	Hek control	3	0.249	0.217	0.284	167	670	0.284;0.282;0.205
chx_dose	1	CLASRP	chr19:CLASRP:t:45068419	19:45068058-45068419:+	Ris dose 25mM	3	0.282	0.245	0.322	157	556	0.380;0.181;0.264
chx_dose	1	CLASRP	chr19:CLASRP:t:45068419	19:45068058-45068419:+	CHX dose 1ug/mL	3	0.422	0.383	0.462	261	618	0.440;0.475;0.354
chx_dose	1	CLASRP	chr19:CLASRP:t:45068419	19:45068058-45068419:+	CHX dose 50ug/mL	3	0.706	0.681	0.73	964	1366	0.710;0.758;0.667
chx_dose	1	CLASRP	chr19:CLASRP:t:45068419	19:45068058-45068419:+	CADM1 1nM	3	0.323	0.282	0.365	163	505	0.293;0.319;0.364
chx_dose	1	CLASRP	chr19:CLASRP:t:45068419	19:45068058-45068419:+	CADM1 100nM	3	0.347	0.305	0.392	165	475	0.461;0.335;0.286
chx_dose	2	EIF3C	chr16:EIF3C:t:28723163	16:28721032-28723163:+	Hek control	3	0.084	0.065	0.105	67	800	0.026;0.140;0.091
chx_dose	2	EIF3C	chr16:EIF3C:t:28723163	16:28721032-28723163:+	Ris dose 25mM	3	0.092	0.067	0.123	41	444	0.116;0.082;0.079
chx_dose	2	EIF3C	chr16:EIF3C:t:28723163	16:28721032-28723163:+	CHX dose 1ug/mL	3	0.081	0.061	0.105	52	644	0.011;0.027;0.204
chx_dose	2	EIF3C	chr16:EIF3C:t:28723163	16:28721032-28723163:+	CHX dose 50ug/mL	3	0.477	0.438	0.517	307	643	0.448;0.421;0.544
chx_dose	2	EIF3C	chr16:EIF3C:t:28723163	16:28721032-28723163:+	CADM1 1nM	3	0.049	0.035	0.066	39	796	0.000;0.038;0.123
chx_dose	2	EIF3C	chr16:EIF3C:t:28723163	16:28721032-28723163:+	CADM1 100nM	3	0.078	0.061	0.099	64	818	0.072;0.125;0.038
chx_dose	3	AKAP8	chr19:AKAP8:t:15368322	19:15368322-15369066:-	Hek control	3	0.054	0.032	0.085	17	314	0.091;0.023;0.060
chx_dose	3	AKAP8	chr19:AKAP8:t:15368322	19:15368322-15369066:-	Ris dose 25mM	3	0.161	0.117	0.214	39	242	0.117;0.219;0.158
chx_dose	3	AKAP8	chr19:AKAP8:t:15368322	19:15368322-15369066:-	CHX dose 1ug/mL	3	0.233	0.187	0.285	70	300	0.258;0.264;0.190
chx_dose	3	AKAP8	chr19:AKAP8:t:15368322	19:15368322-15369066:-	CHX dose 50ug/mL	3	0.399	0.35	0.45	153	383	0.329;0.471;0.375
chx_dose	3	AKAP8	chr19:AKAP8:t:15368322	19:15368322-15369066:-	CADM1 1nM	3	0.107	0.077	0.145	37	345	0.121;0.070;0.169
chx_dose	3	AKAP8	chr19:AKAP8:t:15368322	19:15368322-15369066:-	CADM1 100nM	3	0.099	0.066	0.142	26	262	0.309;0.022;0.060
chx_dose	4	HRAS	chr11:HRAS:t:532755	11:532755-533276:-	Hek control	3	0.084	0.072	0.097	159	1895	0.095;0.080;0.080
chx_dose	4	HRAS	chr11:HRAS:t:532755	11:532755-533276:-	Ris dose 25mM	3	0.098	0.083	0.115	142	1448	0.080;0.093;0.120
chx_dose	4	HRAS	chr11:HRAS:t:532755	11:532755-533276:-	CHX dose 1ug/mL	3	0.291	0.259	0.324	225	773	0.403;0.184;0.320
chx_dose	4	HRAS	chr11:HRAS:t:532755	11:532755-533276:-	CHX dose 50ug/mL	3	0.361	0.328	0.395	290	803	0.427;0.244;0.379
chx_dose	4	HRAS	chr11:HRAS:t:532755	11:532755-533276:-	CADM1 1nM	3	0.119	0.102	0.138	154	1291	0.180;0.117;0.060
chx_dose	4	HRAS	chr11:HRAS:t:532755	11:532755-533276:-	CADM1 100nM	3	0.108	0.091	0.127	128	1189	0.102;0.131;0.093
chx_dose	5	PSMG4	chr6:PSMG4:t:3267590	6:3264325-3267590:+	Hek control	3	0.157	0.135	0.181	157	999	0.171;0.161;0.141
chx_dose	5	PSMG4	chr6:PSMG4:t:3267590	6:3264325-3267590:+	Ris dose 25mM	3	0.168	0.144	0.194	151	900	0.161;0.089;0.211
chx_dose	5	PSMG4	chr6:PSMG4:t:3267590	6:3264325-3267590:+	CHX dose 1ug/mL	3	0.315	0.283	0.348	253	804	0.327;0.340;0.278
chx_dose	5	PSMG4	chr6:PSMG4:t:3267590	6:3264325-3267590:+	CHX dose 50ug/mL	3	0.431	0.39	0.472	254	590	0.351;0.440;0.482
chx_dose	5	PSMG4	chr6:PSMG4:t:3267590	6:3264325-3267590:+	CADM1 1nM	3	0.123	0.101	0.148	97	791	0.066;0.176;0.130
chx_dose	5	PSMG4	chr6:PSMG4:t:3267590	6:3264325-3267590:+	CADM1 100nM	3	0.18	0.155	0.207	158	878	0.182;0.172;0.188
chx_dose	6	SNHG29	chr17:SNHG29:t:16440184	17:16439703-16440184:+	Hek control	3	0.08	0.063	0.1	69	865	0.138;0.053;0.064
chx_dose	6	SNHG29	chr17:SNHG29:t:16440184	17:16439703-16440184:+	Ris dose 25mM	3	0.08	0.061	0.102	58	726	0.114;0.022;0.084
chx_dose	6	SNHG29	chr17:SNHG29:t:16440184	17:16439703-16440184:+	CHX dose 1ug/mL	3	0.148	0.119	0.182	76	512	0.124;0.180;0.111
chx_dose	6	SNHG29	chr17:SNHG29:t:16440184	17:16439703-16440184:+	CHX dose 50ug/mL	3	0.326	0.28	0.376	125	383	0.324;0.419;0.250
chx_dose	6	SNHG29	chr17:SNHG29:t:16440184	17:16439703-16440184:+	CADM1 1nM	3	0.121	0.099	0.145	100	828	0.107;0.146;0.118
chx_dose	6	SNHG29	chr17:SNHG29:t:16440184	17:16439703-16440184:+	CADM1 100nM	3	0.149	0.127	0.174	138	924	0.146;0.115;0.194
chx_dose	7	CENPX	chr17:CENPX:t:82019381	17:82019381-82019640:-	Hek control	3	0.284	0.246	0.324	150	529	0.342;0.305;0.229
chx_dose	7	CENPX	chr17:CENPX:t:82019381	17:82019381-82019640:-	Ris dose 25mM	3	0.277	0.239	0.316	151	546	0.199;0.263;0.371
chx_dose	7	CENPX	chr17:CENPX:t:82019381	17:82019381-82019640:-	CHX dose 1ug/mL	3	0.331	0.276	0.39	91	275	0.371;0.358;0.239
chx_dose	7	CENPX	chr17:CENPX:t:82019381	17:82019381-82019640:-	CHX dose 50ug/mL	3	0.523	0.446	0.599	91	174	0.462;0.580;0.525
chx_dose	7	CENPX	chr17:CENPX:t:82019381	17:82019381-82019640:-	CADM1 1nM	3	0.29	0.254	0.329	170	586	0.237;0.308;0.338
chx_dose	7	CENPX	chr17:CENPX:t:82019381	17:82019381-82019640:-	CADM1 100nM	3	0.274	0.233	0.317	122	446	0.262;0.352;0.215
chx_dose	8	ENSG00000233461	chr1:ENSG00000233461:t:231522637	1:231522637-231527337:-	Hek control	3	0.524	0.478	0.57	247	471	0.612;0.523;0.437
chx_dose	8	ENSG00000233461	chr1:ENSG00000233461:t:231522637	1:231522637-231527337:-	Ris dose 25mM	3	0.633	0.583	0.682	240	379	0.562;0.588;0.800
chx_dose	8	ENSG00000233461	chr1:ENSG00000233461:t:231522637	1:231522637-231527337:-	CHX dose 1ug/mL	3	0.609	0.566	0.651	319	524	0.554;0.641;0.610
chx_dose	8	ENSG00000233461	chr1:ENSG00000233461:t:231522637	1:231522637-231527337:-	CHX dose 50ug/mL	3	0.746	0.707	0.783	394	528	0.779;0.718;0.747
chx_dose	8	ENSG00000233461	chr1:ENSG00000233461:t:231522637	1:231522637-231527337:-	CADM1 1nM	3	0.67	0.626	0.712	323	482	0.646;0.681;0.688
chx_dose	8	ENSG00000233461	chr1:ENSG00000233461:t:231522637	1:231522637-231527337:-	CADM1 100nM	3	0.604	0.561	0.646	319	528	0.706;0.450;0.622
chx_dose	9	TXNL4A	chr18:TXNL4A:t:79973856	18:79973856-79977597:-	Hek control	3	0.549	0.516	0.582	494	900	0.544;0.495;0.602
chx_dose	9	TXNL4A	chr18:TXNL4A:t:79973856	18:79973856-79977597:-	Ris dose 25mM	3	0.429	0.395	0.465	340	792	0.415;0.434;0.440
chx_dose	9	TXNL4A	chr18:TXNL4A:t:79973856	18:79973856-79977597:-	CHX dose 1ug/mL	3	0.694	0.644	0.74	258	372	0.603;0.782;0.723
chx_dose	9	TXNL4A	chr18:TXNL4A:t:79973856	18:79973856-79977597:-	CHX dose 50ug/mL	3	0.769	0.721	0.814	257	334	0.775;0.719;0.820
chx_dose	9	TXNL4A	chr18:TXNL4A:t:79973856	18:79973856-79977597:-	CADM1 1nM	3	0.601	0.564	0.637	429	714	0.653;0.561;0.598
chx_dose	9	TXNL4A	chr18:TXNL4A:t:79973856	18:79973856-79977597:-	CADM1 100nM	3	0.628	0.59	0.666	404	643	0.598;0.620;0.662
chx_dose	10	USF2	chr19:USF2:t:35270446	19:35270003-35270446:+	Hek control	3	0.536	0.498	0.574	372	694	0.595;0.540;0.485
chx_dose	10	USF2	chr19:USF2:t:35270446	19:35270003-35270446:+	Ris dose 25mM	3	0.589	0.545	0.633	294	499	0.593;0.500;0.640
chx_dose	10	USF2	chr19:USF2:t:35270446	19:35270003-35270446:+	CHX dose 1ug/mL	3	0.633	0.579	0.685	209	330	0.605;0.587;0.684
chx_dose	10	USF2	chr19:USF2:t:35270446	19:35270003-35270446:+	CHX dose 50ug/mL	3	0.753	0.7	0.802	220	292	0.846;0.821;0.680
chx_dose	10	USF2	chr19:USF2:t:35270446	19:35270003-35270446:+	CADM1 1nM	3	0.548	0.501	0.595	249	454	0.706;0.475;0.477
chx_dose	10	USF2	chr19:USF2:t:35270446	19:35270003-35270446:+	CADM1 100nM	3	0.396	0.351	0.444	176	444	0.405;0.280;0.511
chx_high	1	AKAP8L	chr19:AKAP8L:s:15399301	19:15398766-15399301:-	Hek control	3	0.321	0.257	0.392	63	196	0.262;0.327;0.366
chx_high	1	AKAP8L	chr19:AKAP8L:s:15399301	19:15398766-15399301:-	Ris dose 25mM	3	0.181	0.127	0.247	31	171	0.270;0.244;0.112
chx_high	1	AKAP8L	chr19:AKAP8L:s:15399301	19:15398766-15399301:-	CHX dose 1ug/mL	3	0.459	0.39	0.529	96	209	0.484;0.533;0.388
chx_high	1	AKAP8L	chr19:AKAP8L:s:15399301	19:15398766-15399301:-	CHX dose 50ug/mL	3	0.781	0.738	0.82	324	415	0.784;0.806;0.763
chx_high	1	AKAP8L	chr19:AKAP8L:s:15399301	19:15398766-15399301:-	CADM1 1nM	3	0.225	0.17	0.288	47	209	0.242;0.100;0.333
chx_high	1	AKAP8L	chr19:AKAP8L:s:15399301	19:15398766-15399301:-	CADM1 100nM	3	0.222	0.164	0.29	40	180	0.179;0.159;0.328
chx_high	2	CLASRP	chr19:CLASRP:t:45068419	19:45068058-45068419:+	Hek control	3	0.249	0.217	0.284	167	670	0.284;0.282;0.205
chx_high	2	CLASRP	chr19:CLASRP:t:45068419	19:45068058-45068419:+	Ris dose 25mM	3	0.282	0.245	0.322	157	556	0.380;0.181;0.264
chx_high	2	CLASRP	chr19:CLASRP:t:45068419	19:45068058-45068419:+	CHX dose 1ug/mL	3	0.422	0.383	0.462	261	618	0.440;0.475;0.354
chx_high	2	CLASRP	chr19:CLASRP:t:45068419	19:45068058-45068419:+	CHX dose 50ug/mL	3	0.706	0.681	0.73	964	1366	0.710;0.758;0.667
chx_high	2	CLASRP	chr19:CLASRP:t:45068419	19:45068058-45068419:+	CADM1 1nM	3	0.323	0.282	0.365	163	505	0.293;0.319;0.364
chx_high	2	CLASRP	chr19:CLASRP:t:45068419	19:45068058-45068419:+	CADM1 100nM	3	0.347	0.305	0.392	165	475	0.461;0.335;0.286
chx_high	3	EIF3C	chr16:EIF3C:t:28723163	16:28721032-28723163:+	Hek control	3	0.084	0.065	0.105	67	800	0.026;0.140;0.091
chx_high	3	EIF3C	chr16:EIF3C:t:28723163	16:28721032-28723163:+	Ris dose 25mM	3	0.092	0.067	0.123	41	444	0.116;0.082;0.079
chx_high	3	EIF3C	chr16:EIF3C:t:28723163	16:28721032-28723163:+	CHX dose 1ug/mL	3	0.081	0.061	0.105	52	644	0.011;0.027;0.204
chx_high	3	EIF3C	chr16:EIF3C:t:28723163	16:28721032-28723163:+	CHX dose 50ug/mL	3	0.477	0.438	0.517	307	643	0.448;0.421;0.544
chx_high	3	EIF3C	chr16:EIF3C:t:28723163	16:28721032-28723163:+	CADM1 1nM	3	0.049	0.035	0.066	39	796	0.000;0.038;0.123
chx_high	3	EIF3C	chr16:EIF3C:t:28723163	16:28721032-28723163:+	CADM1 100nM	3	0.078	0.061	0.099	64	818	0.072;0.125;0.038
chx_high	4	SNRPA1	chr15:SNRPA1:t:101285801	15:101285801-101286907:-	Hek control	3	0.036	0.025	0.052	29	796	0.022;0.039;0.045
chx_high	4	SNRPA1	chr15:SNRPA1:t:101285801	15:101285801-101286907:-	Ris dose 25mM	3	0.036	0.022	0.056	19	526	0.065;0.000;0.029
chx_high	4	SNRPA1	chr15:SNRPA1:t:101285801	15:101285801-101286907:-	CHX dose 1ug/mL	3	0.185	0.16	0.213	156	841	0.172;0.195;0.185
chx_high	4	SNRPA1	chr15:SNRPA1:t:101285801	15:101285801-101286907:-	CHX dose 50ug/mL	3	0.205	0.177	0.235	160	782	0.189;0.208;0.215
chx_high	4	SNRPA1	chr15:SNRPA1:t:101285801	15:101285801-101286907:-	CADM1 1nM	3	0.016	0.007	0.03	9	558	0.052;0.000;0.000
chx_high	4	SNRPA1	chr15:SNRPA1:t:101285801	15:101285801-101286907:-	CADM1 100nM	3	0.043	0.028	0.062	25	586	0.023;0.040;0.066
chx_high	5	DEAF1	chr11:DEAF1:t:644654	11:644654-646326:-	Hek control	3	0.067	0.052	0.085	62	921	0.062;0.075;0.063
chx_high	5	DEAF1	chr11:DEAF1:t:644654	11:644654-646326:-	Ris dose 25mM	3	0.061	0.046	0.079	53	865	0.041;0.054;0.086
chx_high	5	DEAF1	chr11:DEAF1:t:644654	11:644654-646326:-	CHX dose 1ug/mL	3	0.102	0.073	0.137	39	383	0.098;0.071;0.173
chx_high	5	DEAF1	chr11:DEAF1:t:644654	11:644654-646326:-	CHX dose 50ug/mL	3	0.219	0.181	0.261	94	429	0.229;0.214;0.218
chx_high	5	DEAF1	chr11:DEAF1:t:644654	11:644654-646326:-	CADM1 1nM	3	0.094	0.074	0.118	68	723	0.043;0.094;0.160
chx_high	5	DEAF1	chr11:DEAF1:t:644654	11:644654-646326:-	CADM1 100nM	3	0.086	0.065	0.111	52	606	0.042;0.087;0.120
chx_high	6	DDX39A	chr19:DDX39A:t:14410334	19:14410334-14410547:-	Hek control	3	0.014	0.007	0.023	13	953	0.025;0.000;0.023
chx_high	6	DDX39A	chr19:DDX39A:t:14410334	19:14410334-14410547:-	Ris dose 25mM	3	0.04	0.028	0.056	35	870	0.035;0.039;0.047
chx_high	6	DDX39A	chr19:DDX39A:t:14410334	19:14410334-14410547:-	CHX dose 1ug/mL	3	0.068	0.045	0.097	27	400	0.000;0.025;0.157
chx_high	6	DDX39A	chr19:DDX39A:t:14410334	19:14410334-14410547:-	CHX dose 50ug/mL	3	0.16	0.132	0.192	99	618	0.168;0.148;0.162
chx_high	6	DDX39A	chr19:DDX39A:t:14410334	19:14410334-14410547:-	CADM1 1nM	3	0.007	0.002	0.017	5	673	0.000;0.000;0.022
chx_high	6	DDX39A	chr19:DDX39A:t:14410334	19:14410334-14410547:-	CADM1 100nM	3	0.03	0.02	0.045	24	792	0.005;0.018;0.054
chx_high	7	RPL8	chr8:RPL8:t:144791307	8:144791307-144791849:-	Hek control	3	0.077	0.063	0.093	98	1271	0.108;0.053;0.085
chx_high	7	RPL8	chr8:RPL8:t:144791307	8:144791307-144791849:-	Ris dose 25mM	3	0.145	0.124	0.166	163	1128	0.113;0.196;0.136
chx_high	7	RPL8	chr8:RPL8:t:144791307	8:144791307-144791849:-	CHX dose 1ug/mL	3	0.408	0.335	0.484	73	179	0.305;0.587;0.316
chx_high	7	RPL8	chr8:RPL8:t:144791307	8:144791307-144791849:-	CHX dose 50ug/mL	3	0.438	0.356	0.523	64	146	0.276;0.316;0.633
chx_high	7	RPL8	chr8:RPL8:t:144791307	8:144791307-144791849:-	CADM1 1nM	3	0.215	0.183	0.249	136	633	0.209;0.199;0.247
chx_high	7	RPL8	chr8:RPL8:t:144791307	8:144791307-144791849:-	CADM1 100nM	3	0.222	0.189	0.258	128	577	0.126;0.222;0.306
chx_high	8	TMEM208	chr16:TMEM208:t:67228796	16:67228657-67228796:+	Hek control	3	0.047	0.027	0.075	16	343	0.034;0.103;0.027
chx_high	8	TMEM208	chr16:TMEM208:t:67228796	16:67228657-67228796:+	Ris dose 25mM	3	0.048	0.029	0.072	20	421	0.028;0.085;0.041
chx_high	8	TMEM208	chr16:TMEM208:t:67228796	16:67228657-67228796:+	CHX dose 1ug/mL	3	0.244	0.187	0.308	51	209	0.174;0.304;0.211
chx_high	8	TMEM208	chr16:TMEM208:t:67228796	16:67228657-67228796:+	CHX dose 50ug/mL	3	0.393	0.337	0.45	119	303	0.216;0.206;0.624
chx_high	8	TMEM208	chr16:TMEM208:t:67228796	16:67228657-67228796:+	CADM1 1nM	3	0.048	0.028	0.076	16	335	0.065;0.000;0.078
chx_high	8	TMEM208	chr16:TMEM208:t:67228796	16:67228657-67228796:+	CADM1 100nM	3	0.031	0.016	0.052	13	423	0.050;0.043;0.000
chx_high	9	AKAP8	chr19:AKAP8:t:15368322	19:15368322-15369066:-	Hek control	3	0.054	0.032	0.085	17	314	0.091;0.023;0.060
chx_high	9	AKAP8	chr19:AKAP8:t:15368322	19:15368322-15369066:-	Ris dose 25mM	3	0.161	0.117	0.214	39	242	0.117;0.219;0.158
chx_high	9	AKAP8	chr19:AKAP8:t:15368322	19:15368322-15369066:-	CHX dose 1ug/mL	3	0.233	0.187	0.285	70	300	0.258;0.264;0.190
chx_high	9	AKAP8	chr19:AKAP8:t:15368322	19:15368322-15369066:-	CHX dose 50ug/mL	3	0.399	0.35	0.45	153	383	0.329;0.471;0.375
chx_high	9	AKAP8	chr19:AKAP8:t:15368322	19:15368322-15369066:-	CADM1 1nM	3	0.107	0.077	0.145	37	345	0.121;0.070;0.169
chx_high	9	AKAP8	chr19:AKAP8:t:15368322	19:15368322-15369066:-	CADM1 100nM	3	0.099	0.066	0.142	26	262	0.309;0.022;0.060
chx_high	10	NOP56	chr20:NOP56:t:2656400	20:2656034-2656400:+	Hek control	3	0.28	0.237	0.325	118	422	0.198;0.368;0.257
chx_high	10	NOP56	chr20:NOP56:t:2656400	20:2656034-2656400:+	Ris dose 25mM	3	0.174	0.134	0.221	54	310	0.214;0.306;0.089
chx_high	10	NOP56	chr20:NOP56:t:2656400	20:2656034-2656400:+	CHX dose 1ug/mL	3	0.831	0.788	0.869	296	356	0.806;0.867;0.834
chx_high	10	NOP56	chr20:NOP56:t:2656400	20:2656034-2656400:+	CHX dose 50ug/mL	3	0.622	0.568	0.674	209	336	0.620;0.721;0.518
chx_high	10	NOP56	chr20:NOP56:t:2656400	20:2656034-2656400:+	CADM1 1nM	3	0.32	0.276	0.366	140	438	0.310;0.418;0.239
chx_high	10	NOP56	chr20:NOP56:t:2656400	20:2656034-2656400:+	CADM1 100nM	3	0.304	0.259	0.352	121	398	0.296;0.231;0.442
ris_low	1	SRRT	chr7:SRRT:s:100885040	7:100885040-100885215:+	Hek control	3	0.286	0.245	0.329	132	462	0.273;0.320;0.256
ris_low	1	SRRT	chr7:SRRT:s:100885040	7:100885040-100885215:+	Ris dose 25mM	3	0.602	0.551	0.651	234	389	0.537;0.605;0.642
ris_low	1	SRRT	chr7:SRRT:s:100885040	7:100885040-100885215:+	CHX dose 1ug/mL	3	0.441	0.378	0.506	109	247	0.446;0.494;0.396
ris_low	1	SRRT	chr7:SRRT:s:100885040	7:100885040-100885215:+	CHX dose 50ug/mL	3	0.432	0.382	0.484	166	384	0.347;0.580;0.342
ris_low	1	SRRT	chr7:SRRT:s:100885040	7:100885040-100885215:+	CADM1 1nM	3	0.48	0.428	0.532	180	375	0.404;0.558;0.491
ris_low	1	SRRT	chr7:SRRT:s:100885040	7:100885040-100885215:+	CADM1 100nM	3	0.474	0.431	0.517	252	532	0.426;0.461;0.525
ris_low	2	NONO	chrX:NONO:t:71290628	X:71283721-71290628:+	Hek control	3	0.151	0.118	0.19	61	404	0.198;0.112;0.161
ris_low	2	NONO	chrX:NONO:t:71290628	X:71283721-71290628:+	Ris dose 25mM	3	0.386	0.32	0.456	80	207	0.293;0.371;0.468
ris_low	2	NONO	chrX:NONO:t:71290628	X:71283721-71290628:+	CHX dose 1ug/mL	3	0.088	0.053	0.135	18	205	0.062;0.013;0.273
ris_low	2	NONO	chrX:NONO:t:71290628	X:71283721-71290628:+	CHX dose 50ug/mL	3	0.227	0.138	0.338	17	75	0.263;0.000;0.375
ris_low	2	NONO	chrX:NONO:t:71290628	X:71283721-71290628:+	CADM1 1nM	3	0.239	0.192	0.29	74	310	0.308;0.167;0.234
ris_low	2	NONO	chrX:NONO:t:71290628	X:71283721-71290628:+	CADM1 100nM	3	0.14	0.103	0.184	42	300	0.062;0.200;0.179
ris_low	3	GSPT1	chr16:GSPT1:s:11897839	16:11896782-11897839:-	Hek control	3	0.083	0.057	0.116	30	362	0.029;0.048;0.158
