chrom	intron_start_1based	intron_end	length	control_1	control_2	control_3	chx_high_1	chx_high_2	chx_high_3
6	35886406	36836905	950500	0	0	1	0	0	0
6	35925872	36602633	676762	0	0	1	0	0	0
6	36243679	36596913	353235	0	4	0	0	0	0
6	36322084	36596916	274833	0	0	0	3	0	0
6	36490577	36610222	119646	0	0	3	0	0	0
6	36490589	37322279	831691	0	0	0	0	0	2
6	36509631	36602639	93009	1	0	0	0	0	0
6	36522364	36598921	76558	0	3	0	0	0	0
6	36581146	37354022	772877	4	0	0	0	0	0
6	36594478	36596758	2281	0	0	0	0	2	0
6	36594482	36596760	2279	51	51	66	44	19	21
6	36596782	36596857	76	0	0	0	0	0	5
6	36596810	36596919	110	0	0	0	14	0	0
6	36596839	36598874	2036	4	0	0	0	0	0
6	36596967	36598848	1882	0	0	4	0	0	0
6	36596969	36598848	1880	172	168	98	205	143	272
6	36598978	36600004	1027	0	0	0	0	0	2
6	36598982	36601150	2169	0	0	3	0	0	0
6	36598982	36601151	2170	0	3	4	0	0	6
6	36598984	36599820	837	1	4	4	6	23	9
6	36598984	36599822	839	0	0	0	3	0	0
6	36598984	36600111	1128	0	0	0	0	5	0
6	36598984	36600207	1224	0	0	2	0	0	0
6	36598984	36601151	2168	315	366	230	484	302	485
6	36600277	36601151	875	0	0	2	1	0	0
6	36601176	37222387	621212	0	0	0	0	0	5
6	36601190	36601707	518	0	1	0	0	0	0
6	36601191	36601707	517	286	337	215	440	310	443
6	36601193	36601710	518	0	0	0	0	0	1
6	36601193	36601711	519	0	7	0	0	0	0
6	36601791	36601961	171	0	0	0	0	2	0
6	36601795	36601961	167	122	147	72	217	163	187
6	36602019	36602051	33	0	0	0	0	8	0
6	36605504	37452669	847166	0	0	0	1	0	0
