chrom	intron_start_1based	intron_end	length	control	chx_low	chx_high
11	93870	921413	827544	2	0	0
11	101874	759017	657144	0	4	0
11	105492	644239	538748	2	0	0
11	125921	810312	684392	6	0	0
11	126411	1068443	942033	0	3	0
11	152181	768475	616295	0	0	1
11	181083	717879	536797	0	0	2
11	193605	811631	618027	1	0	0
11	200393	812534	612142	1	0	0
11	210682	809975	599294	73	70	58
11	211370	764369	553000	0	7	0
11	212290	809975	597686	5	0	0
11	212291	809975	597685	0	1	0
11	212943	733014	520072	5	0	0
11	216116	809975	593860	6	0	0
11	226360	809964	583605	0	3	0
11	231794	809968	578175	0	1	0
11	236143	810297	574155	0	6	0
11	250112	811613	561502	1	0	0
11	252984	744840	491857	0	4	0
11	253100	809976	556877	0	0	1
11	261848	1010654	748807	1	0	0
11	290618	811616	520999	4	0	0
11	292306	925892	633587	5	0	0
11	293750	764370	470621	3	0	0
11	294076	1010632	716557	0	0	1
11	294340	1085405	791066	0	3	0
11	298940	812534	513595	0	2	0
11	298942	812537	513596	2	4	1
11	300073	810009	509937	0	0	8
11	319406	812534	493129	0	2	0
11	320771	810265	489495	0	4	0
11	321032	809971	488940	0	1	0
11	330504	810270	479767	0	1	0
11	333996	809975	475980	0	6	0
11	338028	767221	429194	0	0	1
11	338029	767221	429193	0	0	1
11	338030	767221	429192	0	0	2
11	350254	810271	460018	0	1	0
11	351550	777621	426072	0	6	0
11	351552	809976	458425	1	0	2
11	356163	811620	455458	2	0	0
11	367588	809975	442388	18	72	6
11	370064	810271	440208	3	0	0
11	374629	810187	435559	0	7	0
11	375287	809970	434684	4	0	0
11	380529	1010592	630064	0	0	1
11	386319	809975	423657	0	0	4
11	394293	812579	418287	0	0	1
11	395438	809982	414545	0	0	4
11	395483	812539	417057	2	0	0
11	406430	1288654	882225	0	1	0
11	411852	763795	351944	0	0	1
11	411852	810261	398410	0	1	0
11	428333	812532	384200	0	0	3
11	428447	1352002	923556	0	0	2
11	429866	811616	381751	3	0	0
11	437060	811613	374554	4	0	0
11	452383	1010547	558165	4	0	0
11	454780	768644	313865	0	0	1
11	456179	775976	319798	0	0	2
11	459966	809976	350011	1	0	3
11	467081	838279	371199	0	1	0
11	470514	810306	339793	4	0	0
11	470515	810306	339792	3	0	0
11	473778	809976	336199	0	6	0
11	488477	810023	321547	3	0	0
11	490427	810304	319878	2	0	0
11	491399	666874	175476	1	0	0
11	494659	1451406	956748	1	0	0
11	494751	706083	211333	3	0	0
11	494925	724641	229717	2	0	0
11	497993	1181752	683760	2	0	0
11	503662	810271	306610	1	1	0
11	506278	809968	303691	0	7	0
11	510003	812538	302536	0	0	1
11	511355	811628	300274	2	0	3
11	518782	810236	291455	3	0	0
11	528940	812603	283664	0	6	0
11	532437	1123122	590686	2	5	0
11	532650	1218777	686128	1	0	0
11	532708	1455298	922591	0	0	1
11	532736	1272368	739633	0	6	0
11	532903	791212	258310	4	0	0
11	533513	1197560	664048	0	0	10
11	533604	1024383	490780	0	0	7
11	533819	771279	237461	0	4	0
11	533900	911757	377858	3	0	0
11	534328	658801	124474	7	0	0
11	534336	865641	331306	0	0	3
11	536034	812533	276500	2	0	0
11	537812	809983	272172	0	2	0
11	538382	764325	225944	0	0	1
11	550972	811611	260640	0	0	2
11	552088	809980	257893	8	0	3
11	554084	809964	255881	0	5	0
11	555794	809995	254202	0	0	2
11	559085	747441	188357	0	1	0
11	559086	747447	188362	0	7	0
11	560814	812534	251721	0	2	0
11	563344	781371	218028	1	0	0
11	565949	1542650	976702	5	0	0
11	574891	1235793	660903	1	0	0
11	575902	809958	234057	5	0	0
11	576083	810247	234165	4	0	0
11	577229	812547	235319	0	0	1
11	582004	755889	173886	4	0	0
11	582016	650320	68305	0	1	0
11	582537	809968	227432	2	0	0
11	583845	809995	226151	0	0	3
11	590346	811616	221271	4	0	0
11	591933	809975	218043	2	0	0
11	597313	763799	166487	0	6	0
11	605725	1351785	746061	0	1	0
11	606396	836301	229906	1	0	0
11	608245	810264	202020	0	3	0
11	608773	698257	89485	0	1	0
11	610116	809975	199860	1	0	0
11	615336	747429	132094	0	3	0
11	617143	810324	193182	5	22	0
11	617143	810325	193183	0	4	0
11	617144	810323	193180	0	0	3
11	619007	810271	191265	1	0	0
11	619182	810306	191125	7	4	0
11	622438	840203	217766	1	0	0
11	623851	811614	187764	1	0	0
11	626178	810029	183852	3	0	0
11	626432	763869	137438	0	3	0
11	626448	763831	137384	0	0	2
11	627475	811638	184164	2	0	0
11	628873	810265	181393	3	3	12
11	637400	866979	229580	0	2	0
11	638738	809964	171227	4	0	0
11	639335	809968	170634	4	0	0
11	639386	758959	119574	0	2	0
11	640350	811596	171247	0	0	1
11	640350	812534	172185	0	1	1
11	640353	812538	172186	0	6	2
11	640357	810333	169977	5	0	0
11	644529	818898	174370	0	1	0
11	644646	1427805	783160	3	0	0
11	644655	646127	1473	1	0	0
11	644655	646284	1630	17	21	0
11	644655	646326	1672	43	39	87
11	644655	648427	3773	0	3	0
11	644655	649900	5246	1	0	0
11	644655	651161	6507	6	0	0
11	644655	653961	9307	552	300	326
11	646522	746661	100140	3	0	0
11	646556	653961	7406	65	35	82
