chrom	intron_start_1based	intron_end	length	control	chx_low	chx_high
19	14458416	15380399	921984	1	0	0
19	14470590	15450025	979436	0	1	0
19	14528272	15385934	857663	0	0	3
19	14566172	15441260	875089	3	0	0
19	14566186	15464254	898069	2	0	0
19	14571902	15457769	885868	0	0	3
19	14572062	15503938	931877	0	4	0
19	14572070	15428043	855974	1	0	0
19	14763621	15380403	616783	0	0	3
19	14764050	15401148	637099	0	1	0
19	14841183	15400342	559160	0	5	0
19	14931523	15389491	457969	2	0	0
19	15115161	15425502	310342	6	0	0
19	15115176	15402034	286859	2	0	0
19	15119254	15448427	329174	0	0	1
19	15119280	15569115	449836	0	1	0
19	15119470	15439265	319796	0	0	2
19	15122768	15927368	804601	0	0	1
19	15129665	16086439	956775	0	1	0
19	15160949	16081919	920971	0	1	2
19	15182027	16132895	950869	0	5	0
19	15200233	16185492	985260	0	5	0
19	15225524	16191830	966307	5	0	0
19	15236126	15451727	215602	0	0	2
19	15238340	15450043	211704	1	0	0
19	15250035	16185438	935404	0	2	0
19	15252661	16111897	859237	0	2	0
19	15256204	15582937	326734	1	0	0
19	15256243	15403078	146836	0	1	0
19	15256252	15825924	569673	0	0	1
19	15257052	16026527	769476	0	0	6
19	15263435	16227870	964436	0	1	0
19	15264368	16191680	927313	0	2	0
19	15271560	16258511	986952	0	1	0
19	15273863	15886196	612334	0	1	0
19	15302382	16132325	829944	0	5	0
19	15302456	15388700	86245	1	0	0
19	15303426	16190519	887094	0	2	0
19	15308155	16081918	773764	0	1	0
19	15355960	15442492	86533	0	0	5
19	15374020	15620316	246297	0	0	3
19	15374031	15450036	76006	1	0	0
19	15380208	15380278	71	5	0	0
19	15380233	15380280	48	0	0	1
19	15380253	15380297	45	0	0	7
19	15380256	15380297	42	1	0	0
19	15380267	15380335	69	0	0	5
19	15380310	15380369	60	0	0	5
19	15380344	15399331	18988	0	2	0
19	15380346	15380384	39	0	3	0
19	15380347	15380516	170	0	4	0
19	15380384	15438965	58582	0	3	0
19	15380431	15380516	86	420	335	922
19	15380434	15380520	87	1	0	0
19	15380598	15397607	17010	3	0	0
19	15380613	15381994	1382	0	7	0
19	15380613	15397149	16537	364	314	845
19	15384427	16357439	973013	0	5	0
19	15396981	15397105	125	0	0	3
19	15397174	15397535	362	1	0	0
19	15397189	15397520	332	0	0	4
19	15397203	15397519	317	0	0	5
19	15397204	15397519	316	0	0	8
19	15397281	15397519	239	74	84	310
19	15397281	15397521	241	7	0	0
19	15397321	15397519	199	8	1	7
19	15397626	15397713	88	124	231	340
19	15397732	15399360	1629	0	2	0
19	15397743	15399371	1629	2	0	0
19	15397856	15398629	774	24	57	168
19	15397856	15399301	1446	89	90	73
19	15397886	15398629	744	0	0	4
19	15398704	15399301	598	6	18	15
19	15398712	15399375	664	0	0	2
19	15398767	15399301	535	45	94	311
19	15399378	15400299	922	0	0	1
19	15399388	15400319	932	2	0	0
19	15399411	15399831	421	0	0	5
19	15399411	15400294	884	305	249	381
19	15399892	15400294	403	0	0	5
19	15400310	15515085	114776	0	0	3
19	15400337	15400844	508	2	0	0
19	15400344	15401186	843	6	0	0
19	15400349	15400946	598	0	2	0
19	15400356	15400791	436	0	0	2
19	15400358	15400793	436	3	0	18
19	15400359	15400793	435	799	557	1156
19	15400359	15400796	438	0	1	0
19	15400805	15400846	42	0	0	3
19	15400807	15400846	40	2	0	0
19	15400826	15400858	33	0	4	0
19	15400836	15400930	95	2	0	0
19	15400855	15400937	83	2	0	0
19	15400862	16305404	904543	4	0	0
19	15400863	15400945	83	0	1	0
19	15400863	15404013	3151	3	0	0
19	15400864	15400946	83	0	0	9
19	15400864	15400947	84	7	0	1
19	15400865	15400946	82	1016	840	1745
19	15400865	15400947	83	2	0	0
19	15400865	15400948	84	0	2	4
19	15400865	15400961	97	0	0	3
19	15400865	15401149	285	0	0	5
19	15400866	15400948	83	0	1	0
19	15400866	15400949	84	0	0	2
19	15400997	15401292	296	2	0	0
19	15401004	15401573	570	4	0	0
19	15401010	15410560	9551	3	0	6
19	15401014	15401570	557	0	0	7
19	15401035	15440478	39444	1	0	8
19	15401037	15440478	39442	0	0	5
19	15401038	15401281	244	0	0	7
19	15401044	15401149	106	874	810	1330
19	15401157	15401279	123	0	6	0
19	15401164	15401281	118	0	0	8
19	15401170	15401280	111	0	2	0
19	15401171	15404017	2847	0	0	6
19	15401200	15403602	2403	5	0	0
19	15401276	15403489	2214	0	2	0
19	15401333	15403573	2241	0	0	7
19	15401442	15401466	25	3	0	0
19	15401604	15403474	1871	58	13	60
19	15403528	15403571	44	0	0	9
19	15403556	15403652	97	0	1	0
19	15403556	15403657	102	0	2	7
19	15403716	15404009	294	4	11	16
19	15404043	15410519	6477	3	15	27
19	15410594	15418910	8317	0	0	1
19	15410595	15418910	8316	13	27	36
