contrast	rank	junction_id	gene	lsv	side	anchor	junction	chrom	start	end	strand	mean_lsv_total	psi_ctl	psi_mid	psi_treated	dpsi	dpsi_dedup	slope	test	p	padj	consistent	hit	psi_Hek_control_1	psi_Hek_control_2	psi_Hek_control_3	psi_CADM1_100nM-1	psi_CADM1_100nM-2	psi_CADM1_100nM-3	n_Hek_control_1	n_Hek_control_2	n_Hek_control_3	n_CADM1_100nM-1	n_CADM1_100nM-2	n_CADM1_100nM-3
cadm1_high	1	chr16:TNRC6A:s:24729846|16:24729846-24750725:+	TNRC6A	chr16:TNRC6A:s:24729846	s	24729846	16:24729846-24750725:+	16	24729846	24750725	+	126.3	0.208		0.531	0.323	0.3		welch	0.026597331923862856	0.7960703231862641	1	0	0.337	0.156	0.15	0.632	0.473	0.43	92	96	120	185	186	79
cadm1_high	2	chr1:POLR3GL:s:145975436|1:145975436-145977083:+	POLR3GL	chr1:POLR3GL:s:145975436	s	145975436	1:145975436-145977083:+	1	145975436	145977083	+	111.5	0.611		0.823	0.212	0.137		welch	0.09558489219752198	0.9655019792943904	0	0	0.534	0.558	0.769	0.829	0.971	0.729	133	129	108	111	70	118
cadm1_high	3	chrX:MECP2:s:154097603|X:154092307-154097603:-	MECP2	chrX:MECP2:s:154097603	s	154097603	X:154092307-154097603:-	X	154092307	154097603	-	160.0	0.484		0.681	0.198	0.232		welch	0.11560142149451204	0.9655019792943904	0	0	0.454	0.627	0.366	0.675	0.733	0.611	130	161	164	212	180	113
cadm1_high	4	chr16:MRPL28:t:370225|16:370225-370498:-	MRPL28	chr16:MRPL28:t:370225	t	370225	16:370225-370498:-	16	370225	370498	-	110.3	0.525		0.716	0.191	0.107		welch	0.027348651541997275	0.7960703231862641	1	0	0.558	0.581	0.461	0.736	0.674	0.7	52	160	165	159	46	80
cadm1_high	5	chr7:SRRT:s:100885040|7:100885040-100885215:+	SRRT	chr7:SRRT:s:100885040	s	100885040	7:100885040-100885215:+	7	100885040	100885215	+	165.7	0.286		0.474	0.188	0.173		welch	0.00841923168472128	0.7113287403644318	1	0	0.273	0.32	0.256	0.426	0.461	0.525	121	181	160	136	219	177
cadm1_high	6	chr3:UQCC5:t:52540423|3:52536906-52540423:+	UQCC5	chr3:UQCC5:t:52540423	t	52540423	3:52536906-52540423:+	3	52536906	52540423	+	114.8	0.47		0.65	0.18	0.162		welch	0.25634795469202876	0.9655019792943904	0	0	0.435	0.536	0.39	0.614	0.447	0.857	62	181	123	101	103	119
cadm1_high	7	chr3:CNBP:t:129171538|3:129171538-129171654:-	CNBP	chr3:CNBP:t:129171538	t	129171538	3:129171538-129171654:-	3	129171538	129171654	-	141.3	0.612		0.791	0.179	0.167		welch	0.029206494406907344	0.7960703231862641	1	0	0.671	0.545	0.632	0.746	0.77	0.873	143	167	136	114	178	110
cadm1_high	8	chr1:NASP:s:45606591|1:45606591-45613168:+	NASP	chr1:NASP:s:45606591	s	45606591	1:45606591-45613168:+	1	45606591	45613168	+	140.0	0.616		0.791	0.176	0.091		welch	0.03970362054105212	0.8945461268301698	1	0	0.654	0.537	0.676	0.753	0.801	0.825	133	147	105	166	146	143
cadm1_high	9	chr1:RPL22:t:6197756|1:6197756-6199561:-	RPL22	chr1:RPL22:t:6197756	t	6197756	1:6197756-6199561:-	1	6197756	6199561	-	303.7	0.775		0.949	0.174	0.138		welch	0.13255905482716712	0.9655019792943904	1	0	0.92	0.686	0.728	0.953	0.975	0.926	311	331	323	212	280	365
cadm1_high	10	chr11:SF1:s:64766899|11:64766155-64766899:-	SF1	chr11:SF1:s:64766899	s	64766899	11:64766155-64766899:-	11	64766155	64766899	-	143.2	0.26		0.424	0.165	0.106		welch	0.09934249448209524	0.9655019792943904	1	0	0.339	0.158	0.296	0.425	0.422	0.427	118	146	152	120	180	143
cadm1_high		chr16:TNRC6A:t:24750725|16:24729846-24750725:+	TNRC6A	chr16:TNRC6A:t:24750725	t	24750725	16:24729846-24750725:+	16	24729846	24750725	+	121.2	0.224		0.542	0.318	0.297		welch	0.011526160144793988	0.7113287403644318	1	0	0.337	0.176	0.165	0.609	0.461	0.586	92	85	109	192	191	58
cadm1_high		chr17:NARF:t:82483715|17:82483304-82483715:+	NARF	chr17:NARF:t:82483715	t	82483715	17:82483304-82483715:+	17	82483304	82483715	+	113.5	0.169		0.333	0.164	0.185		welch	0.08173816638096575	0.9655019792943904	0	0	0.254	0.154	0.119	0.338	0.243	0.434	118	104	168	77	115	99
cadm1_high		chr12:TROAP:s:49324037|12:49324037-49324230:+	TROAP	chr12:TROAP:s:49324037	s	49324037	12:49324037-49324230:+	12	49324037	49324230	+	131.3	0.503		0.664	0.16	0.154		welch	0.02514691393859545	0.7960703231862641	1	0	0.455	0.493	0.562	0.66	0.64	0.684	110	217	128	97	100	136
cadm1_high		chrX:MECP2:t:154032557|X:154032557-154092183:-	MECP2	chrX:MECP2:t:154032557	t	154032557	X:154032557-154092183:-	X	154032557	154092183	-	170.5	0.482		0.642	0.16	0.187		welch	0.18189008176207372	0.9655019792943904	0	0	0.383	0.639	0.395	0.61	0.719	0.577	115	183	200	210	192	123
cadm1_high		chr9:NTMT1:t:129634053|9:129632865-129634053:+	NTMT1	chr9:NTMT1:t:129634053	t	129634053	9:129632865-129634053:+	9	129632865	129634053	+	115.0	0.641		0.796	0.155	0.121		welch	0.3272093947398656	0.9655019792943904	0	0	0.829	0.482	0.693	0.838	0.778	0.776	111	164	101	99	72	143
cadm1_high		chr19:TCF3:s:1615685|19:1612433-1615685:-	TCF3	chr19:TCF3:s:1615685	s	1615685	19:1612433-1615685:-	19	1612433	1615685	-	198.7	0.442		0.594	0.152	0.125		welch	0.1649517077656148	0.9655019792943904	1	0	0.279	0.55	0.446	0.641	0.559	0.566	179	258	233	209	177	136
cadm1_high		chr20:EIF6:s:35284175|20:35280118-35284175:-	EIF6	chr20:EIF6:s:35284175	s	35284175	20:35280118-35284175:-	20	35280118	35284175	-	111.7	0.206		0.357	0.151	0.18		welch	0.01633494198074499	0.7840772150757596	1	0	0.218	0.226	0.178	0.381	0.392	0.304	101	137	146	105	79	102
