chrom	intron_start_1based	intron_end	length	control	ris_low
14	30336712	31103864	767153	1	0
14	30340194	31116654	776461	0	1
14	30843877	31188237	344361	0	1
14	30843880	31188237	344358	0	1
14	30889794	30894912	5119	0	5
14	30895581	30895661	81	2	3
14	30912183	30935162	22980	3	0
14	30919107	30935162	16056	0	12
14	30929312	30935162	5851	5	15
14	30935305	30936494	1190	1	4
14	30936625	30947089	10465	6	3
14	30950945	30955619	4675	0	8
14	30955694	30956138	445	9	14
14	30956243	31025903	69661	51	88
14	30956243	31026771	70529	0	1
14	31025788	31066125	40338	12	30
14	31025788	31080572	54785	0	6
