contrast	rank	gene	hit	dpsi	padj	junction_id	lsv	lsv_members	ucsc_chrom	strand	junction_start_1based	junction_end	junction_position	lsv_start_1based	lsv_end	lsv_position	window_position	pad_bp
chx_dose	1	CLASRP	1	0.456	0.00596	chr19:CLASRP:t:45068419|19:45068058-45068419:+	chr19:CLASRP:t:45068419	4	chr19	+	45068059	45068419	chr19:45068059-45068419	45067595	45068419	chr19:45067595-45068419	chr19:45067095-45068919	500
chx_dose	2	EIF3C	1	0.394	0.088	chr16:EIF3C:t:28723163|16:28721032-28723163:+	chr16:EIF3C:t:28723163	2	chr16	+	28721033	28723163	chr16:28721033-28723163	28715435	28723163	chr16:28715435-28723163	chr16:28713890-28724708	1545
chx_dose	3	AKAP8	1	0.345	0.00692	chr19:AKAP8:t:15368322|19:15368322-15369066:-	chr19:AKAP8:t:15368322	2	chr19	-	15368323	15369066	chr19:15368323-15369066	15368323	15370145	chr19:15368323-15370145	chr19:15367823-15370645	500
chx_dose	4	HRAS	1	0.277	0.0922	chr11:HRAS:t:532755|11:532755-533276:-	chr11:HRAS:t:532755	2	chr11	-	532756	533276	chr11:532756-533276	532756	533452	chr11:532756-533452	chr11:532256-533952	500
chx_dose	5	PSMG4	1	0.273	0.00903	chr6:PSMG4:t:3267590|6:3264325-3267590:+	chr6:PSMG4:t:3267590	3	chr6	+	3264326	3267590	chr6:3264326-3267590	3259197	3267590	chr6:3259197-3267590	chr6:3257519-3269268	1678
chx_dose	6	SNHG29	1	0.247	0.0482	chr17:SNHG29:t:16440184|17:16439703-16440184:+	chr17:SNHG29:t:16440184	2	chr17	+	16439704	16440184	chr17:16439704-16440184	16439415	16440184	chr17:16439415-16440184	chr17:16438915-16440684	500
chx_dose	7	CENPX	1	0.239	0.0837	chr17:CENPX:t:82019381|17:82019381-82019640:-	chr17:CENPX:t:82019381	3	chr17	-	82019382	82019640	chr17:82019382-82019640	82019382	82019857	chr17:82019382-82019857	chr17:82018882-82020357	500
chx_dose	8	ENSG00000233461	1	0.222	0.0456	chr1:ENSG00000233461:t:231522637|1:231522637-231527337:-	chr1:ENSG00000233461:t:231522637	3	chr1	-	231522638	231527337	chr1:231522638-231527337	231522638	231528419	chr1:231522638-231528419	chr1:231521482-231529575	1156
chx_dose	9	TXNL4A	1	0.221	0.0661	chr18:TXNL4A:t:79973856|18:79973856-79977597:-	chr18:TXNL4A:t:79973856	4	chr18	-	79973857	79977597	chr18:79973857-79977597	79973857	79988239	chr18:79973857-79988239	chr18:79970981-79991115	2876
chx_dose	10	USF2	1	0.217	0.0482	chr19:USF2:t:35270446|19:35270003-35270446:+	chr19:USF2:t:35270446	2	chr19	+	35270004	35270446	chr19:35270004-35270446	35269700	35270446	chr19:35269700-35270446	chr19:35269200-35270946	500
chx_high	1	AKAP8L	1	0.459	0.0937	chr19:AKAP8L:s:15399301|19:15398766-15399301:-	chr19:AKAP8L:s:15399301	3	chr19	-	15398767	15399301	chr19:15398767-15399301	15397856	15399301	chr19:15397856-15399301	chr19:15397356-15399801	500
chx_high	2	CLASRP	1	0.456	0.0247	chr19:CLASRP:t:45068419|19:45068058-45068419:+	chr19:CLASRP:t:45068419	4	chr19	+	45068059	45068419	chr19:45068059-45068419	45067595	45068419	chr19:45067595-45068419	chr19:45067095-45068919	500
chx_high	3	EIF3C	1	0.394	0.0937	chr16:EIF3C:t:28723163|16:28721032-28723163:+	chr16:EIF3C:t:28723163	2	chr16	+	28721033	28723163	chr16:28721033-28723163	28715435	28723163	chr16:28715435-28723163	chr16:28713890-28724708	1545
