chrom	intron_start_1based	intron_end	length	control	ris_low
11	129348010	130069902	721893	2	0
11	129397763	130130082	732320	1	0
11	129414041	130396920	982880	0	3
11	129446814	130127822	681009	4	0
11	129451448	130420345	968898	3	0
11	129480374	130141506	661133	0	1
11	129800337	130141952	341616	0	7
11	129847312	130135662	288351	2	0
11	129968539	130129113	160575	6	0
11	129989220	130141520	152301	0	2
11	130068159	130069895	1737	21	29
11	130069925	130069975	51	0	3
11	130070038	130109428	39391	0	6
11	130070083	130109428	39346	583	616
11	130104689	130129088	24400	5	0
11	130109603	130110537	935	39	48
11	130110662	130120705	10044	56	20
11	130113569	130144380	30812	4	0
11	130120819	130121613	795	147	115
11	130121740	130121763	24	3	1
11	130121787	130122328	542	0	1
11	130121811	130122304	494	73	60
11	130122320	130126792	4473	0	2
11	130122395	130133659	11265	4	0
11	130122498	130135561	13064	3	0
11	130122514	130123611	1098	97	118
11	130122514	130126699	4186	44	33
11	130123780	130126699	2920	59	55
11	130123780	130126700	2921	0	3
11	130126759	130135592	8834	0	1
11	130126779	130129087	2309	0	2
11	130126831	130127293	463	0	2
11	130126831	130127765	935	226	138
11	130126831	130129047	2217	0	4
11	130127841	130129047	1207	291	279
11	130127841	130129049	1209	0	6
11	130129101	130130092	992	2	0
11	130129205	130130037	833	0	1
11	130129207	130130037	831	643	703
11	130129207	130130038	832	3	7
11	130129207	130133672	4466	0	4
11	130130167	130133628	3462	112	97
11	130130167	130133630	3464	1	0
11	130133729	130135562	1834	388	328
11	130133729	130140397	6669	14	0
11	130133733	130135567	1835	6	0
11	130135640	130140397	4758	1	0
11	130135716	130137255	1540	122	147
11	130135716	130137256	1541	5	0
11	130135716	130140397	4682	1201	1073
11	130137292	130140397	3106	95	96
11	130137300	130140406	3107	7	3
11	130140458	130141497	1040	0	3
11	130140477	130141521	1045	0	2
11	130140484	130141497	1014	514	392
11	130141571	130141917	347	2	0
11	130141573	130141918	346	672	708
11	130142059	130143501	1443	0	2
11	130142072	130143345	1274	3	0
11	130142074	130143346	1273	1	0
11	130142075	130143346	1272	804	781
11	130143387	130143434	48	0	1
11	130144522	130144661	140	0	5
