comparison	side	rank	gene_id	symbol	mean_log2_reference	mean_log2_truseq	deviation_log2	mean_log2_expression	score_dev_x_expr	mrna_length_nt
TruSeq vs BOBseq	over-represented in TruSeq	1	ENSG00000156508	EEF1A1	9.763	13.527	3.366	11.645	39.2	1978
TruSeq vs BOBseq	over-represented in TruSeq	2	ENSG00000132341	RAN	6.978	11.334	3.958	9.156	36.24	796
TruSeq vs BOBseq	over-represented in TruSeq	3	ENSG00000111716	LDHB	7.429	11.541	3.714	9.485	35.23	854
TruSeq vs BOBseq	over-represented in TruSeq	4	ENSG00000143621	ILF2	5.257	9.706	4.051	7.481	30.31	1216
TruSeq vs BOBseq	over-represented in TruSeq	5	ENSG00000123975	CKS2	4.525	9.266	4.342	6.895	29.94	616
TruSeq vs BOBseq	over-represented in TruSeq	6	ENSG00000136810	TXN	6.139	10.166	3.629	8.152	29.59	716
TruSeq vs BOBseq	over-represented in TruSeq	7	ENSG00000102024	PLS3	4.967	9.448	4.083	7.208	29.43	2467
TruSeq vs BOBseq	over-represented in TruSeq	8	ENSG00000110321	EIF4G2	5.832	9.775	3.545	7.804	27.67	2171
TruSeq vs BOBseq	over-represented in TruSeq	9	ENSG00000183291	SELENOF	4.028	8.748	4.322	6.388	27.61	1098
TruSeq vs BOBseq	over-represented in TruSeq	10	ENSG00000110955	ATP5F1B	7.469	10.864	2.996	9.167	27.47	789
TruSeq vs BOBseq	over-represented in TruSeq	11	ENSG00000165672	PRDX3	4.869	9.171	3.904	7.02	27.4	1527
TruSeq vs BOBseq	over-represented in TruSeq	12	ENSG00000154518	ATP5MC3	5.873	9.745	3.474	7.809	27.13	919
TruSeq vs BOBseq	over-represented in TruSeq	13	ENSG00000082153	BZW1	3.945	8.631	4.289	6.288	26.97	1597
TruSeq vs BOBseq	over-represented in TruSeq	14	ENSG00000134001	EIF2S1	3.399	8.365	4.568	5.882	26.87	1207
