chrom	intron_start_1based	intron_end	length	control	chx_low	chx_high
7	142942781	143312535	369755	0	1	0
7	143193943	143608919	414977	0	0	1
7	143258404	143367579	109176	0	1	0
7	143288530	143291539	3010	5	7	4
7	143291691	143292299	609	5	0	5
7	143292468	143292616	149	1	3	5
7	143292699	143294229	1531	0	3	0
7	143294774	143299922	5149	19	6	22
7	143300052	143300203	152	30	8	23
7	143300295	143300379	85	0	0	32
7	143300295	143303783	3489	10	4	9
7	143300441	143303783	3343	2	0	20
7	143302870	143303783	914	2	0	0
7	143303934	143304673	740	14	17	12
7	143304784	143304939	156	16	18	12
7	143306226	143306338	113	0	0	5
7	143306352	143306399	48	4	0	0
7	143306451	143306682	232	0	0	6
