chrom	intron_start_1based	intron_end	length	control_1	control_2	control_3	chx_high_1	chx_high_2	chx_high_3
17	15458781	16439349	980569	0	0	0	5	0	0
17	16061710	16652271	590562	0	2	0	0	0	0
17	16121133	16881126	759994	2	0	0	0	0	0
17	16269373	16441829	172457	0	0	0	0	0	1
17	16270809	17198964	928156	0	0	0	0	0	4
17	16311564	17114903	803340	0	0	0	0	1	0
17	16334379	16657035	322657	0	0	0	0	1	0
17	16347706	16858186	510481	0	0	0	0	2	0
17	16348190	17251325	903136	1	0	1	0	0	0
17	16382131	17249288	867158	0	4	0	0	0	0
17	16382211	17229900	847690	4	0	0	0	2	0
17	16382437	16546373	163937	0	0	0	0	0	1
17	16382438	16913516	531079	0	0	4	0	0	0
17	16439030	16439326	297	0	0	0	0	0	2
17	16439061	16439326	266	131	118	152	70	76	89
17	16439246	16439326	81	0	0	0	0	0	1
17	16439394	16440184	791	2	0	0	0	0	0
17	16439413	16439660	248	0	2	0	0	0	0
17	16439413	16440185	773	5	0	0	0	0	0
17	16439415	16439527	113	41	24	8	17	11	14
17	16439415	16439580	166	10	0	2	4	25	16
17	16439415	16439659	245	14	8	26	45	42	28
17	16439415	16440184	770	158	146	193	69	63	92
17	16439661	16440185	525	0	1	0	0	0	0
17	16439704	16440184	481	18	9	11	33	46	34
17	16440253	16441073	821	0	0	2	0	0	0
17	16440254	16441073	820	72	71	84	37	43	43
17	16440254	16441367	1114	11	4	6	0	4	0
17	16441131	16441367	237	7	35	42	8	17	21
17	16442016	17360118	918103	1	0	0	0	0	0
17	16442017	17360120	918104	1	0	0	0	0	0
17	16456301	16456354	54	0	2	0	0	0	0
17	16463318	16463718	401	0	0	0	1	0	0
17	16470159	16491744	21586	5	0	0	0	0	0
