chrom	intron_start_1based	intron_end	length	control_1	control_2	control_3	chx_high_1	chx_high_2	chx_high_3
7	143193943	143608919	414977	0	0	0	0	1	0
7	143288530	143291539	3010	0	1	4	3	0	2
7	143291691	143292299	609	0	1	2	5	0	0
7	143292468	143292616	149	0	0	0	5	0	0
7	143294774	143299922	5149	0	2	16	0	16	5
7	143300052	143300203	152	4	4	20	9	9	5
7	143300295	143300379	85	0	0	0	0	22	8
7	143300295	143303783	3489	0	3	5	9	0	0
7	143300441	143303783	3343	0	0	2	0	11	8
7	143302870	143303783	914	0	4	0	0	0	0
7	143303934	143304673	740	0	5	5	1	6	4
7	143304784	143304939	156	3	7	5	1	6	4
7	143306226	143306338	113	0	0	0	5	0	0
7	143306352	143306399	48	0	3	0	0	0	0
7	143306451	143306682	232	0	0	0	0	0	5
