order	contig	length	md5_uppercase_sequence
1	MOUSE_1	195154279	ebdcb59bd671b01de5a67d9803f500ea
2	MOUSE_10	130530862	cc1e9a05f16cacc4955f56bd0f579267
3	MOUSE_11	121973369	227171e89d468ee817a7fb0ccaba38cd
4	MOUSE_12	120092757	b0f91aa89b888e3c1f29263818b02210
5	MOUSE_13	120883175	fe93f607754e075f2849b35af77af07d
6	MOUSE_14	125139656	5587dd4c57372cc4fe78fe1f6f8b68d0
7	MOUSE_15	104073951	99f61c36433d8fc45bd265cffa4be357
8	MOUSE_16	98008968	8d8e220195ef6f4b400548600131d0d6
9	MOUSE_17	95294699	ca46671b6cafa344dddca2e6b0db0991
10	MOUSE_18	90720763	717a1f751989489983e41c7f195c202a
11	MOUSE_19	61420004	96b19db237dfb928d0695a3b366acf40
12	MOUSE_2	181755017	08bc6a9988099d0d4cc457341933249a
13	MOUSE_3	159745316	2399e48fe19b768e0738efcedbc04b7a
14	MOUSE_4	156860686	c998850568fb66c8a0438a521965bf9a
15	MOUSE_5	151758149	ded8e8ee2aae6a3e8c081e1a7c2e7c26
16	MOUSE_6	149588044	314397656eb3d25aaa70d407df67c6a8
17	MOUSE_7	144995196	cdc994b8172f4e1e3099a2b9a41f4684
18	MOUSE_8	130127694	33a6d892dcc698e5af446bd3cce98d61
19	MOUSE_9	124359700	dce50387ea191577d2f47408be52d093
20	MOUSE_MT	16299	11c8af2a2528b25f2c080ab7da42edda
21	MOUSE_X	169476592	2f96da7dbcddf6f0866de651f42417bb
22	MOUSE_Y	91455967	493dcdf262cba21cae56d4092d5c9202
23	MOUSE_JH584299.1	953012	b6bc88bfe26ef155b5fe2a7b90830ca5
24	MOUSE_GL456233.2	559103	fea40855e95eb187dcbe56ae210d41dc
25	MOUSE_JH584301.1	259875	6b2fb727b7f71259d4b2aa53f921f83e
26	MOUSE_GL456211.1	241735	36e85680c669756c9a1554cf31c9de03
27	MOUSE_GL456221.1	206961	e21da65d7276b256b8edf92660a928b0
28	MOUSE_JH584297.1	205776	efb1b00ffad6dd710ffd5d46ce94a25c
29	MOUSE_JH584296.1	199368	9b5b5f3af54ac1c2e91964a2c8b3f9ee
30	MOUSE_GL456354.1	195993	61643b629b3105fd2f32cc82871ca8e0
31	MOUSE_JH584298.1	184189	1910644b4393b414d16774d3a1b73c49
32	MOUSE_JH584300.1	182347	63017c95f5328b37975b41ca1019ae14
33	MOUSE_GL456219.1	175968	a9a02958a866bdbde864f45dba4678e9
34	MOUSE_GL456210.1	169725	0cc560d98f9f22f4385397db82e1c108
35	MOUSE_JH584303.1	158099	23d8b4c1dbfa3cc96e2e2d5f56914a31
36	MOUSE_JH584302.1	155838	8265ab6c29db6b3f7edbd3d0bf9f6649
37	MOUSE_GL456212.1	153618	4c4dc3bfe987e3bc4ef4756bef269373
38	MOUSE_JH584304.1	114452	3da6902c6bfae6e54184fe309460b5ce
39	MOUSE_GL456379.1	72385	2e317d895c77ed23c1ead5d964787944
40	MOUSE_GL456366.1	47073	5a13a662666e5216edc9777123a90721
41	MOUSE_GL456367.1	42057	c515676047df349605e1f0b9a2c931e2
42	MOUSE_GL456239.1	40056	026a56195f744bfc337bd35c5c406ca3
43	MOUSE_GL456383.1	38659	957a72650aef5448bb88d22c95091a3f
44	MOUSE_GL456385.1	35240	14d999bf71d97ab109e0d120421813e1
45	MOUSE_GL456360.1	31704	e920aab56a78dad48b143260fdd46def
46	MOUSE_GL456378.1	31602	f2e4730a3ebda87af4e300991b5b1fdd
47	MOUSE_MU069435.1	31129	168e4d99aa1fa20c9740db4a2d0d4340
48	MOUSE_GL456389.1	28772	33a8ae4e638372e6786e2139b868c9de
49	MOUSE_GL456372.1	28664	63d6c279d38036a35a614ebf3b5aff04
50	MOUSE_GL456370.1	26764	b1497fc4d9c50793ce42287b807023a6
51	MOUSE_GL456381.1	25871	cd52161045aaf547b16aa269806d0fa2
52	MOUSE_GL456387.1	24685	ee8d8a56353bfd1e03794413a6de4790
53	MOUSE_GL456390.1	24668	98ab2165ef0892fb13b2826abef47f28
54	MOUSE_GL456394.1	24323	d2fc329384f30769e5bb8e9e5547f88b
55	MOUSE_GL456392.1	23629	4a6c8910adf1323d66f179e7b22c12b3
56	MOUSE_GL456382.1	23158	0a6e2bdf8e33bbcf41a1f22d28b31040
57	MOUSE_GL456359.1	22974	603a636ed64b91e321f4016e95496e2e
58	MOUSE_GL456396.1	21240	00bc9e8162a01525c883724d0f152c3a
59	MOUSE_GL456368.1	20208	aafc72058b568c532611be3ed4de1421
60	MOUSE_MU069434.1	8412	9de130f8b9ca81fa376dac13e6044f0b
61	MOUSE_JH584295.1	1976	ebc2f8438cbd080b53dc1cf528bf070e
62	HUMAN_1	248956422	2648ae1bacce4ec4b6cf337dcae37816
63	HUMAN_10	133797422	907112d17fcb73bcab1ed1c72b97ce68
64	HUMAN_11	135086622	1511375dc2dd1b633af8cf439ae90cec
65	HUMAN_12	133275309	e81e16d3f44337034695a29b97708fce
66	HUMAN_13	114364328	17dab79b963ccd8e7377cef59a54fe1c
67	HUMAN_14	107043718	acbd9552c059d9b403e75ed26c1ce5bc
68	HUMAN_15	101991189	f036bd11158407596ca6bf3581454706
69	HUMAN_16	90338345	24e7cabfba3548a2bb4dff582b9ee870
70	HUMAN_17	83257441	a8499ca51d6fb77332c2d242923994eb
71	HUMAN_18	80373285	11eeaa801f6b0e2e36a1138616b8ee9a
72	HUMAN_19	58617616	b0eba2c7bb5c953d1e06a508b5e487de
73	HUMAN_2	242193529	4bb4f82880a14111eb7327169ffb729b
74	HUMAN_20	64444167	b18e6c531b0bd70e949a7fc20859cb01
75	HUMAN_21	46709983	2f45a3455007b7e271509161e52954a9
76	HUMAN_22	50818468	221733a2a15e2de66d33e73d126c5109
77	HUMAN_3	198295559	a48af509898d3736ba95dc0912c0b461
78	HUMAN_4	190214555	3210fecf1eb92d5489da4346b3fddc6e
79	HUMAN_5	181538259	f7f05fb7ceea78cbc32ce652c540ff2d
80	HUMAN_6	170805979	6a48dfa97e854e3c6f186c8ff973f7dd
81	HUMAN_7	159345973	94eef2b96fd5a7c8db162c8c74378039
82	HUMAN_8	145138636	c67955b5f7815a9a1edfaa15893d3616
83	HUMAN_9	138394717	addd2795560986b7491c40b1faa3978a
84	HUMAN_MT	16569	c68f52674c9fb33aef52dcf399755519
85	HUMAN_X	156040895	49527016a48497d9d1cbd8e4a9049bd3
86	HUMAN_Y	57227415	ce3e31103314a704255f3cd90369ecce
87	HUMAN_KI270728.1	1872759	369ff74cf36683b3066a2ca929d9c40d
88	HUMAN_KI270727.1	448248	84fe18a7bf03f3b7fc76cbac8eb583f1
89	HUMAN_KI270442.1	392061	796289c4cda40e358991f9e672490015
90	HUMAN_KI270729.1	280839	2756f6ee4f5780acce31e995443508b6
91	HUMAN_GL000225.1	211173	63945c3e6962f28ffd469719a747e73c
92	HUMAN_KI270743.1	210658	3b62d9d3100f530d509e4efebd98502c
93	HUMAN_GL000008.2	209709	a999388c587908f80406444cebe80ba3
94	HUMAN_GL000009.2	201709	862f555045546733591ff7ab15bcecbe
95	HUMAN_KI270747.1	198735	62375d812ece679c9fd2f3d08d4e22a4
96	HUMAN_KI270722.1	194050	51f46c9093929e6edc3b4dfd50d803fc
97	HUMAN_GL000194.1	191469	6ac8f815bf8e845bb3031b73f812c012
98	HUMAN_KI270742.1	186739	2f31c013a4a8301deb8ab7ed1ca1cd99
99	HUMAN_GL000205.2	185591	458e71cd53dd1df4083dc7983a6c82c4
100	HUMAN_GL000195.1	182896	5d9ec007868d517e73543b005ba48535
101	HUMAN_KI270736.1	181920	2ff189f33cfa52f321accddf648c5616
102	HUMAN_KI270733.1	179772	f1fa05d48bb0c1f87237a28b66f0be0b
103	HUMAN_GL000224.1	179693	d5b2fc04f6b41b212a4198a07f450e20
104	HUMAN_GL000219.1	179198	f977edd13bac459cb2ed4a5457dba1b3
105	HUMAN_KI270719.1	176845	cd5e932cfc4c74d05bb64e2126873a3a
106	HUMAN_GL000216.2	176608	725009a7e3f5b78752b68afa922c090c
107	HUMAN_KI270712.1	176043	c38a0fecae6a1838a405406f724d6838
108	HUMAN_KI270706.1	175055	62def1a794b3e18192863d187af956e6
109	HUMAN_KI270725.1	172810	edc6402e58396b90b8738a5e37bf773d
110	HUMAN_KI270744.1	168472	e90aee46b947ff8c32291a6843fde3f9
111	HUMAN_KI270734.1	165050	1d17410ae2569c758e6dd51616412d32
112	HUMAN_GL000213.1	164239	9d424fdcc98866650b58f004080a992a
113	HUMAN_GL000220.1	161802	fc35de963c57bf7648429e6454f1c9db
114	HUMAN_KI270715.1	161471	b65a8af1d7bbb7f3c77eea85423452bb
115	HUMAN_GL000218.1	161147	1d708b54644c26c7e01c2dad5426d38c
116	HUMAN_KI270749.1	158759	c899a7b4e911d371283f3f4058ca08b7
117	HUMAN_KI270741.1	157432	86eaea8a15a3950e37442eaaa5c9dc92
118	HUMAN_GL000221.1	155397	3238fb74ea87ae857f9c7508d315babb
119	HUMAN_KI270716.1	153799	2828e63b8edc5e845bf48e75fbad2926
120	HUMAN_KI270731.1	150754	8176d9a20401e8d9f01b7ca8b51d9c08
121	HUMAN_KI270751.1	150742	1b758bbdee0e9ca882058d916cba9d29
122	HUMAN_KI270750.1	148850	c022ba92f244b7dc54ea90c4eef4d554
123	HUMAN_KI270519.1	138126	8d754e9c9afd904fba0a2cd577fcc9a1
124	HUMAN_GL000214.1	137718	46c2032c37f2ed899eb41c0473319a69
125	HUMAN_KI270708.1	127682	1e95e047b98ed92148dd84d6c037158c
126	HUMAN_KI270730.1	112551	48f98ede8e28a06d241ab2e946c15e07
127	HUMAN_KI270438.1	112505	e765271939b854dd6826aa764e930c87
128	HUMAN_KI270737.1	103838	2ea8bc113a8193d1d700b584b2c5f42a
129	HUMAN_KI270721.1	100316	9654b5d3f36845bb9d19a6dbd15d2f22
130	HUMAN_KI270738.1	99375	854ec525c7b6a79e7268f515b6a9877c
131	HUMAN_KI270748.1	93321	4f6c6ab005c852a4352aa33e7cc88ded
132	HUMAN_KI270435.1	92983	1655c75415b9c29e143a815f44286d05
133	HUMAN_GL000208.1	92689	aa81be49bf3fe63a79bdc6a6f279abf6
134	HUMAN_KI270538.1	91309	d60b72221cc7af871f2c757577e4c92a
135	HUMAN_KI270756.1	79590	2996b120a5a5e15dab6555f0bf92e374
136	HUMAN_KI270739.1	73985	760fbd73515fedcc9f37737c4a722d6a
137	HUMAN_KI270757.1	71251	174c73b60b41d8a1ef0fbaa4b3bdf0d3
138	HUMAN_KI270709.1	66860	4e2db2933ea96aee8dab54af60ecb37d
139	HUMAN_KI270746.1	66486	c470486a0a858e14aa21d7866f83cc17
140	HUMAN_KI270753.1	62944	25075fb2a1ecada67c0eb2f1fe0c7ec9
141	HUMAN_KI270589.1	44474	211c215414693fe0a2399cf82e707e03
142	HUMAN_KI270726.1	43739	fbe54a3197e2b469ccb2f4b161cfbe86
143	HUMAN_KI270735.1	42811	eb6b07b73dd9a47252098ed3d9fb78b8
144	HUMAN_KI270711.1	42210	af383f98cf4492c1f1c4e750c26cbb40
145	HUMAN_KI270745.1	41891	1386fe3de6f82956f2124e19353ff9c1
146	HUMAN_KI270714.1	41717	42f7a452b8b769d051ad738ee9f00631
147	HUMAN_KI270732.1	41543	d837bab5e416450df6e1038ae6cd0817
148	HUMAN_KI270713.1	40745	cb78d48cc0adbc58822a1c6fe89e3569
149	HUMAN_KI270754.1	40191	fe9e16233cecbc244f06f3acff3d03b8
150	HUMAN_KI270710.1	40176	9949f776680c6214512ee738ac5da289
151	HUMAN_KI270717.1	40062	796773a1ee67c988b4de887addbed9e7
152	HUMAN_KI270724.1	39555	c3fcb15dddf45f91ef7d94e2623ce13b
153	HUMAN_KI270720.1	39050	8c2683400a4aeeb40abff96652b9b127
154	HUMAN_KI270723.1	38115	74a4b480675592095fb0c577c515b5df
155	HUMAN_KI270718.1	38054	b0c463c8efa8d64442b48e936368dad5
156	HUMAN_KI270317.1	37690	cd4b1fda800f6ec9ea8001994dbf6499
157	HUMAN_KI270740.1	37240	69e42252aead509bf56f1ea6fda91405
158	HUMAN_KI270755.1	36723	4a7da6a658955bd787af8add3ccb5751
159	HUMAN_KI270707.1	32032	78135804eb15220565483b7cdd02f3be
160	HUMAN_KI270579.1	31033	fe62fb1964002717cc1b034630e89b1f
161	HUMAN_KI270752.1	27745	e0880631848337bd58559d9b1519da63
162	HUMAN_KI270512.1	22689	ba1021c82d1230af856f59079e2f71b4
163	HUMAN_KI270322.1	21476	7d459255d1c54369e3b64e719061a5a5
164	HUMAN_GL000226.1	15008	1c1b2cd1fccbc0a99b6a447fa24d1504
165	HUMAN_KI270311.1	12399	59594f9012d8ce21ed5d1119c051a2ba
166	HUMAN_KI270366.1	8320	44a0b65b7ba6bcff37eca202e7d966ea
167	HUMAN_KI270511.1	8127	907ca34a4a2a6673632ebaf513a4c1a4
168	HUMAN_KI270448.1	7992	0f40827c265cb813b6e723da6c9b926b
169	HUMAN_KI270521.1	7642	af5bef7cefec7bd7efa729ac6c5be088
170	HUMAN_KI270581.1	7046	9f26945f9f9b3f865c9ebe953cbbc1a9
171	HUMAN_KI270582.1	6504	6fd9804a7478d2e28160fe9f017689cb
172	HUMAN_KI270515.1	6361	dd7527ee8e0bdb0a43ca0b2a5456c8c3
173	HUMAN_KI270588.1	6158	37ffa850e69b342a8f8979bd3ffc77d4
174	HUMAN_KI270591.1	5796	d6af509d69835c9ac25a30086e5a4051
175	HUMAN_KI270522.1	5674	070b4678e22501029c2e3297115216bc
176	HUMAN_KI270507.1	5353	311894d0a815eb07c5cac49da851cb4a
177	HUMAN_KI270590.1	4685	e8a57f147561b361091791b9010cd28b
178	HUMAN_KI270584.1	4513	d93636c9d54abd013cfc0d4c01334032
179	HUMAN_KI270320.1	4416	d898b9c5a0118e76481bf5695272959e
180	HUMAN_KI270382.1	4215	e7085cdcee6ad62f359744e13d3209fc
181	HUMAN_KI270468.1	4055	0a603090f06108ed7aff75df0767b822
182	HUMAN_KI270467.1	3920	db34e0dc109a4afd499b5ec6aaae9754
183	HUMAN_KI270362.1	3530	bc82401ffd9a5ae711fa0ea34da8d2f0
184	HUMAN_KI270517.1	3253	913440c38d95c618617ca69bb9296170
185	HUMAN_KI270593.1	3041	f4a5bfa203e9e81acb640b18fb11e78e
186	HUMAN_KI270528.1	2983	d75c9235f0b8c449fc4352997c56b086
187	HUMAN_KI270587.1	2969	36be47659719f47b95caa51744aa8f70
188	HUMAN_KI270364.1	2855	6ff66a8e589ca27d93b5bac0e5b13a87
189	HUMAN_KI270371.1	2805	a0af3d778dfeb7963e8e6d84c0c54fba
190	HUMAN_KI270333.1	2699	57baf650c47bba9b3a8b7c6d0fb55ad6
191	HUMAN_KI270374.1	2656	dbc92c9a92e558946e58b4909ec95dd5
192	HUMAN_KI270411.1	2646	fc240322d91d43c04f349cc58fda3eca
193	HUMAN_KI270414.1	2489	753e02ef3b1c590e0e3376ad2ebb5836
194	HUMAN_KI270510.1	2415	cd7348b3b5d9d0dfef6aed2af75ce920
195	HUMAN_KI270390.1	2387	7a64d89ea14990c16d20f4d6e7283e10
196	HUMAN_KI270375.1	2378	d678250c97e9b94aa390fa46e70a6d83
