chrom	intron_start_1based	intron_end	length	control	chx_low	chx_high
11	93870	921413	827544	2	0	0
11	99888	610228	510341	0	0	1
11	101874	759017	657144	0	4	0
11	105492	644239	538748	2	0	0
11	125921	810312	684392	6	0	0
11	126411	1068443	942033	0	3	0
11	152181	768475	616295	0	0	1
11	181083	717879	536797	0	0	2
11	193605	811631	618027	1	0	0
11	200393	812534	612142	1	0	0
11	210682	809975	599294	73	70	58
11	211370	764369	553000	0	7	0
11	212290	809975	597686	5	0	0
11	212291	809975	597685	0	1	0
11	212943	733014	520072	5	0	0
11	216116	809975	593860	6	0	0
11	216877	608660	391784	0	11	0
11	226360	809964	583605	0	3	0
11	231794	809968	578175	0	1	0
11	236143	810297	574155	0	6	0
11	250112	811613	561502	1	0	0
11	252984	744840	491857	0	4	0
11	253100	809976	556877	0	0	1
11	261848	1010654	748807	1	0	0
11	280605	581532	300928	0	6	0
11	284721	609190	324470	0	1	0
11	290618	811616	520999	4	0	0
11	292306	925892	633587	5	0	0
11	293750	764370	470621	3	0	0
11	294076	1010632	716557	0	0	1
11	294340	1085405	791066	0	3	0
11	298445	608587	310143	0	2	0
11	298940	812534	513595	0	2	0
11	298942	812537	513596	2	4	1
11	300073	810009	509937	0	0	8
11	319406	812534	493129	0	2	0
11	320771	810265	489495	0	4	0
11	321032	809971	488940	0	1	0
11	330504	810270	479767	0	1	0
11	333996	809975	475980	0	6	0
11	338028	767221	429194	0	0	1
11	338029	767221	429193	0	0	1
11	338030	767221	429192	0	0	2
11	350254	810271	460018	0	1	0
11	350708	532468	181761	0	0	5
11	351550	777621	426072	0	6	0
11	351552	809976	458425	1	0	2
11	356163	811620	455458	2	0	0
11	367588	809975	442388	18	72	6
11	370064	810271	440208	3	0	0
11	374629	810187	435559	0	7	0
11	375287	809970	434684	4	0	0
11	375598	611655	236058	0	1	0
11	380529	1010592	630064	0	0	1
11	384083	607657	223575	2	0	0
11	386319	809975	423657	0	0	4
11	394293	812579	418287	0	0	1
11	394569	642835	248267	4	0	0
11	395438	809982	414545	0	0	4
11	395483	812539	417057	2	0	0
11	399354	532472	133119	0	0	2
11	404244	581536	177293	0	2	0
11	406430	1288654	882225	0	1	0
11	411852	763795	351944	0	0	1
11	411852	810261	398410	0	1	0
11	428333	812532	384200	0	0	3
11	428447	1352002	923556	0	0	2
11	429866	811616	381751	3	0	0
11	437060	811613	374554	4	0	0
11	442037	532471	90435	4	0	0
11	446404	610592	164189	1	0	0
11	452383	1010547	558165	4	0	0
11	454780	768644	313865	0	0	1
11	455972	610559	154588	0	0	2
11	456179	775976	319798	0	0	2
11	459966	809976	350011	1	0	3
11	467081	838279	371199	0	1	0
11	468772	638073	169302	1	0	0
11	470514	810306	339793	4	0	0
11	470515	810306	339792	3	0	0
11	473778	809976	336199	0	6	0
11	488477	810023	321547	3	0	0
11	490427	810304	319878	2	0	0
11	491375	542578	51204	0	1	0
11	491399	666874	175476	1	0	0
11	494659	1451406	956748	1	0	0
11	494751	706083	211333	3	0	0
11	494925	724641	229717	2	0	0
11	497993	1181752	683760	2	0	0
11	499790	592647	92858	2	0	9
11	503662	810271	306610	1	1	0
11	506278	809968	303691	0	7	0
11	510003	812538	302536	0	0	1
11	511355	811628	300274	2	0	3
11	517406	598391	80986	0	0	6
11	518782	810236	291455	3	0	0
11	528940	812603	283664	0	6	0
11	532356	532380	25	4	0	0
11	532383	532651	269	5	0	0
11	532392	532430	39	3	0	0
11	532397	532428	32	0	6	0
11	532437	1123122	590686	2	5	0
11	532477	532502	26	0	4	0
11	532482	534326	1845	1	0	0
11	532503	533908	1406	0	0	10
11	532503	534211	1709	0	0	1
11	532508	533909	1402	7	0	0
11	532509	533506	998	0	6	0
11	532512	533906	1395	0	3	0
11	532521	532630	110	19	8	5
11	532523	532630	108	1844	1108	1188
11	532523	532651	129	5	0	2
11	532571	533469	899	3	0	0
11	532627	533449	823	0	0	12
11	532631	533272	642	0	0	2
11	532631	533276	646	41	16	29
11	532631	533452	822	71	31	29
11	532650	1218777	686128	1	0	0
11	532666	533454	789	4	0	0
11	532677	532718	42	1	0	0
11	532708	1455298	922591	0	0	1
11	532736	1272368	739633	0	6	0
11	532756	533276	521	118	225	289
11	532756	533452	697	1149	539	500
11	532903	791212	258310	4	0	0
11	533314	597410	64097	0	0	7
11	533354	533452	99	0	0	1
11	533357	533451	95	2	0	0
11	533359	533452	94	93	85	135
11	533477	533522	46	4	0	0
11	533494	533521	28	0	1	0
11	533511	533910	400	0	8	0
11	533513	1197560	664048	0	0	10
11	533539	636357	102819	2	0	0
11	533552	533796	245	0	4	0
11	533604	1024383	490780	0	0	7
11	533606	614144	80539	3	0	0
11	533613	533765	153	208	85	121
11	533613	535415	1803	0	0	3
11	533819	771279	237461	0	4	0
11	533900	911757	377858	3	0	0
11	533944	534211	268	0	4	0
11	533945	534211	267	325	124	215
11	533945	535415	1471	4	0	0
11	534325	535431	1107	5	0	0
11	534328	658801	124474	7	0	0
11	534336	865641	331306	0	0	3
11	534372	535414	1043	0	0	7
11	534376	535256	881	0	0	6
11	534376	535415	1040	67	32	90
