chrom	intron_start_1based	intron_end	length	control_1	control_2	control_3	chx_high_1	chx_high_2	chx_high_3
19	14458416	15380399	921984	1	0	0	0	0	0
19	14528272	15385934	857663	0	0	0	0	3	0
19	14566172	15441260	875089	0	0	2	0	0	0
19	14566186	15464254	898069	1	0	0	0	0	0
19	14571902	15457769	885868	0	0	0	0	3	0
19	14572070	15428043	855974	0	0	1	0	0	0
19	14763621	15380403	616783	0	0	0	3	0	0
19	14931523	15389491	457969	2	0	0	0	0	0
19	15115161	15425502	310342	7	0	0	0	0	0
19	15119254	15448427	329174	0	0	0	0	0	1
19	15119470	15439265	319796	0	0	0	0	2	0
19	15160949	16081919	920971	0	0	0	0	2	0
19	15225524	16191830	966307	0	3	0	0	0	0
19	15236126	15451727	215602	0	0	0	0	1	0
19	15238340	15450043	211704	0	0	1	0	0	0
19	15256204	15582937	326734	1	0	0	0	0	0
19	15257052	16026527	769476	0	0	0	0	0	6
19	15302456	15388700	86245	0	1	0	0	0	0
19	15355960	15442492	86533	0	0	0	0	5	0
19	15374020	15620316	246297	0	0	0	0	0	3
19	15374031	15450036	76006	0	0	1	0	0	0
19	15380208	15380278	71	0	0	1	0	0	0
19	15380233	15380280	48	0	0	0	1	0	0
19	15380253	15380297	45	0	0	0	3	0	3
19	15380256	15380297	42	1	0	0	0	0	0
19	15380267	15380335	69	0	0	0	0	5	0
19	15380310	15380369	60	0	0	0	5	0	0
19	15380431	15380516	86	157	122	112	325	151	378
19	15380434	15380520	87	2	0	0	0	0	0
19	15380598	15397607	17010	0	3	0	0	0	0
19	15380613	15397149	16537	126	97	118	277	143	362
19	15396981	15397105	125	0	0	0	3	0	0
19	15397189	15397520	332	0	0	0	5	0	0
19	15397203	15397519	317	0	0	0	5	0	0
19	15397204	15397519	316	0	0	0	1	3	4
19	15397281	15397519	239	24	21	35	92	56	133
19	15397281	15397521	241	5	0	1	0	0	0
19	15397321	15397519	199	3	7	0	0	0	6
19	15397626	15397713	88	90	22	27	111	73	130
19	15397626	15397759	134	0	0	2	0	0	0
19	15397743	15399371	1629	0	0	1	0	0	0
19	15397856	15398629	774	7	5	15	59	58	35
19	15397856	15399301	1446	39	16	32	23	14	28
19	15397886	15398629	744	0	0	0	4	0	0
19	15398704	15399301	598	2	0	2	7	4	3
19	15398712	15399375	664	0	0	0	0	2	0
19	15398767	15399301	535	16	8	22	107	66	105
19	15399378	15400299	922	0	0	0	0	0	1
19	15399388	15400319	932	2	0	0	0	0	0
19	15399411	15399831	421	0	0	0	6	0	0
19	15399411	15400294	884	111	71	87	80	141	124
19	15399892	15400294	403	0	0	0	6	0	0
19	15400308	15400804	497	0	0	1	0	0	0
19	15400310	15515085	114776	0	0	0	0	0	3
19	15400337	15400844	508	0	0	1	0	0	0
19	15400344	15401186	843	0	6	0	0	0	0
19	15400356	15400791	436	0	0	0	0	0	2
19	15400358	15400793	436	0	0	1	8	9	1
19	15400359	15400793	435	286	249	205	334	319	412
19	15400805	15400846	42	0	0	0	0	0	2
19	15400807	15400846	40	0	0	1	0	0	0
19	15400836	15400930	95	0	4	0	0	0	0
19	15400855	15400937	83	1	1	0	0	0	0
19	15400862	16305404	904543	4	0	0	0	0	0
19	15400863	15404013	3151	5	0	0	0	0	0
19	15400864	15400946	83	0	0	0	3	6	0
19	15400864	15400947	84	0	0	6	0	1	0
19	15400865	15400946	82	369	320	289	518	520	578
19	15400865	15400947	83	1	0	0	0	0	0
19	15400865	15400948	84	0	0	0	0	0	4
19	15400865	15400961	97	0	0	0	3	0	0
19	15400865	15401149	285	0	0	0	5	0	0
19	15400866	15400949	84	0	0	0	2	0	0
19	15400997	15401292	296	0	2	0	0	0	0
19	15401004	15401573	570	0	0	2	0	0	0
19	15401010	15410560	9551	0	5	0	0	5	0
19	15401014	15401570	557	0	0	0	7	0	0
19	15401035	15440478	39444	0	2	0	0	0	7
19	15401037	15440478	39442	0	0	0	0	4	0
19	15401038	15401281	244	0	0	0	0	7	0
19	15401044	15401149	106	324	227	269	404	438	399
19	15401164	15401281	118	0	0	0	8	0	0
19	15401171	15404017	2847	0	0	0	0	0	6
19	15401200	15403602	2403	4	0	0	0	0	0
19	15401333	15403573	2241	0	0	0	0	0	7
19	15401442	15401466	25	0	0	2	0	0	0
19	15401604	15403474	1871	9	5	28	30	11	18
19	15403528	15403571	44	0	0	0	0	0	8
19	15403556	15403657	102	0	0	0	0	0	6
19	15403716	15404009	294	0	1	1	0	8	6
19	15404043	15410519	6477	5	0	0	0	8	17
19	15410594	15418910	8317	0	0	0	0	0	1
19	15410595	15418910	8316	7	8	1	3	8	23
