chrom	intron_start_1based	intron_end	length	control_1	control_2	control_3	chx_high_1	chx_high_2	chx_high_3
20	1732278	2657149	924872	0	0	1	0	0	0
20	1786369	2652912	866544	0	0	0	0	0	5
20	1871072	2656877	785806	0	0	0	0	1	0
20	2135094	3046492	911399	1	0	0	0	0	0
20	2205781	2948705	742925	0	0	0	0	1	0
20	2205814	3041255	835442	4	0	0	0	0	0
20	2222753	2663511	440759	0	0	0	0	5	0
20	2236198	3213184	976987	1	0	0	0	0	0
20	2332311	2658160	325850	1	0	0	0	0	0
20	2397106	2657152	260047	0	0	0	0	0	3
20	2418522	2657126	238605	0	1	0	0	0	0
20	2430691	2658147	227457	0	0	2	0	0	0
20	2456620	3221886	765267	0	0	0	0	1	0
20	2461794	3407427	945634	0	1	0	0	0	0
20	2463215	2824191	360977	0	0	0	0	4	0
20	2465794	2816486	350693	0	0	0	0	1	0
20	2470733	2804793	334061	0	1	0	0	0	0
20	2470743	2726934	256192	0	0	0	2	0	0
20	2470747	3340433	869687	0	0	5	0	0	0
20	2490050	2657964	167915	0	0	0	0	3	0
20	2500733	3084686	583954	0	0	2	0	0	0
20	2508999	3035897	526899	0	0	0	0	1	0
20	2520969	2657116	136148	0	0	0	9	0	0
20	2541909	3200391	658483	0	0	1	0	0	0
20	2617640	2988027	370388	0	0	3	0	0	0
20	2652664	2652841	178	3	24	24	31	25	14
20	2652917	2654436	1520	0	2	0	1	0	0
20	2652932	2653278	347	40	37	33	31	44	40
20	2653388	2654408	1021	0	0	2	0	0	0
20	2653394	2654388	995	0	0	0	0	9	0
20	2653394	2654413	1020	46	43	48	43	35	59
20	2653603	2655644	2042	0	3	0	0	0	0
20	2654309	2654413	105	0	0	0	1	0	0
20	2654564	2656003	1440	0	0	0	0	0	3
20	2654576	2654748	173	9	1	13	6	11	5
20	2654948	2655324	377	6	3	2	10	12	1
20	2655470	2655500	31	0	0	0	0	2	0
20	2655511	2655593	83	0	0	0	0	2	0
20	2655513	2655594	82	28	48	30	75	73	59
20	2655543	2656400	858	0	1	0	12	0	5
20	2655543	2656677	1135	0	5	0	0	0	0
20	2655543	2656773	1231	0	5	11	0	9	0
20	2655723	2656015	293	0	0	0	3	0	0
20	2655747	2655933	187	61	67	57	128	187	129
20	2655747	2655936	190	0	0	0	0	0	2
20	2655747	2656400	654	0	0	0	1	0	0
20	2656035	2656400	366	22	27	18	62	82	46
20	2656035	2656773	739	0	2	0	11	21	3
20	2656209	2656768	560	0	0	0	0	0	2
20	2656215	2656400	186	75	50	62	24	30	47
20	2656215	2656773	559	20	6	18	14	20	18
20	2656215	2656775	561	3	0	1	0	0	0
20	2656498	2656535	38	6	0	0	0	0	0
20	2656507	2656773	267	4	0	0	0	0	0
20	2656545	2656767	223	0	0	1	0	0	0
20	2656550	2656773	224	111	63	77	88	105	102
20	2656550	2656774	225	6	0	2	0	0	0
20	2656693	2656880	188	4	0	0	0	0	0
20	2656839	2657116	278	1	0	0	0	0	0
20	2656890	2657079	190	0	0	0	0	0	2
20	2656896	2657080	185	171	128	141	179	219	218
20	2656896	2657084	189	0	0	0	5	0	1
20	2656896	2657146	251	0	0	0	0	1	0
20	2656898	2657083	186	0	0	0	0	0	9
20	2657099	2657928	830	0	0	1	0	0	0
20	2657108	2658111	1004	0	0	0	0	4	0
20	2657116	2657927	812	0	0	0	2	0	0
20	2657117	2657937	821	0	0	0	2	0	0
20	2657123	2657970	848	0	0	0	1	0	0
20	2657124	2657926	803	0	0	0	2	0	0
20	2657140	2657948	809	0	0	0	3	0	0
20	2657212	2862124	204913	0	0	0	4	0	0
20	2657214	2657928	715	0	0	0	0	1	0
20	2657215	2657925	711	0	0	0	0	1	0
20	2657219	2657372	154	38	60	19	69	84	68
20	2657219	2657928	710	217	272	144	369	375	256
20	2657219	2657930	712	0	0	0	0	0	1
20	2657219	2657931	713	0	0	2	0	0	0
20	2657223	2657379	157	0	3	0	0	2	0
20	2657223	2657936	714	0	0	0	0	5	0
20	2657489	2657638	150	0	3	0	0	0	0
20	2657489	2657928	440	48	40	12	43	84	66
20	2657494	2657928	435	6	1	0	5	0	0
20	2657693	2657928	236	0	3	0	0	0	0
20	2657952	2657997	46	0	0	1	0	0	0
20	2657960	2658090	131	0	3	0	0	0	0
20	2657966	2658090	125	0	0	0	1	0	0
20	2657998	2658029	32	0	2	0	0	0	0
20	2658005	2658040	36	0	4	0	0	7	0
20	2658046	2658124	79	0	0	0	0	0	1
20	2658076	2658110	35	3	0	0	0	0	0
20	2658102	2658195	94	0	0	1	0	0	0
20	2658130	2881015	222886	0	2	0	0	0	0
20	2658184	2658258	75	5	0	0	0	0	0
20	2658222	2918398	260177	0	0	0	0	0	1
20	2658393	3057515	399123	0	0	0	0	1	0
